Stereotype,category,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type,none_c,other_c,characterization,componentOf,material,mediation,participation,none_r,other_r
type,0.3501107771279238,0.3555895559435339,-0.18985166711460627,0.2306623102301371,-0.06992298586018515,0.1974420741283277,-0.02335308967206558,-0.142348260129205,0.3798840543012348,-0.0242718276195745,1.0,0.1288492492995915,-0.1393864451987371,0.24043954628094305,0.09719022280868692,-0.13407075732062806,-0.014779183038504977,0.40018956301309905,0.05653757682347647,0.06801599942991952
none_c,0.06128404337228863,0.17075576886845936,-0.09341672138839986,0.09455156324232893,-0.07631676779429043,0.0821538667002595,-0.2594774867102009,0.02048321405072769,0.07614190099402929,-0.14231579757763402,0.1288492492995915,1.0,0.08516680250516137,-0.045357991480748906,-0.09304112935848105,0.0733239352744266,-0.11092428847897609,-0.003741740918591365,0.2253437434979853,-0.10543445443763887
other_c,-0.07719025260264005,0.07716399798504862,-0.038451270410742366,-0.1258637718591313,0.015205082973911281,-0.18244396226538692,-0.11666018990221351,-0.04525416826589712,-0.14029554628257665,-0.09087748661134465,-0.1393864451987371,0.08516680250516137,1.0,-0.16504958033716788,-0.0945781237521834,-0.0852770469183348,-0.23861469329846602,-0.17653397176210334,0.26738005945500093,0.09467962841806891
characterization,0.3695366815784654,0.20442003663346545,-0.03581790879256445,0.5004358233519106,0.013364583424413606,0.6326722798036256,0.1812873929099645,0.016411369504819022,0.21276176542277875,0.1457419143848553,0.24043954628094305,-0.045357991480748906,-0.16504958033716788,1.0,0.19015212698849338,0.07312501758494935,0.3081928316477789,0.35043351073408446,-0.08974663677087522,0.058673061864848434
componentOf,0.17224573212586164,-0.11296199940122874,0.3635335633110395,0.16106567845938063,0.10037623344332329,0.03780282859557474,0.22809019602935066,0.03235246810457072,-0.05075642752267442,0.27384194247421784,0.09719022280868692,-0.09304112935848105,-0.0945781237521834,0.19015212698849338,1.0,0.22679910889239366,0.17690075809599665,-0.03805115540471636,-0.1733062458493578,-0.03396345284338321
material,0.13349704037669333,5.965475200854081e-05,0.31245834929963195,0.09166949402005628,0.10695280929797553,0.012737854666812456,0.18775064967031901,0.10134606275477352,-0.07126567409826963,0.21539682933584248,-0.13407075732062806,0.0733239352744266,-0.0852770469183348,0.07312501758494935,0.22679910889239366,1.0,0.2461340864949229,-0.08163477620637095,-0.18319697571240268,0.11646860629266961
mediation,0.008539787343099172,-0.07014883718294733,0.21278067508790083,0.15997470695243154,0.3020056566168565,0.19042047264368184,0.6918436867510601,0.35836947733957825,0.16236536613153688,0.25283368716772797,-0.014779183038504977,-0.11092428847897609,-0.23861469329846602,0.3081928316477789,0.17690075809599665,0.2461340864949229,1.0,0.06154722105877519,-0.30785734781170654,0.14804565500013378
participation,0.19860431392906838,0.6081563792651734,-0.2037301487543038,0.05373050026530948,-0.05560396582895835,0.29833872449331933,-0.0010283464153218419,-0.2831515162536905,0.22759134612415133,-0.015273907366301936,0.40018956301309905,-0.003741740918591365,-0.17653397176210334,0.35043351073408446,-0.03805115540471636,-0.08163477620637095,0.06154722105877519,1.0,-0.08494647806869535,0.08131520496376515
none_r,0.16050509342481847,0.20052320987029326,0.08406454667115965,0.03717923768537817,-0.13109020176526634,-0.08910589472718952,-0.1062851529406553,0.058141632720816024,0.15736468474809143,-0.09881429811416902,0.05653757682347647,0.2253437434979853,0.26738005945500093,-0.08974663677087522,-0.1733062458493578,-0.18319697571240268,-0.30785734781170654,-0.08494647806869535,1.0,-0.12266829187902736
other_r,-0.055367908379835046,0.1354101315285714,-0.06278166454372305,-0.024451535936227578,0.01574682904552654,-0.0715918027480232,0.1361131326749832,-0.049150095308378786,0.08252988143178074,-0.1345581868507827,0.06801599942991952,-0.10543445443763887,0.09467962841806891,0.058673061864848434,-0.03396345284338321,0.11646860629266961,0.14804565500013378,0.08131520496376515,-0.12266829187902736,1.0
