Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,none_c,other_c,characterization,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,none_r,other_r
role,0.01518776555503252,0.1140877977766462,0.008097926421352465,-0.0941647412059081,0.45427431096596227,0.2630779379676212,0.13892711086122686,0.2528668240523786,0.1613213713309996,0.1615630662109813,1.0,0.06021778684654841,-0.17152327765763353,0.06546704573451764,-0.03485629198756061,0.0775547678401658,-0.04347181667260003,0.03332004953867593,0.023931236953318287,-0.011689401080756794,0.18460081760159394,-0.09230072515799867,0.012501149055478826,-0.21909237740806456,-0.17804119465108248,-0.11889907377315151,0.15713741188735916,0.1357534558747657,0.10964968063897375,-0.2029720873827034,0.007793799986848146,-0.060618444342152245
roleMixin,0.2833047250221554,-0.008289699910280132,-0.04651292021699338,0.2539082392695341,-0.15602703802347043,0.13205588449619646,0.3099191350121557,0.07161634554901886,0.03992969185709142,0.13483268049510405,0.06021778684654841,1.0,0.11052725877536858,-0.0009304669796880187,0.270945891893395,0.21775172443521754,-0.07915132357939524,0.16262717010779343,0.024347192362997625,0.246887652051458,0.014766585362342108,0.32140262508128253,0.09035334426817436,0.18480354826219028,0.22692094915357408,0.16760813851131062,-0.011417715256231727,0.16590505771608408,0.0963861554861249,0.1712061477914577,0.05920113667273628,0.08720167428821965
situation,0.14519858478280856,-0.24741068267164534,0.17535142075352533,0.5116895373351519,-0.22332927165959782,-0.04444158692398343,-0.050217200473731974,-0.05618899781496005,0.20014732311484973,-0.0925812719279654,-0.17152327765763353,0.11052725877536858,1.0,-0.13286527282530947,0.07074079321352489,0.012036263125245512,0.2554270833089633,0.1806072461319606,-0.07857016220082097,0.10356588202236294,0.05991809103170017,0.05778989047631264,-0.11640840937833119,0.20879107373395434,0.11642995468526798,0.1943903230439456,0.07453180935974202,-0.10971038452221392,-0.07444769309928645,0.3951236426925666,0.11283153984612684,0.1444665510179381
subkind,0.2541915335100739,0.17121763651246155,0.12974188372121875,-0.010563942719952348,0.372401221748762,-0.020070450504862735,0.18806997594367125,0.3436485263814926,0.08548825533110929,0.060207860900276765,0.06546704573451764,-0.0009304669796880187,-0.13286527282530947,1.0,0.039034091090911084,-0.020070450504862735,0.1261147206441418,0.020237149192015576,0.21206078554747407,-0.06086099966865482,-0.04401277465023856,-0.15190695947847954,-0.04270438613567501,-0.052118317147581174,-0.02262814111007102,-0.042514047899495644,0.10315379361835822,0.11055623997707367,0.1768205550405934,-0.1039302360778587,-0.0036574257647425386,-0.052118317147581174
type,0.2508306968850215,0.13129783450723204,0.0962962962962963,0.2802227754846744,-0.20665308522696943,0.1608082544566664,0.27431114002637125,0.029294435108726143,0.17526129619682757,-0.016536913347575826,-0.03485629198756061,0.270945891893395,0.07074079321352489,0.039034091090911084,1.0,0.1094506443945897,-0.04346304540964541,0.2680630731933866,0.16536805373029706,0.26110595001679726,-0.15374064253318648,0.4497843538639021,0.13354003947775023,0.37780665946155917,0.7803680919760616,0.583803312017654,-0.037797490646770036,-0.010785310535189389,0.13098153308754323,0.29165101722088277,0.14862952339223773,0.08534211343167199
none_c,0.061818006199095485,-0.11648279076749805,0.006735424270436289,0.09710607611177227,0.025060895778803063,0.11272727272727273,0.18603900639018553,-0.025746432527221863,0.18050810065300732,-0.177749435048551,0.0775547678401658,0.21775172443521754,0.012036263125245512,-0.020070450504862735,0.1094506443945897,1.0,-0.0040370073150954216,0.06698534220485136,-0.005070666827479245,0.09253253826019592,-0.04721585462672585,-0.008042288517539842,-0.07121721978089966,-0.055911287242974304,-0.014782809899727066,-0.023787731337528543,0.09710607611177227,-0.04731059089695756,-0.037343951412119034,0.029219085213460443,0.1190703339433712,0.0704068061578195
other_c,0.15055471384569216,-0.05274752649282619,0.01355299265462061,0.2132662812733918,0.04226808462338784,-0.0656013688703006,-0.05784567292586188,0.05716619504750294,-0.15433719862299694,-0.04505327320203121,-0.04347181667260003,-0.07915132357939524,0.2554270833089633,0.1261147206441418,-0.04346304540964541,-0.0040370073150954216,1.0,-0.029354836986875382,-0.013269153257509256,-0.17281761181461106,0.02870507135755553,-0.13342943728563433,-0.020498001542269696,-0.15632803532039247,-0.16739766432653122,-0.1389594985797015,-0.02499824542398732,-0.14140842805771972,-0.024698619121164948,-0.17480670002388107,0.15632803532039247,0.3344960167517221
characterization,0.32154635682224875,0.20446806266227044,0.10872716610645279,0.18174413832333539,-0.011587874975279439,0.19602026455735452,0.5172397966893348,0.07816610000718315,0.48606799649194854,0.30594914490268366,0.03332004953867593,0.16262717010779343,0.1806072461319606,0.020237149192015576,0.2680630731933866,0.06698534220485136,-0.029354836986875382,1.0,0.29300174630839493,0.1483995601672883,0.10434235120718488,0.33787854881329,0.059329147691642645,0.19354039991779096,0.27135819785551524,0.24907816273929506,0.18174413832333539,0.4092907055245792,0.22185732505943243,0.3084672448607304,0.05139662072505652,0.14455299578922146
componentOf,0.259526856653859,0.324854982714327,0.12444533049480772,-0.0998037919565257,0.187785401403492,0.08330381216573046,0.17805450163723602,0.19694638556693236,-0.0081195651764495,0.12093874058383881,0.023931236953318287,0.024347192362997625,-0.07857016220082097,0.21206078554747407,0.16536805373029706,-0.005070666827479245,-0.013269153257509256,0.29300174630839493,1.0,0.046466326318655486,0.095250598646707,-0.021004815774830425,0.13451197401977136,0.10560279719113638,0.16098274001305,0.12139917500497331,0.3106252850781755,0.18501009223481357,0.39379710309941557,-0.002586924932274627,-0.05527646415473545,0.10560279719113638
creation,0.02253064517832704,0.06906420747176738,0.04329449085748604,0.48196529228789353,-0.0025549310168625446,-0.14265432981780204,0.12717519923156795,0.06941525937732282,0.05402054772371164,0.03528286951156094,-0.011689401080756794,0.246887652051458,0.10356588202236294,-0.06086099966865482,0.26110595001679726,0.09253253826019592,-0.17281761181461106,0.1483995601672883,0.046466326318655486,1.0,0.04489641677658772,0.2553358744459708,-0.09881475299783417,0.3688594686120592,0.39497850391221273,0.3645090816486932,-0.018651907596280708,0.13427964719894037,0.20639749560225223,0.6996334856804646,0.16686499770545535,-0.03293388112607672
