Stereotype,category,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type,none_c,characterization,componentOf,derivation,formal,material,mediation,memberOf,participation,none_r
type,0.4070883269357969,0.32640616808163336,-0.10110279391001377,0.32334855593994866,0.04455951705910429,0.10791097031719306,0.10833666584290667,0.05616636804994078,0.3916309846507759,0.06918681879435634,1.0,0.12939082309964797,0.289806792174527,0.17221725934950555,-0.1405951855534072,0.17722607764247458,-0.01125723534792921,0.13719543061185696,0.19581981505651874,0.3070182687185474,0.08235839619379604
none_c,0.17674077986190923,0.19968173297030678,0.022443845748164614,0.23966101931792025,-0.03970756514523107,0.1576348373430971,-0.15996189528873994,0.11018917144521587,0.19925352711124628,-0.004650703327256121,0.12939082309964797,1.0,0.05917636349381325,-0.008531220191125635,-0.017055868429939072,-0.04230956621950618,0.08831718514091849,-0.03085067550735391,-0.015490454559966504,0.01895077463873352,0.32185225897502073
characterization,0.3942321100704928,0.2254889044847005,0.06081062545259464,0.5724959674584339,0.1329643757422948,0.5676181812352503,0.26916495193207723,0.13017348163636747,0.265832902715443,0.19739279150072844,0.289806792174527,0.05917636349381325,1.0,0.2753635474807808,0.06316329084436659,0.11462991782306628,0.18535524944129855,0.38317349291819086,0.23887615043563523,0.34014015505593514,0.0018757860325726444
componentOf,0.29387143234618596,-0.07098212299537626,0.47431091010009485,0.262237942886028,0.19408414410543007,0.010641778896385092,0.39118910919933825,0.17519375515379468,0.07322664035714191,0.3508350308958997,0.17221725934950555,-0.008531220191125635,0.2753635474807808,1.0,0.19084600442010488,0.14565742884124555,0.38906677175812726,0.3707902080594638,0.44877226656597785,-0.016978520667361646,-0.14942611227188843
derivation,-0.008700646489286623,-0.05415974662223927,0.22518843061797564,0.049708721312752994,0.18678053671220665,-0.10011360195442923,0.3698179669120702,0.2778797303198096,0.06817533880415809,-0.0014725921326688477,-0.1405951855534072,-0.017055868429939072,0.06316329084436659,0.19084600442010488,1.0,0.1929245358139527,0.50623020494857,0.4334615785972399,0.25622078362367096,-0.058426295257721125,-0.02062546014842881
formal,0.14848544558445942,-0.03536369729049916,0.0026781599430047275,0.11484548072814169,0.05328584640145444,-0.1534389369173699,0.17407943364661213,0.012277136352846635,0.18659884849934016,-0.03741357833456391,0.17722607764247458,-0.04230956621950618,0.11462991782306628,0.14565742884124555,0.1929245358139527,1.0,0.17175292745264006,0.20725670373399036,0.354744503047507,-0.027656299237958308,-0.25610265354399053
material,0.20977833065225318,0.04583635269998566,0.3775472170030428,0.18160853040175648,0.22421912667352062,0.028554206531026336,0.37963132226963076,0.22028854225883,0.049213084945411906,0.2536089080848507,-0.01125723534792921,0.08831718514091849,0.18535524944129855,0.38906677175812726,0.50623020494857,0.17175292745264006,1.0,0.42005125770975493,0.30236134439092244,-0.028455444567045917,-0.18301672590103588
mediation,0.12118817171568216,0.02327623712994454,0.2852776993157625,0.26102499266331136,0.3968093837449625,0.14610505256616818,0.7638769663448995,0.4443165509839792,0.2543341097709408,0.28180969737551836,0.13719543061185696,-0.03085067550735391,0.38317349291819086,0.3707902080594638,0.4334615785972399,0.20725670373399036,0.42005125770975493,1.0,0.4551191083254934,0.11319024586303249,-0.23129414262445627
memberOf,0.19427434952296888,0.10060893614095483,0.2679686561353182,0.3393889480182824,0.2639525233101407,-0.08757688093307751,0.3303800537241681,0.308447117180992,0.13837530307930004,0.2631184100195585,0.19581981505651874,-0.015490454559966504,0.23887615043563523,0.44877226656597785,0.25622078362367096,0.354744503047507,0.30236134439092244,0.4551191083254934,1.0,0.16500789290373755,-0.18454639466779446
participation,0.1322423937036843,0.6484959233398816,-0.16304925723383312,0.09614775908074923,0.07743635583203962,0.27812006131285805,0.04023595623562704,-0.1633373770417781,0.24401993114012369,0.05144298583459425,0.3070182687185474,0.01895077463873352,0.34014015505593514,-0.016978520667361646,-0.058426295257721125,-0.027656299237958308,-0.028455444567045917,0.11319024586303249,0.16500789290373755,1.0,0.0067834868312227365
none_r,0.14056224185927646,0.2521837073008905,0.07123553105533514,0.1648442904519171,-0.08648022014930999,-0.03817483582266951,-0.11529195036100182,0.11671934005722091,0.1979188788033462,-0.038737823173608944,0.08235839619379604,0.32185225897502073,0.0018757860325726444,-0.14942611227188843,-0.02062546014842881,-0.25610265354399053,-0.18301672590103588,-0.23129414262445627,-0.18454639466779446,0.0067834868312227365,1.0
