Stereotype,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers
mode,0.026825454304741807,0.5789331103759836,0.18350491106442857,0.19882824495236157,0.07012422903347376,0.5029411809306404,0.03826271170839751,0.025629229159011398,0.6756637807000302,0.11522609294716823,1.616339763503429,0.33037813726033116,0.15170825518172026,0.4682350512839924,0.04810089999713235,0.4883692101136561,0.5757386813430634,0.3759776665839618,0.16747730155450216,0.77991198320996,0.32791793810010395,0.1395372539994314,0.8747703203674871,0.0990393482122583,0.46938184089653767,0.24502923681404384,0.2062163163889347,0.41860761292985393,0.17104152581925705,0.34294413354985587,0.3085784343707092,0.4734263040820115,0.6613321130635376,0.20944425953041584,0.3421303262922385,0.03188741591142301,0.0,0.0,0.018734392070643327,0.10762090354564832
phase,0.00616777644569446,0.43976744417342767,0.2749340059539938,0.25470615751595466,0.14057079598054364,0.42379273124898736,0.05701344210383842,0.018842930342013682,0.7057737069520624,0.15564205133394607,0.33037813726033116,1.4540329506612075,0.20324559042143436,0.449870680987159,0.07549748721258266,0.596000461908198,0.7013419586673652,0.30958420520070395,0.16827022841349495,0.8690886297817397,0.1946426342967384,0.11382054606654451,0.514599397627349,0.12104552328871418,0.4279246945020538,0.15130626648047804,0.22697227364726563,0.20754296321396767,0.14073481539999802,0.1887704513735209,0.11184212689733214,0.5193816519334292,0.6789636253109447,0.22786918748695956,0.29551112677781094,0.012447353614473744,0.0,0.0,0.048308305287511275,0.052726103357339814
phaseMixin,0.07402259614758096,0.22345106816175225,0.06333795716613155,0.15293540861933314,0.07857819354081926,0.12981201720943303,0.006944890119853581,0.09792896462664971,0.20349365484460158,0.026396628957666035,0.15170825518172026,0.20324559042143436,0.4887508690375689,0.14251760428123425,0.008750213312887875,0.14087339292715248,0.16294097883271452,0.24866677777437396,0.07596784719697022,0.24044144349227967,0.1966874774143724,0.05669402434775272,0.16713806922664926,0.006944890119853581,0.1905344732498088,0.06265639008142226,0.03676131391727962,0.09476662636531608,0.12813859668271832,0.23037593075442983,0.06321181249744852,0.1929312848576524,0.1673403810911742,0.025736671555376282,0.09193727911807448,0.024311713003612512,0.0,0.0,0.04383698569544197,0.014346773695580392
quality,0.033588592936047885,0.612806845614135,0.127940601736426,0.2250325453114099,0.11278432263198013,0.5149312353808916,0.07259296973546436,0.030868976022527805,0.7173157156635572,0.17777216978731247,0.4682350512839924,0.449870680987159,0.14251760428123425,1.6028183109240273,0.07345788444378297,0.5530918493261839,0.6292956244218851,0.44355661363414617,0.27518549163146405,0.9343969050060228,0.2565494132324542,0.2112690930472168,0.8881438326456126,0.1178181334297806,0.40910884476043624,0.14620288579083252,0.13494597044658063,0.26335563864231026,0.1655253252193642,0.2649798116417255,0.23449233397012573,0.5130608779487931,0.5836303273209185,0.1582641576075641,0.3972845702416475,0.0247412775908624,0.0,0.0,0.017211000302853427,0.15369823453916934
quantity,0.001036111210572295,0.08502587410724176,0.0447814133706349,0.02222137122478364,0.044884506777266124,0.13899753709876161,0.163309045871145,0.044024100010672494,0.14454009400460427,0.01111897553219253,0.04810089999713235,0.07549748721258266,0.008750213312887875,0.07345788444378297,0.2899701528409827,0.12925628842239345,0.16163788643207097,0.10560842312695616,0.12443568965655652,0.10682812877106715,0.09909187875039344,0.011118975532192543,0.09167833536934779,0.004239220701271265,0.09417944283524124,0.08919608236513484,0.06844245051445622,0.10070216994330244,0.015208371370348459,0.0780154521071997,0.04410970149968774,0.05924389391059333,0.15339373172420143,0.02778427646560578,0.10411950484376507,0.0020877016055963343,0.0,0.0,0.0020877016055963343,0.008750213312887889
relator,0.022276815838855532,0.5511178385647927,0.26585491409655004,0.2785114880697413,0.1289363002353593,0.5881144286281116,0.16637799208195064,0.11897656265387294,1.0188286900335985,0.18757449090108474,0.4883692101136561,0.596000461908198,0.14087339292715248,0.5530918493261839,0.12925628842239345,2.0766563089879737,0.8244542620408507,0.6026065657225449,0.2257780685451199,1.141258818233356,0.371192151074984,0.15251840259575794,0.6747855575385169,0.1450639092465089,0.5867377715878391,0.27084219800108195,0.46703426235202516,0.3337102140482566,0.23710658283967329,0.35805557512946634,0.2370848488386511,0.6550263601260148,1.3118365247775832,0.3132678241828205,0.4361099393261841,0.02139477081199545,0.0,0.0,0.06920323304110608,0.14364030858290122
role,0.01608692019705335,0.6902330901029257,0.2735299365706976,0.3027999910888121,0.15307374353716754,0.5518135027992095,0.14764771305177346,0.06815470831805295,1.1543851874982707,0.20029284957808033,0.5757386813430634,0.7013419586673652,0.16294097883271452,0.6292956244218851,0.16163788643207097,0.8244542620408507,2.213187756720843,0.5355236350547226,0.29425778195950814,1.1454907379241748,0.3122423209364252,0.1827104477017799,0.7878244709464179,0.09830886355391641,0.5750014067630634,0.20523001085025752,0.3413453821104804,0.41951432007163447,0.19252969107031595,0.28182322910501667,0.2370438038709996,0.6002420110089356,0.9656152745932521,0.32023987121980446,0.4163990946985449,0.03261305181047826,0.0,0.0,0.05183270714136895,0.12794878870818982
roleMixin,0.07402259614758129,0.5729827211108679,0.08805495127362659,0.24144994459269825,0.10213818842613931,0.6260321290906841,0.13767423674820004,0.10848227068914038,0.6441750960956785,0.10606956152569207,0.3759776665839618,0.30958420520070395,0.24866677777437396,0.44355661363414617,0.10560842312695616,0.6026065657225449,0.5355236350547226,1.5153468145844302,0.3090686409319101,0.6620192878382082,0.4992539404937639,0.23796484358947428,0.6189042802577858,0.05580044751935971,0.3150247570229046,0.3256095243546172,0.19585181695493883,0.48714366471601755,0.3265700076398949,0.5413356859233542,0.3735763253493771,0.3861233311685328,0.6423674057191223,0.11977965530498752,0.4890908439896414,0.017541830929443336,0.0,0.0,0.04085125340392666,0.17856684982157067
situation,0.05449732345575154,0.391012229124683,0.06548988428391264,0.18205674822872936,0.0476770408584396,0.5606512059038751,0.1533136435486654,0.04085297911175906,0.3915706775936882,0.024429836684906704,0.16747730155450216,0.16827022841349495,0.07596784719697022,0.27518549163146405,0.12443568965655652,0.2257780685451199,0.29425778195950814,0.3090686409319101,0.837563777662948,0.38809601964889673,0.2314357838618576,0.4855706132245417,0.38959619115386795,0.06686791034745322,0.183563833335559,0.13110355135245402,0.1503479753430646,0.1702849952494083,0.1879359903904192,0.20636865429573112,0.1910758850071867,0.31763867907499765,0.27977058164688906,0.042836496595906846,0.4381622643425795,0.02217448434522063,0.0,0.0,0.041699757037050075,0.2702409000767172
subkind,0.018844441752772695,1.0002611851478351,0.4823729140829991,0.45298501969964977,0.19518590189393822,0.7315727534151037,0.12449145887425109,0.09236252396664149,1.4865223590402739,0.2369333089069305,0.77991198320996,0.8690886297817397,0.24044144349227967,0.9343969050060228,0.10682812877106715,1.141258818233356,1.1454907379241748,0.6620192878382082,0.38809601964889673,2.6285936266406926,0.4425910975622943,0.3070308042396794,1.0983906087823232,0.17966961326905959,0.7846346110851373,0.26048317630075435,0.3886235063332171,0.5027639540488603,0.2865794405277119,0.41132304743879883,0.2610448101503226,0.9437584202084839,1.2474324075131127,0.4597803470610093,0.5098973355716508,0.03827054503543385,0.0,0.0,0.04418650273263609,0.19764726628744994
