Stereotype,category,datatype,event,kind,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,characterization,componentOf,creation,derivation,externalDependence,instantiation,material,mediation,participation
situation,0.26228942571029934,0.0950718633300771,0.47828094963924433,0.2661428270615186,0.004217514437282366,0.11336041905261024,0.20550161131811912,0.11821574206659793,0.1544843394676952,0.18644357057698172,1.0,0.06293944449376705,0.10022516385991007,0.20309328458130294,0.004078254996605745,0.06761378579371093,0.06733281183823163,0.0856450034015208,0.08496860651754973,0.19041727085401697,0.16098990327160775,0.39210243025203523
subkind,0.2327299622335074,0.0806349102944312,0.06655505694033685,0.5154041605183818,0.2573989513317431,0.2905282960495576,0.2799568579085642,0.29304428535363297,0.1408245412690901,0.011573953737225154,0.06293944449376705,1.0,0.014677057361259856,0.1712000861195211,0.21792911721601124,0.03788162198467767,0.029122716021704475,0.024319587253040367,0.032958104750647005,0.09303729801111364,0.19993333945697503,0.069625075197064
type,0.2552422209916004,0.05308408180951316,0.4017690321147357,0.32376055954115385,0.24077828064593132,0.05604206430184793,0.1449478319418581,0.019762743483180346,0.17406663677822481,0.38082562648163915,0.10022516385991007,0.014677057361259856,1.0,0.3078401333599453,0.1648586451296618,0.4025522194779479,0.2117238386309588,0.49489767510005533,0.89442740863144,0.16335308795265743,0.02264148646791925,0.4687042739488848
characterization,0.38485167127202774,0.013084887499073723,0.3358994340868301,0.012723784282762931,0.574411764704319,0.021579565188197657,0.574085611979278,0.28236821183566563,0.08918099867654582,0.20905111726658726,0.20309328458130294,0.1712000861195211,0.3078401333599453,1.0,0.27133049907690077,0.185476329148566,0.009553543038237952,0.34170269586977486,0.27626036470864934,0.2737174508823673,0.25302838824999685,0.3288466331780244
componentOf,0.3061853873745931,0.11989704957091203,0.003556230491751593,0.1908584244335431,0.16489321398024867,0.19029008636918243,0.1333405886057801,0.20929799434641236,0.05417616678480838,0.06902031631253899,0.004078254996605745,0.21792911721601124,0.1648586451296618,0.27133049907690077,1.0,0.07695549623717901,0.08197067352152207,0.06227881409258363,0.20161472873293726,0.3593671337666575,0.2310186069215114,0.06644296983917095
creation,0.07580639268973097,0.010834923294022199,0.6317124469192864,0.0777389092366212,0.18737025213992864,0.05257645396308074,0.01384442744966269,0.08404610600303565,0.018456521157606796,0.381128789385777,0.06761378579371093,0.03788162198467767,0.4025522194779479,0.185476329148566,0.07695549623717901,1.0,0.0028797076406101695,0.2615819604986969,0.3598920896828078,0.027077600270048397,0.15529618104869072,0.7247633924242244
derivation,0.0886825149790355,0.0076143183311080396,0.02592113076884387,0.23174791265297448,0.010213056090027851,0.09269956779250034,0.058174947437404416,0.2932497680988858,0.1930837857426044,0.02221335944890695,0.06733281183823163,0.029122716021704475,0.2117238386309588,0.009553543038237952,0.08197067352152207,0.0028797076406101695,1.0,0.20260890774926169,0.15523246709662059,0.45973608717106795,0.4029064984362077,0.056173905745617536
externalDependence,0.15735091209068527,0.012106512046006662,0.3999187996282766,0.2889937745388875,0.40803572632902574,0.05537265902584887,0.0658519213045094,0.0884770196598031,0.061023004954101574,0.34459042983472143,0.0856450034015208,0.024319587253040367,0.49489767510005533,0.34170269586977486,0.06227881409258363,0.2615819604986969,0.20260890774926169,1.0,0.4645970663178468,0.20736202338045098,0.03285334287064182,0.29221385999525357
instantiation,0.20169442418548147,0.06398361622806399,0.3729493006594581,0.22504371796068148,0.20995920434274354,0.04175338914725577,0.17095393254556746,0.020141126933925425,0.18347130366612613,0.34785209400403905,0.08496860651754973,0.032958104750647005,0.89442740863144,0.27626036470864934,0.20161472873293726,0.3598920896828078,0.15523246709662059,0.4645970663178468,1.0,0.12822425948969002,0.03456878008013153,0.45981084063509575
material,0.08406044556947355,0.008697014867863107,0.0837216696205472,0.23799699627479093,0.16007081273978754,0.1558453791751251,0.16010575362197738,0.33404266612154065,0.06833685046997454,0.019061149976615347,0.19041727085401697,0.09303729801111364,0.16335308795265743,0.2737174508823673,0.3593671337666575,0.027077600270048397,0.45973608717106795,0.20736202338045098,0.12822425948969002,1.0,0.41902223955083273,0.02504541859313054
mediation,0.06036582074185642,0.0034073212534011066,0.04760243403225696,0.33016553842277097,0.21216048705819315,0.31275366120304887,0.09775194603774855,0.7645953931764081,0.3593215452063703,0.148693492908785,0.16098990327160775,0.19993333945697503,0.02264148646791925,0.25302838824999685,0.2310186069215114,0.15529618104869072,0.4029064984362077,0.03285334287064182,0.03456878008013153,0.41902223955083273,1.0,0.03626244583698773
participation,0.17159474500397368,0.12004671260888525,0.7686381727103905,0.2390771892759565,0.145882597222463,0.03028553907457324,0.1839528775381657,0.06464196485475959,0.1913987123450398,0.31339441963511283,0.39210243025203523,0.069625075197064,0.4687042739488848,0.3288466331780244,0.06644296983917095,0.7247633924242244,0.056173905745617536,0.29221385999525357,0.45981084063509575,0.02504541859313054,0.03626244583698773,1.0
