Stereotype Pair,Jaccard Similarity,Dice Coefficient
"('quality', 'type')",0.2916666666666667,0.45161290322580644
"('quality', 'none')",0.2608695652173913,0.41379310344827586
"('quality', 'other')",0.058823529411764705,0.1111111111111111
"('quantity', 'relator')",0.08333333333333333,0.15384615384615385
"('quantity', 'role')",0.11290322580645161,0.2028985507246377
"('quantity', 'roleMixin')",0.09302325581395349,0.1702127659574468
"('quantity', 'situation')",0.09090909090909091,0.16666666666666666
"('quantity', 'subkind')",0.08571428571428572,0.15789473684210525
"('quantity', 'type')",0.08,0.14814814814814814
"('quantity', 'none')",0.09523809523809523,0.17391304347826086
"('quantity', 'other')",0.11764705882352941,0.21052631578947367
"('relator', 'role')",0.6024096385542169,0.7518796992481203
"('relator', 'roleMixin')",0.4230769230769231,0.5945945945945946
"('relator', 'situation')",0.14285714285714285,0.25
"('relator', 'subkind')",0.6867469879518072,0.8142857142857143
"('relator', 'type')",0.18181818181818182,0.3076923076923077
"('relator', 'none')",0.12987012987012986,0.22988505747126436
"('relator', 'other')",0.10666666666666667,0.1927710843373494
"('role', 'roleMixin')",0.3783783783783784,0.5490196078431373
"('role', 'situation')",0.11267605633802817,0.20253164556962025
"('role', 'subkind')",0.5595238095238095,0.7175572519083969
"('role', 'type')",0.15492957746478872,0.2682926829268293
"('role', 'none')",0.18181818181818182,0.3076923076923077
"('role', 'other')",0.12121212121212122,0.21621621621621623
"('roleMixin', 'situation')",0.2127659574468085,0.3508771929824561
"('roleMixin', 'subkind')",0.3625,0.5321100917431193
"('roleMixin', 'type')",0.30434782608695654,0.4666666666666667
"('roleMixin', 'none')",0.24444444444444444,0.39285714285714285
"('roleMixin', 'other')",0.04,0.07692307692307693
"('situation', 'subkind')",0.14666666666666667,0.2558139534883721
"('situation', 'type')",0.15625,0.2702702702702703
"('situation', 'none')",0.13793103448275862,0.24242424242424243
"('situation', 'other')",0.16,0.27586206896551724
"('subkind', 'type')",0.18666666666666668,0.3146067415730337
"('subkind', 'none')",0.13333333333333333,0.23529411764705882
"('subkind', 'other')",0.14084507042253522,0.24691358024691357
"('type', 'none')",0.125,0.2222222222222222
"('type', 'other')",0.0,0.0
"('none', 'other')",0.07692307692307693,0.14285714285714285
