model_id,element,count
alpinebits2022,model,1
amaral2019rot,Point,490
amaral2019rot,yCoordinate,490
amaral2019rot,xCoordinate,490
amaral2019rot,project,398
amaral2019rot,point,378
amaral2019rot,containsView,254
amaral2019rot,isDerived,184
amaral2019rot,isViewOf,159
amaral2019rot,shape,159
amaral2019rot,Path,142
amaral2019rot,containsModelElement,138
amaral2019rot,name,118
amaral2019rot,width,112
amaral2019rot,height,112
amaral2019rot,topLeftPosition,112
amaral2019rot,Rectangle,106
amaral2019rot,ClassView,106
amaral2019rot,Property,91
amaral2019rot,propertyType,91
amaral2019rot,aggregationKind,91
amaral2019rot,isReadOnly,91
amaral2019rot,isOrdered,91
amaral2019rot,Cardinality,90
amaral2019rot,relationEnd,90
amaral2019rot,cardinality,90
amaral2019rot,cardinalityValue,90
amaral2019rot,lowerBound,90
amaral2019rot,upperBound,90
amaral2019rot,none,87
amaral2019rot,stereotype,78
amaral2019rot,restrictedTo,75
amaral2019rot,GeneralizationView,53
amaral2019rot,sourceView,53
amaral2019rot,targetView,53
amaral2019rot,Class,48
amaral2019rot,isPowertype,48
amaral2019rot,isExtensional,48
amaral2019rot,order,48
amaral2019rot,isAbstract,48
amaral2019rot,Relation,45
amaral2019rot,sourceEnd,45
amaral2019rot,targetEnd,45
amaral2019rot,Generalization,35
amaral2019rot,general,35
amaral2019rot,specific,35
amaral2019rot,extrinsicMode,18
amaral2019rot,category,14
amaral2019rot,functionalComplex,13
amaral2019rot,intrinsicMode,13
amaral2019rot,generalization,12
amaral2019rot,quality,11
amaral2019rot,characterization,10
amaral2019rot,relator,9
amaral2019rot,Diagram,9
amaral2019rot,diagram,9
amaral2019rot,event,8
amaral2019rot,subkind,8
amaral2019rot,roleMixin,8
amaral2019rot,externalDependence,8
amaral2019rot,Text,6
amaral2019rot,Package,6
amaral2019rot,GeneralizationSet,5
amaral2019rot,mediation,5
amaral2019rot,collective,5
amaral2019rot,isDisjoint,5
amaral2019rot,isComplete,5
amaral2019rot,quantity,4
amaral2019rot,shared,4
amaral2019rot,situation,4
amaral2019rot,role,3
amaral2019rot,bringsAbout,3
amaral2019rot,mode,2
amaral2019rot,kind,1
amaral2019rot,Project,1
amaral2019rot,triggers,1
amaral2019rot,material,1
amaral2019rot,datatype,1
amaral2019rot,historicalDependence,1
amaral2019rot,abstract,1
amaral2019rot,derivation,1
amaral2019rot,model,1
amaral2019rot,attribute,1
amaral2020game-theory,project,142
amaral2020game-theory,Point,122
amaral2020game-theory,xCoordinate,122
amaral2020game-theory,yCoordinate,122
amaral2020game-theory,point,94
amaral2020game-theory,isDerived,82
amaral2020game-theory,containsView,63
amaral2020game-theory,containsModelElement,60
amaral2020game-theory,name,56
amaral2020game-theory,Property,40
amaral2020game-theory,Cardinality,40
amaral2020game-theory,isOrdered,40
amaral2020game-theory,upperBound,40
amaral2020game-theory,aggregationKind,40
amaral2020game-theory,relationEnd,40
amaral2020game-theory,propertyType,40
amaral2020game-theory,isReadOnly,40
amaral2020game-theory,cardinalityValue,40
amaral2020game-theory,cardinality,40
amaral2020game-theory,lowerBound,40
amaral2020game-theory,shape,39
amaral2020game-theory,isViewOf,39
amaral2020game-theory,none,36
amaral2020game-theory,Path,35
amaral2020game-theory,stereotype,34
amaral2020game-theory,topLeftPosition,28
amaral2020game-theory,width,28
amaral2020game-theory,height,28
amaral2020game-theory,Rectangle,26
amaral2020game-theory,ClassView,26
amaral2020game-theory,Class,22
amaral2020game-theory,event,22
amaral2020game-theory,order,22
amaral2020game-theory,isPowertype,22
amaral2020game-theory,isAbstract,22
amaral2020game-theory,isExtensional,22
amaral2020game-theory,restrictedTo,22
amaral2020game-theory,Relation,20
