model_id,type,count
garcia2022human-genome-events,ClassView,13
garcia2022human-genome-events,Rectangle,13
garcia2022human-genome-events,Generalization,10
garcia2022human-genome-events,GeneralizationView,10
garcia2022human-genome-events,Relation,8
garcia2022human-genome-events,Project,1
garcia2022human-genome-events,Package,1
garcia2022human-genome-events,Diagram,1
gomes2022digital-technology,Point,105
gomes2022digital-technology,Property,36
gomes2022digital-technology,Cardinality,32
gomes2022digital-technology,Path,31
gomes2022digital-technology,Class,19
gomes2022digital-technology,ClassView,19
gomes2022digital-technology,Rectangle,19
gomes2022digital-technology,Relation,18
gomes2022digital-technology,Generalization,13
gomes2022digital-technology,GeneralizationView,13
gomes2022digital-technology,Package,4
gomes2022digital-technology,Project,1
gomes2022digital-technology,Diagram,1
goncalves2011ecg,Point,947
goncalves2011ecg,Property,339
goncalves2011ecg,Cardinality,264
goncalves2011ecg,Path,262
goncalves2011ecg,ClassView,173
goncalves2011ecg,Rectangle,173
goncalves2011ecg,Relation,165
goncalves2011ecg,Class,133
goncalves2011ecg,GeneralizationView,78
goncalves2011ecg,Generalization,70
goncalves2011ecg,Text,15
goncalves2011ecg,GeneralizationSet,14
goncalves2011ecg,Diagram,11
goncalves2011ecg,Package,6
goncalves2011ecg,Project,1
grueau2013towards,Point,57
grueau2013towards,Class,13
grueau2013towards,ClassView,13
grueau2013towards,Rectangle,13
grueau2013towards,Path,13
grueau2013towards,Generalization,10
grueau2013towards,GeneralizationView,10
grueau2013towards,Property,6
grueau2013towards,Cardinality,6
grueau2013towards,Relation,3
grueau2013towards,Project,1
grueau2013towards,Package,1
grueau2013towards,Diagram,1
guarino2016value,Point,139
guarino2016value,Property,74
guarino2016value,Cardinality,74
guarino2016value,Path,39
guarino2016value,Relation,37
guarino2016value,Class,18
guarino2016value,ClassView,18
guarino2016value,Rectangle,18
guarino2016value,Generalization,2
guarino2016value,GeneralizationView,2
guarino2016value,Project,1
guarino2016value,Package,1
guarino2016value,Diagram,1
guarino2018rea,Point,60
guarino2018rea,Property,24
guarino2018rea,Cardinality,24
guarino2018rea,Path,17
guarino2018rea,Relation,12
guarino2018rea,Class,11
guarino2018rea,ClassView,11
guarino2018rea,Rectangle,11
guarino2018rea,Generalization,5
