Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,characterization,componentOf,creation,derivation,externalDependence,instantiation,material,mediation,memberOf,participation
role,-0.021713491635397368,0.15972250868531176,-0.042961605185538924,-0.1731281883345722,0.4530333378893934,0.20567488488724456,0.0143576830751316,0.23388213848187447,0.08564266990895948,0.22578837914485933,1.0,0.0430730492253948,-0.20017752139298775,0.1040532889293919,-0.07484811885651196,-0.09159245851156417,0.007197225284792174,-0.0675737378399486,0.21122914478087457,-0.14461451843272152,-0.21943699408049172,0.21828279740287573,0.2166445612065605,0.06922053026462129,-0.2491364395612199
roleMixin,0.23911641584971174,-0.07567709026906581,-0.09363465914890995,0.25710987260442136,-0.1320566612493845,0.13626054069046425,0.26468769325912184,-0.0295924245373255,0.05734548638089704,0.11296419149105563,0.0430730492253948,1.0,0.1320566612493845,0.008619023915615242,0.25549698410382826,0.12958354495840688,-0.0040300837067154234,0.2289677456574903,-0.06557038690882046,0.2972117260810332,0.2104273710243376,-0.08461895109831852,0.11797735052284074,-0.019545646571362426,0.17368429246856407
situation,0.19010449947979852,-0.26113715320620917,0.15670009859740308,0.5545812511833931,-0.23543123543123542,-0.010215482151083087,0.02042113318289451,-0.06375865120614725,0.24140679010742744,-0.11912445555003777,-0.20017752139298775,0.1320566612493845,1.0,-0.10347101967820689,0.1171032774038532,0.21489516226913266,-0.08667084563948511,0.15733738320028215,0.007136750232817115,0.11688259575467345,0.16901303356897013,0.0135759619872171,-0.1545573984163514,-0.09067429874297032,0.44417729405929385
subkind,0.21324884526711002,0.12168374828645998,0.03982002411819596,-0.0030727171489383625,0.35240863181355064,-0.017167954068752826,0.09343021924526922,0.30888261119961213,0.10188910080027727,0.13971297970011495,0.1040532889293919,0.008619023915615242,-0.10347101967820689,1.0,0.012580927052396941,-0.00795147936949855,0.2562948989348734,-0.056791024237493166,-0.028858483235902878,-0.13145994433563243,-0.024681978270486626,0.13205126480723678,0.16498195269659605,0.0862468033631963,-0.08707625734958901
type,0.22509213937617997,0.04727631137863854,0.08006832374672458,0.3101545534540086,-0.21409791121310537,0.16823856208325033,0.28854233536015933,0.02543788036334543,0.21415871187968605,-0.04777453479773235,-0.07484811885651196,0.25549698410382826,0.1171032774038532,0.012580927052396941,1.0,0.27606664663162617,0.1292877056527723,0.2554172416518743,-0.14801528525936938,0.4395367765357728,0.7494734141015893,-0.07035905090450664,-0.06428262868626475,0.09325847657802884,0.2993942677606939
characterization,0.33488198976650807,0.05370925214205764,0.12331556254759345,0.24708650308101007,-0.06881098978358756,0.16830233161995956,0.5775116769457805,0.07847808716302264,0.5224910568293216,0.161895374953944,-0.09159245851156417,0.12958354495840688,0.21489516226913266,-0.00795147936949855,0.27606664663162617,1.0,0.21677918551647318,0.1690139920576743,-0.009699157486677872,0.3366711113625249,0.27267607661584015,0.00044649509326104113,0.2178369777591632,0.17053185628679296,0.3208315065124624
componentOf,0.12736566618081535,0.31947286274823017,0.09517309927369542,-0.10678043106610982,0.1985922526070092,0.07253413561590262,0.09765202827810449,0.2127273459488981,-0.01731494391833589,0.07612733440913207,0.007197225284792174,-0.0040300837067154234,-0.08667084563948511,0.2562948989348734,0.1292877056527723,0.21677918551647318,1.0,0.0345303824344413,-0.004560791225105813,-0.02631795979204698,0.13341245573446966,0.1771210157457255,0.13765859186917886,0.31535791015971193,-0.016137819739557985
creation,0.07678670041452018,-0.032379140787120515,0.007547998239576557,0.5081399953223653,-0.04058023005618137,-0.09464026511825782,0.1494111560646335,0.016792058455672033,0.12258331914286534,-0.012910077856619849,-0.0675737378399486,0.2289677456574903,0.15733738320028215,-0.056791024237493166,0.2554172416518743,0.1690139920576743,0.0345303824344413,1.0,0.012304778322051176,0.26245185551536426,0.3925564994169418,-0.043298928771845185,0.054375221766999035,0.11174003805860058,0.7064498575398291
derivation,-0.040646076654012986,0.1285007192097269,0.06101982443938689,-0.07319426548390423,0.29490893703995885,-0.010486610698740084,-0.0398442063991397,0.17503896208121467,-0.06924190687240855,0.3624421539625322,0.21122914478087457,-0.06557038690882046,0.007136750232817115,-0.028858483235902878,-0.14801528525936938,-0.009699157486677872,-0.004560791225105813,0.012304778322051176,1.0,-0.11782337548413262,-0.1375402610697001,0.5836033245373002,0.43958230788632885,0.1867168744538147,-0.0590769692691367
externalDependence,0.1637330628237514,-0.04859619968279991,-0.0303543167284453,0.3400968325361078,-0.27751454299293976,-0.06737830126358874,0.2972117260810332,-0.11324582419610947,0.2253458185209554,0.024758320467296285,-0.14461451843272152,0.2972117260810332,0.11688259575467345,-0.13145994433563243,0.4395367765357728,0.3366711113625249,-0.02631795979204698,0.26245185551536426,-0.11782337548413262,1.0,0.5704921546137655,-0.2195133373156837,0.017263441225077253,0.05577163604930821,0.38030343244032466
instantiation,0.18632654201312526,-0.017608362943801463,0.018160083021159134,0.321052089424865,-0.22887942126942606,0.022736010972428895,0.1696353038281303,-0.009116477781675366,0.31534759504700205,-0.0728150418140936,-0.21943699408049172,0.2104273710243376,0.16901303356897013,-0.024681978270486626,0.7494734141015893,0.27267607661584015,0.13341245573446966,0.3925564994169418,-0.1375402610697001,0.5704921546137655,1.0,-0.14418590151772512,-0.0450377349111045,-0.0034642822134919402,0.4715665692076874
material,0.02216947889857999,0.19170459679637997,0.06806452761883544,-0.07362071164754375,0.35141711439042295,0.11358301284127881,-0.01000869314066133,0.14265865356096974,-0.07516104066073807,0.33717302069565364,0.21828279740287573,-0.08461895109831852,0.0135759619872171,0.13205126480723678,-0.07035905090450664,0.00044649509326104113,0.1771210157457255,-0.043298928771845185,0.5836033245373002,-0.2195133373156837,-0.14418590151772512,1.0,0.4099174092256268,0.2185212964871804,-0.08556912309856785
mediation,-0.039648926027023725,0.28041922068543923,-0.024731086391028667,-0.1572510202863687,0.23477073177167304,0.08638862842495222,0.06332117683429304,0.21036804793248068,0.022409399140228433,0.7619580327607046,0.2166445612065605,0.11797735052284074,-0.1545573984163514,0.16498195269659605,-0.06428262868626475,0.2178369777591632,0.13765859186917886,0.054375221766999035,0.43958230788632885,0.017263441225077253,-0.0450377349111045,0.4099174092256268,1.0,0.27350306135092545,0.017134620517239768
memberOf,-0.004843062526895568,0.672410485757893,0.08267233755655215,0.004689401087063077,0.1305418188337133,0.05672171544597639,0.22494057664330655,0.2509364074996535,-0.17802657409565806,0.1695166136778084,0.06922053026462129,-0.019545646571362426,-0.09067429874297032,0.0862468033631963,0.09325847657802884,0.17053185628679296,0.31535791015971193,0.11174003805860058,0.1867168744538147,0.05577163604930821,-0.0034642822134919402,0.2185212964871804,0.27350306135092545,1.0,0.0815428582979953
participation,0.16890042011248332,-0.03175376841818104,0.10964937609074142,0.6365696184139793,-0.2528573302359867,-0.018707071367354805,0.14109364719986325,0.012948569612964084,0.3071193085280794,0.0004807872895252056,-0.2491364395612199,0.17368429246856407,0.44417729405929385,-0.08707625734958901,0.2993942677606939,0.3208315065124624,-0.016137819739557985,0.7064498575398291,-0.0590769692691367,0.38030343244032466,0.4715665692076874,-0.08556912309856785,0.017134620517239768,0.0815428582979953,1.0
