Stereotype,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none,other
mode,0.020431038670998963,0.46585834229129613,0.13314773870965413,0.16543493071253926,0.09575075363273375,0.4309448589002153,0.022909364340840892,0.018080689783064083,0.5560804516522846,0.09619724717472258,1.5591079371957917,0.29559520207327117,0.11219172989981545,0.33322849846271463,0.07226680786314534,0.4179142478534666,0.46274290425910825,0.3513751927556816,0.09782922573619515,0.6375240406235723,0.24729718606618792,0.20580744928599481,0.16846042241269193
phase,0.0034967915867407384,0.40947595698989786,0.2137784646958873,0.18367010376220258,0.09930344365466906,0.36485592422603885,0.03874020989500203,0.010616072202896454,0.5420969626000472,0.15748410333914226,0.29559520207327117,1.3256676086460488,0.15213960127723133,0.31568596566544743,0.11684217467922048,0.4486602180097057,0.5519667372671228,0.2884916305574626,0.11910946582945692,0.6968040461210406,0.1262057041876162,0.12506329752811793,0.22097448252721713
phaseMixin,0.054658823618028,0.15390588143524117,0.0452921261535302,0.10630435424336473,0.058931957386885454,0.09080605548338258,0.003205155488447159,0.07452269010269189,0.1430314260293129,0.018205794001871285,0.11219172989981545,0.15213960127723133,0.3672554299029288,0.10439847230579541,0.00654837579124784,0.09260721699626634,0.10571347141064087,0.17813078480838485,0.04408908104665502,0.14584835648558186,0.15135801540222024,0.06508274699016081,0.05325242321916721
quality,0.025395121772867763,0.4820455583731045,0.08777504896797828,0.18066995382459172,0.10493514448696593,0.36788560321418134,0.04859019374046534,0.020197850307705774,0.5314315675443276,0.13509609955771246,0.33322849846271463,0.31568596566544743,0.10439847230579541,1.3608815809273886,0.08393377089255469,0.42210232991127655,0.42750583396275876,0.3451715721146744,0.22648444547343902,0.6960279911628107,0.22404222708057359,0.2050628014413242,0.1040882043593525
quantity,0.0007889676115133276,0.10846360398333922,0.05335584329783503,0.051514034337941064,0.07452348112234752,0.1666320741056229,0.11806090057758174,0.03176216730440701,0.14852961481286966,0.0412673132809559,0.07226680786314534,0.11684217467922048,0.00654837579124784,0.08393377089255469,0.35642321867408366,0.1315930036110919,0.18531733398156086,0.11993687458368406,0.15416442662928265,0.12496374412930854,0.055655954014565696,0.05614585009444609,0.10324856176335516
relator,0.013507227823333377,0.5166409892621456,0.2156806864948783,0.22836583081822306,0.13468453740468048,0.45372940097715725,0.11882143388347796,0.08177523425859747,0.8809531001959192,0.16973256194874184,0.4179142478534666,0.4486602180097057,0.09260721699626634,0.42210232991127655,0.1315930036110919,2.1112685093862322,0.6857787820754574,0.463720106990833,0.1789927499020521,0.8876765135068961,0.25237244782832813,0.18856899925955384,0.25304235310864015
role,0.010572179781328822,0.5119054924399692,0.22177452755916105,0.2307915400218315,0.1638924535908404,0.511613748367979,0.10908342458766414,0.04793029453484346,0.9917994729974575,0.1479160065998959,0.46274290425910825,0.5519667372671228,0.10571347141064087,0.42750583396275876,0.18531733398156086,0.6857787820754574,2.211780888470662,0.3950121411409368,0.21652937562911062,0.8743453022737775,0.2614214030227792,0.3517607515747815,0.34287910337566435
roleMixin,0.05465882361802793,0.48169687529445365,0.0938351417410395,0.16553673407278552,0.09952055129864602,0.5879459341965805,0.1022940769663478,0.0821514402096417,0.5086516378326095,0.07842003431515106,0.3513751927556816,0.2884916305574626,0.17813078480838485,0.3451715721146744,0.11993687458368406,0.463720106990833,0.3950121411409368,1.5215576889177855,0.27215497463614957,0.49273851727075535,0.38795548749343944,0.1781246059278737,0.1686979627622366
situation,0.030367443834620103,0.2993792627117292,0.057668887315178885,0.12459695220340025,0.06983887780014293,0.48691772695709107,0.11284065822483963,0.020719688183135403,0.2933024756458436,0.01976750658027137,0.09782922573619515,0.11910946582945692,0.04408908104665502,0.22648444547343902,0.15416442662928265,0.1789927499020521,0.21652937562911062,0.27215497463614957,0.7976953762609098,0.30821879302720673,0.16067467941325464,0.11834202756914212,0.19171859641037498
subkind,0.012092392741747351,0.8621031756212876,0.3964309391075763,0.3827571951722642,0.18429787440852963,0.6951464547665669,0.0887933014614442,0.06543279284237434,1.2287989142708735,0.17736605957205537,0.6375240406235723,0.6968040461210406,0.14584835648558186,0.6960279911628107,0.12496374412930854,0.8876765135068961,0.8743453022737775,0.49273851727075535,0.30821879302720673,2.5844416569406805,0.32215397854983446,0.31899876919810904,0.3393677919219006
type,0.0411996550634652,0.3869727588231824,0.0883933768213335,0.1380156753597769,0.0729640526375959,0.40805561189171735,0.0604076800966726,0.11052535158646329,0.30480468453575443,0.04477041765571397,0.24729718606618792,0.1262057041876162,0.15135801540222024,0.22404222708057359,0.055655954014565696,0.25237244782832813,0.2614214030227792,0.38795548749343944,0.16067467941325464,0.32215397854983446,0.8259578195650232,0.14076566618011194,0.06923872479712012
none,0.054658823618027236,0.25562703344694243,0.058313534212585054,0.09644320687258981,0.0111106918555883,0.3139290978522571,0.040489274243091775,0.044097093509154,0.3225420537534437,0.04503491932087726,0.20580744928599481,0.12506329752811793,0.06508274699016081,0.2050628014413242,0.05614585009444609,0.18856899925955384,0.3517607515747815,0.1781246059278737,0.11834202756914212,0.31899876919810904,0.14076566618011194,0.7319755147615701,0.13477551921736064
other,0.0017606617139038216,0.23518545023160947,0.09028605100821085,0.08720588048849329,0.012739536639158146,0.2905512020158115,0.059709937802369425,0.00533951609863445,0.35614568996962603,0.02861990199710738,0.16846042241269193,0.22097448252721713,0.05325242321916721,0.1040882043593525,0.10324856176335516,0.25304235310864015,0.34287910337566435,0.1686979627622366,0.19171859641037498,0.3393677919219006,0.06923872479712012,0.13477551921736064,0.8213510464272971
