Stereotype,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
manifestation,0.10002544073912137,0.2795929577989491,0.033615602509924264,0.14799176202363365,0.21617196746555828,0.03977244994532698,0.2614884622636137,0.12819140881743088,0.21362088224544415,0.34258124410312984,0.533033294146835,0.07657752578878826,0.22526676207452836,0.059149577843642484,0.3286650509825872,0.003999167756898091,0.00605278019630625,0.003999167756898091,0.07661384324447505,0.09789588877417092,0.347121814317331,0.047416277690795476
material,0.1743897875430615,0.7526424166795725,0.2170016019634475,0.6861319262866574,0.22692783433733757,0.6958024547263276,0.1365173822166389,0.30920851859998366,0.15851872245940787,0.13965152398796998,0.07657752578878826,1.8264139555958299,1.0087456589839423,0.3927569571753113,0.3163737863462114,0.034476679275892534,0.15163682651745053,0.13869426209312108,0.1122868911680173,0.0978751689021776,1.0326645822525913,0.27057470118424065
mediation,0.16874034486983008,0.9798660247188175,0.17310189034573042,0.7462361339352729,0.39721243319999155,0.6653377618640365,0.40863913966761656,0.47233133775140923,0.30294068817841024,0.32601590998327495,0.22526676207452836,1.0087456589839423,2.412351519235572,0.5712314159735207,0.5307363131209901,0.1384060711531311,0.2077327704936433,0.17720882658061332,0.12278507502425166,0.13044243313142265,1.4021690691668791,0.34870602927660466
memberOf,0.04289416655144818,0.3962869100184974,0.09257350276912048,0.37734594422095896,0.165152477888551,0.23535812643614085,0.14236250745828016,0.2702022861391524,0.09606259839787976,0.12932229611079243,0.059149577843642484,0.3927569571753113,0.5712314159735207,0.9888964071933176,0.21183189310762973,0.05447483424052105,0.17124176312014472,0.12525501685295565,0.0612166506493931,0.031018395794976242,0.5295608727841735,0.10953309405372312
participation,0.2709542159392606,0.5364010896181776,0.10417599046528218,0.28028686263536207,0.5145800987104576,0.13040101976698387,0.34735755259267354,0.16093177973853934,0.40198395001112364,0.3659442983321225,0.3286650509825872,0.3163737863462114,0.5307363131209901,0.21183189310762973,1.15542860875599,0.1498506287347089,0.07666324438240625,0.06726012026777771,0.14264749696457013,0.1804943632310782,0.725414346531353,0.14037969079010823
participational,0.027013914569448613,0.08164925812903792,0.0016540908430276446,0.03632465699815095,0.1110960546265663,0.012654469118759247,0.08887831362501109,0.007190403002132251,0.0796664737177501,0.05438089171348845,0.003999167756898091,0.034476679275892534,0.1384060711531311,0.05447483424052105,0.1498506287347089,0.17720882658061288,0.036983401748378074,0.03656465168684261,0.03677312800195669,0.01750154694630774,0.1321260831295598,0.004924089509364189
subCollectionOf,0.0051407297588664524,0.12873782072353224,0.0025026610878161742,0.17175211091656928,0.07291274674095433,0.1363558588335534,0.02911652718310196,0.1462185898947787,0.05792747169000998,0.02666398622548498,0.00605278019630625,0.15163682651745053,0.2077327704936433,0.17124176312014472,0.07666324438240625,0.036983401748378074,0.2710409022630075,0.11912604150647473,0.0020765303867640098,0.004245423678042419,0.1862540873745982,0.07677756963730419
subQuantityOf,0.0033968534332530637,0.1309375064574494,0.0016540908430276446,0.12567222338717438,0.040135109598147665,0.09078427351874706,0.02559109253755141,0.08639662943836696,0.028153927805438198,0.024134417503956368,0.003999167756898091,0.13869426209312108,0.17720882658061332,0.12525501685295565,0.06726012026777771,0.03656465168684261,0.11912604150647473,0.17720882658061288,0.001372499679343879,0.002805493325345472,0.1371787144266625,0.08888291942428818
termination,0.05567708054382517,0.09116291403814401,0.083933889498976,0.07845831862837085,0.17220550460355494,0.04521755114071978,0.10093628804595747,0.009030360926136509,0.06439650586434556,0.07108490525455433,0.07661384324447505,0.1122868911680173,0.12278507502425166,0.0612166506493931,0.14264749696457013,0.03677312800195669,0.0020765303867640098,0.001372499679343879,0.22415931433121078,0.01814373328073344,0.14550031846859246,0.05187457725996207
triggers,0.20256938198386662,0.24054349997248264,0.030062294607317963,0.0635813878749257,0.035003349071013524,0.05456501326281287,0.10463631860110059,0.03605030744339772,0.10464185437367744,0.09331895400827767,0.09789588877417092,0.0978751689021776,0.13044243313142265,0.031018395794976242,0.1804943632310782,0.01750154694630774,0.004245423678042419,0.002805493325345472,0.01814373328073344,0.35862996089156685,0.22085494975097886,0.037595618029032336
none,0.2500316810507448,1.3101482558761535,0.13423041065713787,0.8870766183530554,0.5142000294882276,0.6502433176824179,0.5482243238122068,0.46154748573536947,0.3776161412872592,0.46445058445843135,0.347121814317331,1.0326645822525913,1.4021690691668791,0.5295608727841735,0.725414346531353,0.1321260831295598,0.1862540873745982,0.1371787144266625,0.14550031846859246,0.22085494975097886,3.504710022922574,0.4536182498961675
other,0.015333243273491885,0.31684995460516263,0.007453658230892814,0.22254134347510512,0.1022013087614867,0.23315104303414402,0.08830822425188842,0.19779693136581383,0.05565986770449653,0.03076440745094669,0.047416277690795476,0.27057470118424065,0.34870602927660466,0.10953309405372312,0.14037969079010823,0.004924089509364189,0.07677756963730419,0.08888291942428818,0.05187457725996207,0.037595618029032336,0.4536182498961675,0.6833413511977245
