Stereotype,category,datatype,event,kind,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,characterization,componentOf,derivation,externalDependence,instantiation,material,mediation,participation
situation,0.18328314687117214,0.17857689588114534,0.5265475381331455,0.22785227260386098,0.07272957958748295,0.06132679395672217,0.2287968983373927,0.1398654767740788,0.1958528898358061,0.14160630305187016,1.0,0.105315405731762,0.12139993441780589,0.21186609833495426,0.092643546020129,0.07565391077569403,0.08598298425843565,0.17711520708459708,0.06890940580449843,0.1348834227718221,0.4551320185106664
subkind,0.23009371914537696,0.07035887114054175,0.026543698787746716,0.44672217243744516,0.15624808174843507,0.3035051606873295,0.18430480692335505,0.16654458730461888,0.03876308615504376,0.027155770134871988,0.105315405731762,1.0,0.01611517436216497,0.08378211516197132,0.26973073393227975,0.01374445251112146,0.028037738864657474,0.028275376083746348,0.1802964547532769,0.20177701775100307,0.0886528198429972
type,0.2732941599675136,0.08113102515839489,0.31635249792371933,0.2464179679792305,0.1912892031358633,0.048138231718447215,0.25825205486098324,0.02430056739432851,0.14732279796322492,0.3059548858790849,0.12139993441780589,0.01611517436216497,1.0,0.2653882076629541,0.11476789478041936,0.19663861978486996,0.5160591466565766,0.8820502040609077,0.17112831341156023,0.04175685075989941,0.4192004325508415
characterization,0.3519336422422211,0.027071501298955174,0.18174188691085227,0.03378773872778436,0.532669487278672,0.006821366556286851,0.569808667311924,0.20789123857504838,0.002265071776395008,0.20202998357461263,0.21186609833495426,0.08378211516197132,0.2653882076629541,1.0,0.22511273232910425,0.04513460630994137,0.39636121657541656,0.30527884238719005,0.11287869841558316,0.3191422919052993,0.30422463270703815
componentOf,0.21481665057685553,0.1519168327451964,0.10728268373743592,0.25557688196934963,0.15075588381639587,0.12281862212344935,0.012668518345430809,0.12206722298416377,0.021397940971342518,0.021704997998589968,0.092643546020129,0.26973073393227975,0.11476789478041936,0.22511273232910425,1.0,0.04597265461709249,0.010868518984041961,0.19132434443490393,0.20727933790063732,0.1352612498778134,0.02318216632601379
derivation,0.06774642343643328,0.005750425276629366,0.006715106369277314,0.21428749035868344,0.022788802830752734,0.08061335443617507,0.08709021832983511,0.2830445511387835,0.2066461734602387,0.017931255605516193,0.07565391077569403,0.01374445251112146,0.19663861978486996,0.04513460630994137,0.04597265461709249,1.0,0.09703507532923553,0.14816972552344643,0.44583031929913575,0.3700910756626684,0.06029709808872625
externalDependence,0.15686863719530672,0.007169878686197199,0.31206929487387,0.2357977692028488,0.33096114129730453,0.1099650031899108,0.1836248298035153,0.064806658194788,0.03894732299365033,0.362679043052468,0.08598298425843565,0.028037738864657474,0.5160591466565766,0.39636121657541656,0.010868518984041961,0.09703507532923553,1.0,0.5465230138170531,0.24689674647970644,0.10253897414214304,0.3696232487044784
instantiation,0.22002819960322545,0.0774538985748551,0.3226417993717039,0.18740330450693518,0.1545994615235649,0.0315293248996187,0.2660434366429766,0.04402670588311613,0.20351528418011447,0.3168998067151057,0.17711520708459708,0.028275376083746348,0.8820502040609077,0.30527884238719005,0.19132434443490393,0.14816972552344643,0.5465230138170531,1.0,0.15006480169862024,0.033676821322002726,0.5078154539566435
material,0.08806556704511048,0.01494091437643022,0.011117409313445582,0.333706258228214,0.08062021412918959,0.11210003505987047,0.016980292661604637,0.20791771577900905,0.11139874456090454,0.08289654981062032,0.06890940580449843,0.1802964547532769,0.17112831341156023,0.11287869841558316,0.20727933790063732,0.44583031929913575,0.24689674647970644,0.15006480169862024,1.0,0.29320612739261387,0.064859123474462
mediation,0.01892010210094462,0.020767459394744812,0.09459079729998164,0.2118778845557215,0.22410946333253276,0.20005265164166688,0.13655914617999199,0.6943508158740004,0.19388766102721042,0.187967594789956,0.1348834227718221,0.20177701775100307,0.04175685075989941,0.3191422919052993,0.1352612498778134,0.3700910756626684,0.10253897414214304,0.033676821322002726,0.29320612739261387,1.0,0.03373804538834942
participation,0.130772660121829,0.1152282892476938,0.597520085330198,0.24995215896107667,0.07937247024673186,0.07823175267793789,0.24356068623317065,0.021520878538321186,0.3022492435693879,0.22180123778332508,0.4551320185106664,0.0886528198429972,0.4192004325508415,0.30422463270703815,0.02318216632601379,0.06029709808872625,0.3696232487044784,0.5078154539566435,0.064859123474462,0.03373804538834942,1.0
