model,abstract,abstractNature,aggregationKind,attribute,begin,bringsAbout,cardinality,Cardinality,cardinalityValue,categorizer,category,characterization,Class,collective,collectiveNature,comparative,componentOf,composite,creation,datatype,derivation,description,end,enumeration,event,eventNature,externalDependence,extrinsicModeNature,functionalComplexNature,general,generalization,Generalization,GeneralizationSet,historicalDependence,historicalRole,historicalRoleMixin,instantiation,intrinsicModeNature,isAbstract,isComplete,isDerived,isDisjoint,isExtensional,isOrdered,isPowertype,isReadOnly,kind,literal,Literal,lowerBound,manifestation,material,mediation,memberOf,mixin,mode,name,none,Note,order,participation,participational,phase,phaseMixin,property,Property,propertyType,quality,qualityNature,quantity,quantityNature,redefinesProperty,Relation,relationEnd,relator,relatorNature,restrictedTo,role,roleMixin,shared,situation,situationNature,sourceEnd,specific,stereotype,subCollectionOf,subkind,subQuantityOf,subsetsProperty,targetEnd,termination,triggers,type,typeNature,upperBound
amaral2020rome,2,0,130,14,0,0,130,130,130,0,6,12,48,3,0,0,5,5,0,2,0,0,0,0,0,0,6,0,0,25,10,25,5,0,0,0,3,0,48,5,236,5,48,130,48,130,6,0,0,130,0,0,12,0,0,6,241,121,0,48,0,0,0,2,0,130,116,10,0,3,0,0,58,116,13,0,54,0,10,4,0,0,58,25,86,0,3,0,0,58,0,0,6,0,130
amaral2022ethical-requirements,0,0,34,0,0,0,34,34,34,0,17,1,24,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,14,0,14,0,0,0,0,0,0,24,0,75,0,24,34,24,34,0,0,0,34,0,0,0,0,0,2,45,28,0,24,0,0,0,0,0,34,34,0,0,0,0,0,17,34,0,0,24,2,0,6,0,0,17,14,27,0,0,0,0,17,0,0,2,0,34
andersson2018value-ascription,0,0,34,0,0,0,34,34,34,0,1,0,13,1,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,2,0,2,0,0,0,0,0,0,13,0,64,0,13,34,13,34,0,0,0,24,0,0,0,3,0,0,28,26,0,13,0,0,0,0,0,34,34,0,0,1,0,0,17,34,0,0,8,0,0,6,4,0,17,2,16,0,0,0,0,17,0,0,0,0,24
andrade2023integracao,0,0,56,0,0,0,56,56,56,0,2,4,44,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,18,31,8,0,0,0,0,0,44,8,128,8,44,56,44,56,9,0,0,56,0,8,9,7,1,0,70,49,0,44,0,0,0,0,0,56,56,9,0,0,0,0,28,56,8,0,40,13,2,7,0,0,28,31,71,0,7,0,0,28,0,0,0,0,56
aristotle-ontology2019,2,0,353,59,0,0,288,288,288,0,1,23,182,4,0,0,24,29,0,2,2,154,0,0,14,0,0,0,0,105,1,105,1,0,0,0,0,0,182,1,682,1,182,353,182,353,53,0,0,286,0,7,32,2,1,11,392,316,0,182,2,0,4,0,0,353,326,8,0,12,0,0,147,294,18,0,182,18,0,8,0,0,147,105,285,0,69,10,0,147,0,0,0,0,286
barcelos2013normative-acts,3,0,55,19,0,0,36,36,36,0,0,0,45,23,0,0,11,18,0,3,0,0,0,0,0,0,0,0,0,27,21,27,10,0,0,0,0,0,45,10,118,10,45,55,45,55,10,0,0,36,0,0,0,2,0,0,83,37,0,45,0,0,0,0,0,55,53,0,0,0,0,0,18,36,0,0,45,0,0,0,0,0,18,27,63,5,27,0,0,18,0,0,0,0,36
barcelos2015transport-networks,0,0,700,4,0,0,696,696,696,0,32,0,487,3,0,0,83,84,0,0,31,4,0,0,0,0,0,0,0,608,281,608,78,0,0,0,0,0,487,78,1535,78,487,700,487,700,79,0,0,695,0,92,129,1,0,0,1352,616,0,487,0,0,2,0,0,700,696,0,0,0,0,0,348,696,84,0,487,235,25,0,0,0,348,608,835,0,71,0,0,348,0,0,0,0,695
barcelos2024resiliont,0,0,160,0,0,2,160,160,160,0,5,21,56,0,0,0,0,0,0,0,0,4,0,0,14,0,5,0,0,81,38,81,18,3,0,0,4,0,56,18,296,18,56,160,56,160,0,0,0,149,10,0,0,0,1,0,221,159,0,56,10,0,0,0,0,160,160,0,0,0,0,0,80,160,0,0,58,0,36,1,6,0,80,81,123,0,0,0,0,80,0,2,8,0,149
barros2020programming,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,12,0,12,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,15,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,12,0,0,0,0,0,0,11,12,0,11,0,0,0,0,0,0,0,0
bernasconi2021ontovcm,0,0,162,28,0,0,134,134,134,0,3,0,76,4,0,0,5,5,6,0,0,0,0,0,16,0,3,0,0,40,9,40,2,1,3,1,9,0,76,2,305,2,76,162,76,162,13,0,0,110,2,0,19,2,0,0,144,152,0,76,14,0,0,0,0,162,134,0,0,3,0,0,67,134,19,0,76,5,4,5,0,0,67,40,138,0,17,0,0,67,0,0,20,0,110
bernasconi2023fair-principles,0,0,58,0,0,0,58,58,58,0,3,2,46,14,0,0,6,8,0,0,0,0,0,0,0,0,11,0,0,38,4,38,2,0,0,0,0,0,46,2,133,2,46,58,46,58,9,0,0,44,0,0,8,2,0,1,69,50,0,46,0,0,0,0,0,58,58,0,0,0,0,0,29,58,9,0,46,9,1,0,0,0,29,38,75,0,17,0,0,29,0,0,0,0,44
brazilian-governmental-organizational-structures,0,0,14,0,0,0,14,14,14,0,4,0,15,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,15,11,15,5,0,0,0,0,0,15,5,36,5,15,14,15,14,5,0,0,10,0,0,0,0,0,0,30,12,0,15,0,0,3,0,0,14,14,0,0,0,0,0,7,14,0,0,15,0,0,0,0,0,7,15,22,0,3,0,0,7,0,0,0,0,10
buchtela2020connection,0,0,26,0,0,0,26,26,26,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,6,0,0,0,0,0,19,6,58,6,19,26,19,26,6,0,0,18,0,0,0,0,0,0,39,22,0,19,0,0,11,0,0,26,26,0,0,0,0,0,13,26,0,0,19,2,0,4,0,0,13,13,19,0,0,0,0,13,0,0,0,0,18
buridan-ontology2021,0,0,108,2,0,0,106,106,106,0,1,6,54,0,0,0,7,2,0,0,0,52,0,0,0,0,0,0,0,48,9,48,4,0,0,0,0,0,54,4,215,4,54,108,54,108,11,0,0,103,0,5,17,0,1,6,89,101,0,54,0,0,0,0,0,108,106,0,0,0,0,0,53,106,18,0,54,5,0,5,0,0,53,48,89,0,26,0,0,53,0,0,0,0,103
carolla2014campus-management,0,0,46,0,0,0,46,46,46,0,0,0,17,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,17,0,86,0,17,46,17,46,7,0,0,46,0,5,0,0,0,0,27,43,0,17,0,0,0,0,0,46,46,0,0,0,0,0,23,46,10,0,17,5,0,3,0,0,23,5,30,0,0,0,0,23,0,0,0,0,46
castro2012cloudvulnerability,0,0,54,0,0,0,54,54,54,0,2,0,32,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,21,7,21,4,0,0,0,0,0,32,4,113,4,32,54,32,54,11,0,0,38,0,6,13,0,0,0,80,54,0,32,0,0,0,0,0,54,54,0,0,0,0,0,27,54,14,0,32,3,0,0,0,0,27,21,58,0,10,0,0,27,0,0,0,0,38
cgts2021sebim,0,0,26,4,0,0,22,22,22,0,1,0,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,0,19,0,0,0,0,0,0,29,0,66,0,29,26,29,26,5,0,0,18,0,0,2,0,0,1,37,22,0,29,0,0,0,0,0,26,22,4,0,0,0,0,11,22,2,0,29,4,0,4,0,0,11,19,32,0,15,0,0,11,0,0,0,0,18
cmpo2017,0,0,132,0,0,0,132,132,132,0,4,0,55,0,0,0,0,16,0,0,0,0,0,0,44,0,0,0,0,50,7,50,2,0,0,0,0,0,55,2,253,2,55,132,55,132,5,0,0,27,0,6,0,0,1,1,112,115,0,55,0,0,6,0,0,132,132,0,0,0,0,0,66,132,0,0,46,7,2,1,0,0,66,50,59,0,5,0,0,66,0,0,0,0,27
core-o2023,0,0,94,0,0,2,94,94,94,0,8,4,30,0,0,0,2,0,1,0,0,0,0,0,4,0,0,0,0,17,11,17,6,0,0,0,5,0,30,6,171,6,30,94,30,94,1,0,0,88,2,0,0,0,0,5,69,86,0,30,1,0,0,0,0,94,94,0,0,0,0,0,47,94,0,0,30,0,0,8,8,0,47,17,49,0,2,0,0,47,0,2,16,0,88
dcat-mlt-ufo2023,4,0,68,6,0,0,62,62,62,0,5,3,30,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,30,0,129,0,30,68,30,68,3,0,0,34,0,0,6,0,0,1,103,68,0,30,0,0,0,0,0,68,62,4,0,0,0,0,31,62,6,0,23,1,1,0,0,0,31,17,33,0,4,0,0,31,0,0,1,0,34
demori2023miscon,0,0,54,0,0,0,23,23,23,0,4,9,31,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,31,0,112,0,31,54,31,54,9,0,0,23,0,1,2,0,1,1,63,52,0,31,0,0,0,0,0,54,54,16,0,0,0,0,27,54,2,0,31,7,0,2,0,0,27,15,44,0,0,0,0,27,0,0,0,0,23
derave2019dpo,0,0,655,57,0,0,598,598,598,0,3,4,259,18,0,0,2,31,11,0,0,9,0,0,162,0,4,0,0,250,38,250,18,7,0,0,4,0,259,18,1213,18,259,655,259,655,10,0,0,537,0,1,38,10,0,7,730,618,0,259,51,8,4,0,0,655,598,6,0,0,0,0,299,598,40,0,255,9,44,6,0,0,299,250,403,5,79,1,0,299,0,0,10,0,537
dpo2017,0,0,102,0,0,0,102,102,102,0,3,0,40,0,0,0,1,16,0,0,0,0,0,0,36,0,0,0,0,35,9,35,3,0,0,0,0,0,40,3,193,3,40,102,40,102,5,0,0,32,0,6,0,0,0,0,87,85,0,40,0,0,0,0,0,102,102,0,0,0,0,0,51,102,0,0,35,2,1,1,0,0,51,35,47,0,11,0,0,51,0,0,0,0,32
duarte2020jogabilidade,4,0,45,3,0,0,45,45,45,0,0,4,19,0,0,0,0,0,0,4,1,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,19,0,85,0,19,45,19,45,5,0,0,43,0,1,2,0,0,0,32,42,0,19,2,0,0,0,0,45,45,8,0,0,0,0,21,42,2,0,19,2,0,3,4,0,21,2,34,0,0,0,0,21,0,1,0,0,43
elghosh2020cargos,0,0,30,0,0,0,30,30,30,0,0,4,10,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,10,0,55,0,10,30,10,30,1,0,0,30,0,1,2,0,0,2,24,28,0,10,0,0,0,0,0,30,30,0,0,0,0,0,15,30,2,0,7,2,2,0,0,0,15,2,20,0,1,0,0,15,0,1,0,0,30
elghosh2024eucaim,0,0,60,0,0,3,60,60,60,0,1,9,38,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,27,7,27,3,0,0,0,0,0,38,3,128,3,38,60,38,60,3,0,0,60,0,14,0,0,0,2,68,60,0,38,4,0,2,0,0,60,60,15,0,0,0,0,30,60,0,0,38,2,0,0,2,0,30,27,68,0,12,0,0,30,0,0,0,0,60
elikan2018brand-identity,0,0,62,0,0,0,62,62,62,0,3,8,30,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,30,0,123,0,30,62,30,62,10,0,0,45,0,3,2,5,0,8,53,57,0,30,0,0,0,0,0,62,62,0,0,0,0,0,31,62,2,0,28,0,0,5,0,0,31,6,54,0,2,0,0,31,0,0,0,0,45
eu-rent-refactored2022,0,0,108,8,0,0,100,100,100,0,0,0,66,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,53,27,53,11,0,0,0,0,0,66,11,224,11,66,108,66,108,4,0,0,87,0,11,26,0,1,0,169,108,0,66,0,0,15,0,0,108,100,0,0,0,0,0,50,100,34,0,66,21,1,0,0,0,50,53,114,0,10,0,0,50,0,0,0,0,87
falduci2022non-consensual-pornography,0,0,76,0,0,0,76,76,76,0,3,8,27,0,0,0,0,4,4,0,4,0,0,0,6,0,0,0,0,13,5,13,2,0,0,0,0,0,27,2,141,2,27,76,27,76,2,0,0,76,0,4,11,0,0,4,57,72,0,27,0,0,0,0,0,76,76,0,0,0,0,0,38,76,8,0,22,9,2,0,0,0,38,13,58,0,0,0,0,38,0,0,0,0,76
fernandez-cejas2022curie-o,0,0,42,0,0,0,42,42,42,0,0,1,29,2,0,0,0,3,3,0,0,0,0,0,14,0,0,0,0,14,14,14,3,4,0,0,0,0,29,3,92,3,29,42,29,42,4,0,0,42,0,0,4,1,0,1,39,38,0,29,5,0,12,0,0,42,42,0,0,0,0,0,21,42,10,0,29,0,0,1,0,0,21,14,47,0,2,0,0,21,0,0,0,0,42
ferreira2015ontoemergeplan,2,0,247,5,0,0,247,247,247,0,32,7,147,2,0,0,5,13,0,2,0,0,0,0,6,0,0,0,0,117,38,117,19,0,0,0,0,0,147,19,515,19,147,247,147,247,9,0,0,209,0,6,16,2,4,18,620,234,0,147,0,0,0,0,0,247,242,0,0,0,0,2,121,242,18,0,130,15,14,0,4,0,121,117,254,0,2,0,6,121,0,0,48,0,209
fischer2018ontorea,0,0,46,0,0,0,46,46,46,0,0,0,18,6,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,12,12,12,4,0,0,0,0,0,18,4,87,4,18,46,18,46,5,0,0,44,0,2,4,1,0,0,39,45,0,18,0,0,4,0,0,46,46,0,0,0,0,0,23,46,4,0,20,0,0,1,0,0,23,12,37,0,4,0,0,23,0,0,0,0,44
fonseca2022incorporating,0,0,61,19,0,0,42,42,42,2,2,3,51,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,37,13,37,6,0,0,0,4,0,51,6,133,6,51,61,51,61,10,0,0,40,0,0,12,0,0,1,95,61,0,51,0,0,10,2,0,61,42,1,0,0,0,0,21,42,10,0,25,7,4,0,0,0,21,37,72,0,5,0,0,21,0,0,6,0,40
formula-one2023,0,0,26,0,0,0,26,26,26,0,1,1,26,4,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,18,14,18,6,0,0,0,0,0,26,6,65,6,26,26,26,26,8,0,0,26,0,2,4,1,0,1,37,21,0,26,0,0,2,2,0,26,26,0,0,0,0,0,13,26,4,0,27,7,1,1,0,0,13,18,36,0,2,0,0,13,0,0,0,0,26
fraller2019abc,0,0,137,45,0,0,92,92,92,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,22,23,8,0,0,0,0,0,39,8,222,8,39,137,39,137,10,0,0,68,0,6,12,0,0,0,135,137,0,39,0,0,4,0,0,137,92,0,0,0,0,0,46,92,12,0,39,0,0,0,0,0,46,23,73,0,19,0,0,46,0,0,0,0,68
franco2018rpg,0,0,48,0,0,0,48,48,48,0,4,4,23,4,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,9,4,9,2,0,0,0,0,0,23,2,95,2,23,48,23,48,8,0,0,45,0,0,2,1,0,3,42,39,0,23,0,0,0,0,0,48,48,0,0,0,0,0,24,48,2,0,20,1,0,0,0,0,24,9,35,0,1,0,0,24,0,0,0,0,45
fumagalli2022criminal-investigation,0,0,18,0,0,0,18,18,18,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,8,2,0,0,0,0,0,10,2,37,2,10,18,10,18,1,0,0,15,0,2,7,0,0,0,28,18,0,10,0,0,0,0,0,18,18,0,0,0,0,0,9,18,4,0,10,7,0,0,0,0,9,8,19,0,0,0,0,9,0,0,0,0,15
gailly2016value,0,0,30,0,0,0,30,30,30,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,57,0,12,30,12,30,0,0,0,0,0,0,0,0,0,0,31,30,0,12,0,0,0,0,0,30,30,0,0,0,0,0,15,30,4,0,4,0,0,0,2,0,15,0,12,0,0,0,0,15,0,0,0,0,0
garcia2022human-genome-events,2,0,27,11,0,0,16,16,16,0,1,0,15,0,0,0,0,1,1,2,0,0,0,0,10,0,1,0,0,10,0,10,0,1,0,4,1,0,15,0,50,0,15,27,15,27,0,0,0,9,0,0,0,0,0,0,30,25,0,15,1,1,0,2,0,27,22,0,0,0,0,0,8,16,0,0,15,0,0,1,0,0,8,10,22,0,0,0,0,8,1,0,2,0,9
gomes2022digital-technology,0,0,36,0,0,0,32,32,32,0,15,2,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,19,0,73,0,19,36,19,36,0,0,0,27,0,0,2,0,0,0,60,35,0,19,2,0,0,0,0,36,36,0,0,0,0,0,18,36,2,0,19,0,0,1,0,0,18,13,25,0,0,0,0,18,0,0,0,0,27
goncalves2011ecg,8,0,339,9,0,0,264,264,264,0,3,5,133,24,0,0,21,37,2,8,6,0,0,0,16,0,0,0,0,70,39,70,14,2,0,0,0,0,133,14,637,14,133,339,133,339,33,0,0,264,0,12,24,2,0,4,298,288,0,133,10,0,8,0,0,339,333,0,0,6,0,0,165,330,24,0,133,20,3,14,0,0,165,70,220,3,24,0,0,165,0,0,0,0,264
grueau2013towards,0,0,6,0,0,0,6,6,6,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,13,0,22,0,13,6,13,6,0,0,0,0,0,0,0,0,0,0,18,6,0,13,0,0,0,0,0,6,6,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,3,10,6,0,0,0,0,3,0,0,0,0,0
guarino2016value,0,0,74,0,0,0,74,74,74,0,3,8,18,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,18,0,129,0,18,74,18,74,0,0,0,71,0,0,8,0,1,0,22,66,0,18,0,0,0,0,0,74,74,16,0,0,0,0,37,74,8,0,18,2,1,0,0,0,37,2,43,0,0,0,0,37,0,0,0,0,71
guarino2018rea,0,0,24,0,0,0,24,24,24,0,1,2,11,4,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,5,2,5,1,0,0,0,0,0,11,1,47,1,11,24,11,24,0,0,0,24,0,0,2,0,0,2,25,20,0,11,0,0,0,0,0,24,24,0,0,4,0,0,12,24,2,0,17,0,3,0,0,0,12,5,15,0,2,0,0,12,0,0,0,0,24
guizzardi2005ontological,2,0,53,3,0,0,50,50,50,0,7,1,43,11,0,0,4,1,0,2,2,0,0,0,0,0,0,0,0,35,2,35,1,0,0,0,0,0,43,1,121,1,43,53,43,53,9,0,0,37,0,2,6,1,2,4,87,48,0,43,0,0,4,0,0,53,50,0,0,11,0,0,25,50,6,0,61,7,0,4,0,0,25,35,64,0,3,0,0,25,0,0,0,0,37
guizzardi2020decision-making,0,0,122,0,0,0,122,122,122,0,0,6,54,0,0,0,0,0,3,0,0,0,0,0,6,0,4,0,0,15,0,15,0,0,0,0,1,0,54,0,237,0,54,122,54,122,3,0,0,64,3,0,7,0,1,8,92,104,0,54,3,0,0,0,0,122,122,8,0,0,0,0,61,122,8,0,29,3,3,18,0,0,61,15,58,0,0,0,0,61,0,0,2,0,64
guizzardi2022ufo,2,0,83,3,0,0,83,83,83,1,0,4,62,2,0,0,5,5,0,0,1,0,0,2,14,0,3,0,0,36,16,36,8,0,0,0,2,0,62,8,185,8,62,83,62,83,11,4,4,83,1,1,14,1,0,3,119,77,0,62,0,0,4,0,0,83,80,3,0,3,0,0,40,80,13,0,62,17,0,1,0,0,40,36,99,0,7,0,0,40,0,0,4,0,83
haridy2021egyptian-e-government,0,0,32,0,0,0,32,32,32,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,32,0,80,0,32,32,32,32,6,0,0,30,0,0,14,0,0,0,37,32,0,32,0,0,0,0,0,32,32,4,0,0,0,0,16,32,18,0,30,2,0,0,0,0,16,14,48,0,14,0,0,16,0,0,0,0,30
heirbrant2023boekbazaar,0,0,240,122,0,0,116,116,116,0,0,0,42,0,0,0,0,0,2,0,1,1,0,0,34,0,0,0,0,16,1,16,2,0,0,0,0,0,42,2,341,2,42,240,42,240,8,0,0,116,0,0,2,0,0,0,225,240,0,42,1,0,0,0,0,240,115,0,0,0,0,0,59,118,9,0,40,0,9,0,0,0,59,16,61,0,5,0,0,59,0,0,0,0,116
jacobs2022sdpontology,13,0,60,16,0,0,11,11,11,0,1,0,34,0,0,0,0,3,0,1,0,1,0,12,0,0,0,0,0,5,0,5,0,0,0,0,0,0,34,0,116,0,34,60,34,60,14,43,43,11,0,0,0,0,0,0,112,50,0,34,0,0,0,0,0,60,59,4,0,0,0,0,22,44,2,0,34,2,0,7,0,0,22,5,34,0,1,0,0,22,0,0,0,0,11
junior2018o4c,2,0,17,7,0,0,17,17,17,0,0,0,11,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,5,5,5,2,0,0,0,0,0,11,2,33,2,11,17,11,17,3,0,0,15,0,1,2,0,0,0,29,15,0,11,0,0,0,0,0,17,12,0,0,0,0,0,5,10,8,0,11,0,0,2,0,0,5,5,16,0,2,0,0,5,0,0,0,0,15
khantong2020ontology,0,0,44,0,0,0,44,44,44,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,30,0,96,0,30,44,30,44,13,0,0,0,0,0,0,0,0,0,55,44,0,30,0,0,3,0,0,44,44,0,0,0,0,0,22,44,0,0,30,10,0,0,0,0,22,17,30,0,4,0,0,22,0,0,0,0,0
kostov2017towards,0,0,70,0,0,0,70,70,70,0,1,0,58,0,0,0,0,1,0,0,0,0,0,0,46,0,0,0,0,45,0,45,0,0,0,0,0,0,58,0,163,0,58,70,58,70,7,0,0,11,0,2,0,0,0,0,104,61,0,58,0,0,0,0,0,70,70,0,0,0,0,0,35,70,0,0,38,8,0,8,0,0,35,45,55,0,1,0,0,35,0,0,4,0,11
kritz2020ontobg,0,0,140,0,0,0,140,140,140,0,6,0,179,0,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,150,0,150,0,0,0,0,0,0,179,0,389,0,179,140,179,140,126,0,0,130,0,0,0,0,0,0,226,108,0,179,0,0,0,0,0,140,140,0,0,0,0,0,70,140,0,0,179,0,0,0,0,0,70,150,248,0,47,0,0,70,0,0,0,0,130
laurier2018rea,0,0,36,0,0,0,36,36,36,0,0,0,23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,0,0,0,0,0,23,0,77,0,23,36,23,36,2,0,0,0,0,0,0,0,0,0,29,36,0,23,0,0,0,0,0,36,36,0,0,6,0,0,18,36,22,0,35,4,6,0,0,0,18,18,24,0,0,0,0,18,0,0,0,0,0
