Stereotype,category,datatype,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type,none_c,characterization,componentOf,derivation,externalDependence,instantiation,material,mediation,participation,none_r,other_r
subkind,0.09116116006251108,0.018050348128687308,0.0695482691887235,0.49538432054231424,0.10954641986767699,0.30339892725375095,0.24670824324169083,0.3096514763992352,0.05634195659700169,0.13082243500442456,1.0,0.10157543516769484,0.20689916266036334,0.06830237356338863,0.2536788220099719,0.045853970068184376,0.08489326652659694,0.06763287379746909,0.11874238350753688,0.16272348422390068,0.16034964450659003,0.10834723706121129,0.05562619922554476
type,0.27859971865986843,0.10304895467587634,0.3574862736435552,0.3221371066123833,0.2369444470242568,0.12069214429395875,0.1663611663016366,0.006809563830727307,0.2193026589843384,0.3397788541574215,0.10157543516769484,1.0,0.048699841452777066,0.27763357885406276,0.21466544358187806,0.24293668356253317,0.5228020594460909,0.9305716703539713,0.22231796187722314,0.014043677914063454,0.40812734464413036,0.06904348513146454,0.165951443289886
none_c,0.06746611755065174,0.1243001957368171,0.029702747327747952,0.062023764591431926,0.05645576770029767,0.0832266039426059,0.22384061224489815,0.1467351578041964,0.031182911044694152,0.1052657359372093,0.20689916266036334,0.048699841452777066,1.0,0.11698391895331921,0.04132227324463675,0.017219707945713536,0.04672094827806895,0.010622426101221662,0.057850244664332,0.02214494860650256,0.059199434014450054,0.08489782962566007,0.05942728142413615
characterization,0.3345081119400613,0.06283527192423873,0.20572100113372893,0.07364928775619588,0.5863729806717491,0.06571597776969897,0.5620497790163004,0.16897472127846658,0.014597918566721008,0.160206193072973,0.06830237356338863,0.27763357885406276,0.11698391895331921,1.0,0.27474031039720237,0.08680861568950059,0.3439681997255003,0.25698565982757426,0.20753803870169113,0.14514495038676634,0.20885475695979253,0.019030789232944424,0.010696689964114832
componentOf,0.31742119798534046,0.143155350019868,0.023644716538302597,0.1915689195385458,0.21568333793453906,0.1589087981877273,0.10318181971242672,0.22329239447557983,0.012453120905415541,0.07860780799349004,0.2536788220099719,0.21466544358187806,0.04132227324463675,0.27474031039720237,1.0,0.14454056989480552,0.04701081056513953,0.2662593408074023,0.22677513121394247,0.18354564916906432,0.007384849280954898,0.025772434496142888,0.027779968405600017
derivation,0.12470363930605625,0.049322453300200145,0.018953377337596715,0.14945998324192755,0.03611682822910144,0.02920185526756833,0.13039851679619996,0.20773082668706333,0.19188807038790853,0.05558101881550901,0.045853970068184376,0.24293668356253317,0.017219707945713536,0.08680861568950059,0.14454056989480552,1.0,0.13204214301901843,0.20647986011841044,0.3710627477349958,0.34400567149524836,0.09831581685108579,0.10962642061189719,0.22935236847316642
externalDependence,0.12907394107665332,0.03085991804892322,0.3211599684388174,0.290654425791045,0.37414183809312124,0.16337197198925,0.09030469363092153,0.0,0.036317086278636924,0.37879158815486275,0.08489326652659694,0.5228020594460909,0.04672094827806895,0.3439681997255003,0.04701081056513953,0.13204214301901843,1.0,0.5056473193864245,0.2814712186346732,0.025778890637055643,0.2396070446868587,0.039936112240362344,0.11715376551887813
instantiation,0.22731525921388554,0.07069274233034106,0.3661743324526668,0.2597854990788822,0.1874248169270182,0.07153442042040853,0.18054472814131145,0.06557031615726992,0.2392266400746291,0.3522436240151499,0.06763287379746909,0.9305716703539713,0.010622426101221662,0.25698565982757426,0.2662593408074023,0.20647986011841044,0.5056473193864245,1.0,0.17219375958735736,0.053799516815862605,0.46050044483444713,0.09416320699295842,0.20629787670797994
material,0.025810143229465052,0.023458097408926255,0.014136333759477707,0.2528353825652988,0.12804179464892657,0.09945478883811877,0.08629134266419859,0.25206447333912485,0.007925148344789522,0.014602431699381968,0.11874238350753688,0.22231796187722314,0.057850244664332,0.20753803870169113,0.22677513121394247,0.3710627477349958,0.2814712186346732,0.17219375958735736,1.0,0.3429440364531125,0.04906948749859695,0.24316518942466356,0.10522403514470945
mediation,0.14186971803702483,0.023198179405121103,0.09006116197392011,0.2705073707692343,0.1690839369092476,0.21034743095959635,0.07964488904500176,0.7350733607280002,0.2716657037971721,0.1523306912292252,0.16272348422390068,0.014043677914063454,0.02214494860650256,0.14514495038676634,0.18354564916906432,0.34400567149524836,0.025778890637055643,0.053799516815862605,0.3429440364531125,1.0,0.08392219423516223,0.16541428759808083,0.12275917917427555
participation,0.0877066659335949,0.11177434046527192,0.7109345423499212,0.3268785899987408,0.043860499319971415,0.13532047280018508,0.16091088770058204,0.0800288550879069,0.3434092418380596,0.2019434117532217,0.16034964450659003,0.40812734464413036,0.059199434014450054,0.20885475695979253,0.007384849280954898,0.09831581685108579,0.2396070446868587,0.46050044483444713,0.04906948749859695,0.08392219423516223,1.0,0.07558091395288993,0.13784584059215974
none_r,0.11434134603599057,0.07410835429741704,0.12839623595599292,0.06540694590007098,0.010544558362048853,0.06954004771283366,0.11083058006923045,0.12050510440390703,0.10831262734253239,0.041574664548659386,0.10834723706121129,0.06904348513146454,0.08489782962566007,0.019030789232944424,0.025772434496142888,0.10962642061189719,0.039936112240362344,0.09416320699295842,0.24316518942466356,0.16541428759808083,0.07558091395288993,1.0,0.07168722520737189
other_r,0.16167427982106597,0.07140461340904994,0.23305557103883365,0.06881167193590541,0.0067686220817749585,0.010142143649757771,0.10176932418647507,0.07464255543088409,0.067836052244871,0.08319714424379306,0.05562619922554476,0.165951443289886,0.05942728142413615,0.010696689964114832,0.027779968405600017,0.22935236847316642,0.11715376551887813,0.20629787670797994,0.10522403514470945,0.12275917917427555,0.13784584059215974,0.07168722520737189,1.0
