Stereotype Pair,Jaccard Similarity,Dice Coefficient
"('kind', 'relator')",0.6956521739130435,0.8205128205128205
"('kind', 'role')",0.7570093457943925,0.8617021276595744
"('kind', 'roleMixin')",0.3739130434782609,0.5443037974683544
"('kind', 'situation')",0.12727272727272726,0.22580645161290322
"('kind', 'subkind')",0.7636363636363637,0.865979381443299
"('kind', 'type')",0.17117117117117117,0.2923076923076923
"('kind', 'none')",0.17757009345794392,0.30158730158730157
"('kind', 'other')",0.14150943396226415,0.24793388429752067
"('mixin', 'mode')",0.22727272727272727,0.37037037037037035
"('mixin', 'phase')",0.23076923076923078,0.375
"('mixin', 'phaseMixin')",0.034482758620689655,0.06666666666666667
"('mixin', 'quality')",0.2,0.3333333333333333
"('mixin', 'quantity')",0.1724137931034483,0.29411764705882354
"('mixin', 'relator')",0.17525773195876287,0.2982456140350877
"('mixin', 'role')",0.2441860465116279,0.3925233644859813
"('mixin', 'roleMixin')",0.203125,0.33766233766233766
"('mixin', 'situation')",0.075,0.13953488372093023
"('mixin', 'subkind')",0.16494845360824742,0.2831858407079646
"('mixin', 'type')",0.1951219512195122,0.32653061224489793
"('mixin', 'none')",0.15384615384615385,0.26666666666666666
"('mixin', 'other')",0.05263157894736842,0.1
"('mode', 'phase')",0.32894736842105265,0.49504950495049505
"('mode', 'phaseMixin')",0.09836065573770492,0.1791044776119403
"('mode', 'quality')",0.35526315789473684,0.5242718446601942
"('mode', 'quantity')",0.109375,0.19718309859154928
"('mode', 'relator')",0.4803921568627451,0.6490066225165563
"('mode', 'role')",0.45454545454545453,0.625
"('mode', 'roleMixin')",0.46153846153846156,0.631578947368421
"('mode', 'situation')",0.1267605633802817,0.225
"('mode', 'subkind')",0.48514851485148514,0.6533333333333333
"('mode', 'type')",0.30303030303030304,0.46511627906976744
"('mode', 'none')",0.22388059701492538,0.36585365853658536
"('mode', 'other')",0.1,0.18181818181818182
"('phase', 'phaseMixin')",0.1111111111111111,0.2
"('phase', 'quality')",0.2647058823529412,0.4186046511627907
"('phase', 'quantity')",0.17391304347826086,0.2962962962962963
"('phase', 'relator')",0.35353535353535354,0.5223880597014925
"('phase', 'role')",0.3956043956043956,0.5669291338582677
"('phase', 'roleMixin')",0.27631578947368424,0.4329896907216495
"('phase', 'situation')",0.10526315789473684,0.19047619047619047
"('phase', 'subkind')",0.43010752688172044,0.6015037593984962
"('phase', 'type')",0.1694915254237288,0.2898550724637681
"('phase', 'none')",0.1206896551724138,0.2153846153846154
"('phase', 'other')",0.1320754716981132,0.23333333333333334
"('phaseMixin', 'quality')",0.10638297872340426,0.19230769230769232
"('phaseMixin', 'quantity')",0.0,0.0
"('phaseMixin', 'relator')",0.06382978723404255,0.12
"('phaseMixin', 'role')",0.0449438202247191,0.08602150537634409
"('phaseMixin', 'roleMixin')",0.125,0.2222222222222222
"('phaseMixin', 'situation')",0.03571428571428571,0.06896551724137931
"('phaseMixin', 'subkind')",0.06451612903225806,0.12121212121212122
"('phaseMixin', 'type')",0.16666666666666666,0.2857142857142857
"('phaseMixin', 'none')",0.03333333333333333,0.06451612903225806
"('phaseMixin', 'other')",0.04,0.07692307692307693
"('quality', 'quantity')",0.09803921568627451,0.17857142857142858
"('quality', 'relator')",0.37373737373737376,0.5441176470588235
"('quality', 'role')",0.3723404255319149,0.5426356589147286
"('quality', 'roleMixin')",0.2692307692307692,0.42424242424242425
"('quality', 'situation')",0.22641509433962265,0.36923076923076925
"('quality', 'subkind')",0.35,0.5185185185185185
"('quality', 'type')",0.24561403508771928,0.39436619718309857
"('quality', 'none')",0.21818181818181817,0.3582089552238806
"('quality', 'other')",0.05084745762711865,0.0967741935483871
"('quantity', 'relator')",0.10638297872340426,0.19230769230769232
"('quantity', 'role')",0.1411764705882353,0.24742268041237114
"('quantity', 'roleMixin')",0.09836065573770492,0.1791044776119403
