Stereotype,category,collective,datatype,enumeration,event,kind,mixin,mode,phase,quality,quantity,relator,role,roleMixin,situation,subkind,type,none_c,other_c,characterization,componentOf,derivation,formal,material,mediation,memberOf,subCollectionOf,none_r,other_r
quantity,0.08947924869885988,0.24287224646833397,0.47420070662160324,0.37595815966025536,-0.007996162762590017,0.2251886745555225,0.5181036310903636,0.2815775896170011,0.33606722016672236,0.12315870747491124,1.0,0.0699230178027249,0.2711630722733202,-0.06688560540599386,0.26162797606709143,0.08947924869885988,0.1850688368777999,-0.1948093019766315,-0.04954150840221495,0.485071250072666,0.14792901110791531,0.3017528239044001,0.07669649888473705,0.24000128998621326,0.20118695404073914,0.24287224646833397,0.12315870747491124,0.16351748504193214,0.33606722016672236
relator,0.07597371763975863,0.1709408646894569,-0.20652005056869158,0.024078566516544362,-0.2881193767663155,0.02342198415362776,0.07282190812544191,0.2062466393120523,0.07282190812544191,0.024078566516544362,0.0699230178027249,1.0,0.16116459280507606,0.26891849420908714,-0.048592953074986255,-0.047483573524849144,0.17729434412151449,-0.24604113061761196,-0.1539158958666967,0.37839373433213475,0.05940605706521969,0.3680597509855791,0.2943981558540647,0.15492043688132195,0.67700320038633,0.1709408646894569,0.024078566516544362,0.048592953074986255,0.07282190812544191
role,0.11785113019775792,0.11785113019775792,0.0,0.05976143046671969,-0.1843024451936214,0.45675013919556984,0.3872983346207417,0.07312724241271307,0.25819888974716115,0.05976143046671969,0.2711630722733202,0.16116459280507606,1.0,0.03627381250550058,-0.1507556722888818,0.11785113019775792,0.22450662753346862,-0.04490132550669373,-0.20761369963434992,0.0,0.036860489038724284,0.16609095970747995,0.11785113019775792,0.36273812505500586,0.0,0.0,0.05976143046671969,0.3015113445777636,0.0
roleMixin,0.4274909800354809,0.017099639201419235,-0.13124359177794215,0.0086710996952412,0.334267617062936,-0.13254455128833115,0.19668302043215574,0.48807911397944004,0.318439175937776,0.1777575437524446,-0.06688560540599386,0.26891849420908714,0.03627381250550058,1.0,0.010936965981495178,0.20519567041703082,0.26711373107923453,0.1400718345903303,-0.10242078963189225,0.2838874869788344,-0.08289836903160813,0.015061880828219448,0.2393949488198693,-0.02631578947368421,0.2849614140875866,0.017099639201419235,0.0086710996952412,0.13124359177794215,0.19668302043215574
situation,-0.023688968483956716,-0.13028932666176193,0.21212121212121213,0.0900937462695559,0.5112373581455452,-0.23787196577216382,0.1037998592215364,-0.08819477274048472,-0.06487491201346025,0.32433748657040123,0.26162797606709143,-0.048592953074986255,-0.1507556722888818,0.010936965981495178,1.0,-0.17766726362967536,0.13538259026847058,-0.21661214442955296,0.4006264686689075,0.24720661623652207,-0.21116325662533386,-0.08763704002132351,-0.13028932666176193,-0.13124359177794215,-0.03289758474798845,0.023688968483956716,-0.14414999403128942,0.18181818181818182,0.27247463045653303
subkind,0.5185185185185185,0.08333333333333333,0.13028932666176193,0.042257712736425826,0.10425720702853739,0.2446750914644598,0.10143010324169743,0.3619613829965134,0.36514837167011077,-0.14085904245475275,0.08947924869885988,-0.047483573524849144,0.11785113019775792,0.20519567041703082,-0.17766726362967536,1.0,0.3386670053338413,0.06350006350009525,0.00978700365857839,0.07027283689263066,0.33014782225703504,0.00978700365857839,-0.1574074074074074,0.31634332522625586,0.2743170665992745,-0.037037037037037035,0.042257712736425826,0.023688968483956716,-0.03042903097250923
type,0.3386670053338413,0.21166687833365083,0.13538259026847058,0.03756714418984553,0.22178136543293245,0.007457704245544709,0.47533236815417246,0.32178399126805257,0.1739020859100631,0.2468698046761278,0.1850688368777999,0.17729434412151449,0.22450662753346862,0.26711373107923453,0.13538259026847058,0.3386670053338413,1.0,0.21370967741935484,0.1379675285425771,0.2510060402820309,0.0926847497331658,-0.007457704245544709,0.07408340741677778,0.26711373107923453,0.0881844526878323,0.21166687833365083,0.2468698046761278,0.21661214442955296,0.32461722703211776
none_c,-0.07408340741677778,-0.20108353441696827,-0.21661214442955296,-0.1717355162964367,0.3508779811326991,-0.1379675285425771,0.023186944788008413,0.19372709678382757,0.023186944788008413,-0.1717355162964367,-0.1948093019766315,-0.24604113061761196,-0.04490132550669373,0.1400718345903303,-0.21661214442955296,0.06350006350009525,0.21370967741935484,1.0,0.1379675285425771,-0.1405633825579373,-0.03641186596660085,-0.007457704245544709,-0.06350006350009525,0.1400718345903303,-0.16657063285479434,-0.06350006350009525,0.03756714418984553,0.21661214442955296,0.1739020859100631
other_c,0.13701805122009747,-0.13701805122009747,0.07511746287542015,-0.19851666679418606,0.345903960984675,-0.05862068965517241,-0.0428845013935118,0.07591108670680652,-0.0428845013935118,-0.19851666679418606,-0.04954150840221495,-0.1539158958666967,-0.20761369963434992,-0.10242078963189225,0.4006264686689075,0.00978700365857839,0.1379675285425771,0.1379675285425771,1.0,0.1392715036327889,-0.012244387999457523,0.05862068965517241,-0.13701805122009747,0.015061880828219448,-0.045305023518296864,0.11744404390294069,-0.004962916669854651,0.2503915429180672,0.3752393871932282
characterization,0.41285291674420505,0.27230724295894376,0.24720661623652207,0.2538981798168031,0.09066481509192072,-0.018569533817705184,0.44263520637871306,0.47420070662160324,0.06735753140545633,0.2538981798168031,0.485071250072666,0.37839373433213475,0.0,0.2838874869788344,0.24720661623652207,0.07027283689263066,0.2510060402820309,-0.1405633825579373,0.1392715036327889,1.0,0.3049634689455515,0.2599734734478726,0.27230724295894376,0.07299963950884314,0.6262025468086422,0.3865006029094686,0.08017837257372731,0.19102329436458523,0.5677277647031319
componentOf,0.10425720702853739,0.34752402342845795,0.22227711223719354,0.23350056858164248,-0.2717391304347826,0.37039273698359004,0.16179473487071222,0.10782023669543774,0.16179473487071222,-0.2819629507400966,0.14792901110791531,0.05940605706521969,0.036860489038724284,-0.08289836903160813,-0.21116325662533386,0.33014782225703504,0.0926847497331658,-0.03641186596660085,-0.012244387999457523,0.3049634689455515,1.0,0.345903960984675,0.2345787158142091,0.334267617062936,0.24935216268401741,0.46046933104270676,0.23350056858164248,-0.22227711223719354,0.16179473487071222
derivation,0.13701805122009747,0.2446750914644598,-0.08763704002132351,-0.004962916669854651,-0.2510099539888792,0.3448275862068966,0.09649012813540155,0.07591108670680652,0.3752393871932282,-0.19851666679418606,0.3017528239044001,0.3680597509855791,0.16609095970747995,0.015061880828219448,-0.08763704002132351,0.00978700365857839,-0.007457704245544709,-0.007457704245544709,0.05862068965517241,0.2599734734478726,0.345903960984675,1.0,0.49913718658749795,0.6024752331287779,0.4258672210719905,0.37190613902597885,0.38214458357880815,-0.07511746287542015,0.3752393871932282
formal,0.2037037037037037,0.39814814814814814,0.023688968483956716,-0.042257712736425826,-0.2172025146427862,0.13701805122009747,0.29414729940092255,0.08618128166583652,0.29414729940092255,-0.042257712736425826,0.07669649888473705,0.2943981558540647,0.11785113019775792,0.2393949488198693,-0.13028932666176193,-0.1574074074074074,0.07408340741677778,-0.06350006350009525,-0.13701805122009747,0.27230724295894376,0.2345787158142091,0.49913718658749795,1.0,0.2393949488198693,0.3943307832364571,0.5185185185185185,0.3239757976459313,-0.33164555877539403,0.29414729940092255
material,0.31634332522625586,0.2393949488198693,0.010936965981495178,0.0086710996952412,-0.08289836903160813,0.572351471472339,0.19668302043215574,0.17772445998164393,0.19668302043215574,-0.3295017884191656,0.24000128998621326,0.15492043688132195,0.36273812505500586,-0.02631578947368421,-0.13124359177794215,0.31634332522625586,0.26711373107923453,0.1400718345903303,0.015061880828219448,0.07299963950884314,0.334267617062936,0.6024752331287779,0.2393949488198693,1.0,0.2849614140875866,0.2393949488198693,0.1777575437524446,-0.010936965981495178,0.318439175937776
mediation,0.3857583749052298,0.2828894749305018,-0.03289758474798845,0.14345114601325779,-0.16891598117304404,0.045305023518296864,0.14085904245475275,0.2952169423244472,0.14085904245475275,-0.026082026547865053,0.20118695404073914,0.67700320038633,0.0,0.2849614140875866,-0.03289758474798845,0.2743170665992745,0.0881844526878323,-0.16657063285479434,-0.045305023518296864,0.6262025468086422,0.24935216268401741,0.4258672210719905,0.3943307832364571,0.2849614140875866,1.0,0.3943307832364571,0.14345114601325779,-0.10965861582662816,0.2629368792488718
memberOf,0.2037037037037037,0.7592592592592593,0.33164555877539403,-0.042257712736425826,-0.10425720702853739,0.13701805122009747,0.29414729940092255,0.3102526139970115,0.1622881651867159,-0.2253744679276044,0.24287224646833397,0.1709408646894569,0.0,0.017099639201419235,0.023688968483956716,-0.037037037037037035,0.21166687833365083,-0.06350006350009525,0.11744404390294069,0.3865006029094686,0.46046933104270676,0.37190613902597885,0.5185185185185185,0.2393949488198693,0.3943307832364571,1.0,0.50709255283711,-0.33164555877539403,0.29414729940092255
subCollectionOf,-0.14085904245475275,0.3239757976459313,0.0900937462695559,0.16428571428571428,-0.11014177763285023,0.19851666679418606,0.21602468994692867,0.04370188612670307,0.21602468994692867,-0.11428571428571428,0.12315870747491124,0.024078566516544362,0.05976143046671969,0.0086710996952412,-0.14414999403128942,0.042257712736425826,0.2468698046761278,0.03756714418984553,-0.004962916669854651,0.08017837257372731,0.23350056858164248,0.38214458357880815,0.3239757976459313,0.1777575437524446,0.14345114601325779,0.50709255283711,1.0,-0.32433748657040123,0.21602468994692867
none_r,0.17766726362967536,-0.33164555877539403,-0.015151515151515152,-0.0900937462695559,0.21116325662533386,-0.08763704002132351,0.2335496832484569,0.2315112784437724,-0.1037998592215364,0.14414999403128942,0.16351748504193214,0.048592953074986255,0.3015113445777636,0.13124359177794215,0.18181818181818182,0.023688968483956716,0.21661214442955296,0.21661214442955296,0.2503915429180672,0.19102329436458523,-0.22227711223719354,-0.07511746287542015,-0.33164555877539403,-0.010936965981495178,-0.10965861582662816,-0.33164555877539403,-0.32433748657040123,1.0,0.06487491201346025
other_r,0.2332892374559041,0.1622881651867159,0.1037998592215364,0.21602468994692867,0.28552012036008034,0.18225913092242513,0.2777777777777778,0.25489853281665936,0.13333333333333333,0.015430334996209192,0.33606722016672236,0.07282190812544191,0.0,0.19668302043215574,0.27247463045653303,-0.03042903097250923,0.32461722703211776,0.1739020859100631,0.3752393871932282,0.5677277647031319,0.16179473487071222,0.3752393871932282,0.29414729940092255,0.318439175937776,0.2629368792488718,0.29414729940092255,0.21602468994692867,0.06487491201346025,1.0
