Stereotype,category,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type,none_c,characterization,componentOf,derivation,material,mediation,memberOf,none_r,other_r
type,0.42582544050212956,0.3336903066319619,-0.08759979175736882,0.3387024180610599,-0.02298164294422678,0.12361510329570881,0.10278987444507673,0.016260727211309164,0.4013329272653123,0.06646755265415201,1.0,0.12768329688353422,0.2944693418014095,0.20122753343860067,-0.13372526192513443,-0.0117337276491227,0.10449972260111476,0.13271619288493863,0.06463644867830079,0.16233137542975745
none_c,0.08744319280739013,0.1780542719219987,-0.08920998151306544,0.14302922108129637,-0.06627312706238159,0.054825919014278725,-0.18927913537596197,0.006299785818287051,0.12578783548970246,-0.14938915829182836,0.12768329688353422,1.0,0.009042769926548625,-0.02172232883135868,-0.012589304290690223,0.09001228405057485,-0.05873022556382139,-0.06633381834497216,0.2798808629804371,-0.013902895590471552
characterization,0.39346614661059454,0.1910473658812388,-0.0025819509978219244,0.5437709810380853,0.02777206279518203,0.56531314981253,0.22211033035913477,0.04946478558650024,0.2598668297479841,0.14264710172743605,0.2944693418014095,0.009042769926548625,1.0,0.24213025402135338,-0.004838183340108845,0.11650271437352834,0.3358849687214324,0.13958236439830748,-0.04570152821274876,0.13502820021206627
componentOf,0.2940981113698444,-0.12218491275314512,0.41655212148389176,0.2584170929927164,0.13426146764317592,-0.03634660833828931,0.34057587590022304,0.14268334560016646,0.09387719407091955,0.32162621322996243,0.20122753343860067,-0.02172232883135868,0.24213025402135338,1.0,0.08168211186518587,0.3214845061373822,0.2980424235397303,0.40332396042442253,-0.15063535350641474,0.12829260069876464
derivation,-0.0068791817738074,-0.08468107318812201,0.1774729342796725,0.02748708104977545,0.14379330833339393,-0.15493233778499668,0.28817035095306026,0.2549411156864724,0.09025668196634572,-0.010895709811639927,-0.13372526192513443,-0.012589304290690223,-0.004838183340108845,0.08168211186518587,1.0,0.44443175840965005,0.36869595257386834,0.2115668374665793,0.0056420834354925405,0.3654403700204991
material,0.23269068243791538,-0.007937306372680938,0.3648535278092911,0.15679661664739172,0.15461760899352464,-0.03740462281178221,0.2768358799858609,0.19290804800285954,0.05004364251516498,0.26741438542944845,-0.0117337276491227,0.09001228405057485,0.11650271437352834,0.3214845061373822,0.44443175840965005,1.0,0.3293284938505151,0.24097384816111259,-0.1794328719807978,0.2263890719581066
mediation,0.13302535289534617,-0.06996314193035194,0.2764517509526159,0.2351012339012345,0.3201094280861834,0.11747283907042776,0.7296704939062708,0.42359027009866834,0.2536246790660656,0.30214997116083103,0.10449972260111476,-0.05873022556382139,0.3358849687214324,0.2980424235397303,0.36869595257386834,0.3293284938505151,1.0,0.377392374035547,-0.27667210375138973,0.26118814075288294
memberOf,0.15505149726572348,-0.0011926995168837788,0.23343590369469805,0.2738911751895656,0.13084807195817155,-0.1809922535250834,0.26750649486273487,0.21555518948176083,0.09518331564890216,0.18991098401842826,0.13271619288493863,-0.06633381834497216,0.13958236439830748,0.40332396042442253,0.2115668374665793,0.24097384816111259,0.377392374035547,1.0,-0.2943006840536752,0.3152282809362978
none_r,0.13872168260409734,0.22825351673461025,0.05102008154151087,0.07212080619743812,-0.14289808389256362,-0.087143688737969,-0.09885572094822002,0.025855360885849464,0.1601828484137729,-0.13519138016251686,0.06463644867830079,0.2798808629804371,-0.04570152821274876,-0.15063535350641474,0.0056420834354925405,-0.1794328719807978,-0.27667210375138973,-0.2943006840536752,1.0,-0.08082946831750916
other_r,0.08550399419399358,0.12315619826386238,0.02630889928145661,0.09186546039932632,0.0726870968705952,-0.12592356941249327,0.24689999538434615,0.05664862259953539,0.23821107371454828,-0.06604195125204808,0.16233137542975745,-0.013902895590471552,0.13502820021206627,0.12829260069876464,0.3654403700204991,0.2263890719581066,0.26118814075288294,0.3152282809362978,-0.08082946831750916,1.0
