Stereotype,category,datatype,event,kind,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,none_c,characterization,componentOf,externalDependence,instantiation,material,mediation,participation,none_r,other_r
situation,0.2836981914167497,0.16784692796365555,0.5423423372666527,-0.22036064970269129,-0.09134092924108823,-0.10877164212289166,0.1780785550800302,-0.23015965486963982,-0.2480462208764662,0.22510794346302188,1.0,-0.07360246410084875,0.14235968064710708,0.13135039976081514,0.18089314464061867,-0.01176211573075463,0.03887853397662876,0.1604588581384339,0.1288361791397256,-0.21085476950338933,0.506095297684436,0.18960228275883131,0.0018406834887110216
subkind,0.0841738179268186,-0.0041667882934784215,-0.08578311740917446,0.5316050448921623,0.12028303516527052,0.31109608418627405,0.32872502540445914,0.3452661497121996,0.11174425014957845,-0.14218440306742372,-0.07360246410084875,1.0,-0.09909529725902094,-0.1268122538673558,0.12956964104076654,0.30094450614050433,-0.0600817064020532,-0.0613804276832769,0.20172204239265443,0.27180816435635485,-0.14470529214667815,-0.14724394088198314,-0.07034241161633796
type,0.37742540648595435,0.10699202366574824,0.3858218328712852,-0.2852924020037926,0.23864410423925403,-0.10799224056585448,0.1363913720202951,-0.008020382606713493,-0.2247466387719817,0.4105946605396519,0.14235968064710708,-0.09909529725902094,1.0,0.06990831156399455,0.2735501963671879,0.19993793258041706,0.5034102082731484,0.9422208986206377,-0.21738112530236675,0.006673346709168083,0.44775457439658367,-0.030202446270210927,0.1538287365332005
none_c,0.12169233224391511,0.1507012402958561,0.02162341037775417,-0.07079142603055295,0.09021917031997473,-0.15950843877991394,0.2543208123735237,-0.10323616668727256,-0.09581041077105923,0.04786255299138845,0.13135039976081514,-0.1268122538673558,0.06990831156399455,1.0,0.13044124510024435,-0.03364404604561897,-0.011141724770596734,0.010935980867287603,0.11198887863269384,-0.058199018549652815,0.0958634545078865,0.07394092626953344,-0.04668090561351673
characterization,0.39602119474847935,-0.10381061073201929,0.23473443276949402,-0.08772602075121233,0.6084644641303384,-0.034139237770808746,0.6033904929749471,0.11826302439630088,0.02273187414699907,0.22461407312839884,0.18089314464061867,0.12956964104076654,0.2735501963671879,0.13044124510024435,1.0,0.22199256719366384,0.37124155498859146,0.2755008925975905,0.17919909111031648,0.1239855428507437,0.20777074126481945,0.01791208044511329,-0.004285741735518845
componentOf,0.28055929961273013,0.1560245227619136,-0.01927379030360721,0.3998343567437147,0.20673651095999732,0.15214770635893315,0.13780789444973032,0.3588414901400936,0.10509287727353181,0.0712222562105686,-0.01176211573075463,0.30094450614050433,0.19993793258041706,-0.03364404604561897,0.22199256719366384,1.0,0.05896746732836542,0.24609155523362028,0.2620561607737652,0.27011864598375107,-0.0032492283207093305,-0.12409519016741521,-0.019561079918659397
externalDependence,0.1678505711505371,-0.05551092635084325,0.3147408486028947,-0.26241740509392225,0.3922479202642414,-0.15180233714201785,0.05595723762646586,0.04501825909214872,0.09283681620189323,0.42002681434707545,0.03887853397662876,-0.0600817064020532,0.5034102082731484,-0.011141724770596734,0.37124155498859146,0.05896746732836542,1.0,0.48266237955587077,-0.2932464329534438,0.04945651264496671,0.23145516214312123,0.04656381361335652,0.09948426127982983
instantiation,0.304481125333591,0.08409232014049312,0.3947637912939685,-0.21850334671193908,0.2047543118509953,-0.05616698421347712,0.16084800345105285,0.01972249286236041,-0.208490803012731,0.43483388867199524,0.1604588581384339,-0.0613804276832769,0.9422208986206377,0.010935980867287603,0.2755008925975905,0.24609155523362028,0.48266237955587077,1.0,-0.16280157973852455,0.03275728920842048,0.4848579541457002,-0.08456530828826439,0.18762968289220458
material,0.08958251005035416,0.04895164460943644,-0.04131344555378951,0.25888027765294674,0.11660070523646889,0.13426056425102093,0.10990728518635824,0.19756315016959014,0.02260311255086426,-0.026912453843758306,0.1288361791397256,0.20172204239265443,-0.21738112530236675,0.11198887863269384,0.17919909111031648,0.2620561607737652,-0.2932464329534438,-0.16280157973852455,1.0,0.3281837327934593,-0.05303009206840041,-0.3573718585032856,0.07056075180002673
mediation,-0.1672452662735611,-0.0030618058516520253,-0.06367151868642808,0.22266581303684954,0.1438296867594902,0.2906223265870806,0.10357922093950553,0.8023518968482378,0.4187374620065975,0.13084350912851397,-0.21085476950338933,0.27180816435635485,0.006673346709168083,-0.058199018549652815,0.1239855428507437,0.27011864598375107,0.04945651264496671,0.03275728920842048,0.3281837327934593,1.0,-0.10234137578159874,-0.2963478596156754,0.09850745627708346
