Construct,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index (Group Frequency per Group),Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
ModelElement,0,0.0,0,0.0,0.0,0.0
name,23937,197.82644628099175,121,1.0,0.02980920465201424,0.01582526811404656
NodeView,0,0.0,0,0.0,0.0,0.0
none,18050,149.17355371900825,120,0.9917355371900827,0.02247801077699198,0.01569448077426105
Note,0,0.0,0,0.0,0.0,0.0
NoteView,0,0.0,0,0.0,0.0,0.0
OntologicalNature,0,0.0,0,0.0,0.0,0.0
OntoumlElement,0,0.0,0,0.0,0.0,0.0
order,12181,100.6694214876033,121,1.0,0.015169232646788882,0.01582526811404656
owner,0,0.0,0,0.0,0.0,0.0
Package,786,6.4958677685950414,121,1.0,0.0009788208571033627,0.01582526811404656
PackageView,17,0.14049586776859505,4,0.03305785123966942,2.1170425662540923e-05,0.000523149359142035
participation,229,1.8925619834710743,31,0.256198347107438,0.00028517808686599245,0.004054407533350772
participational,17,0.14049586776859505,4,0.03305785123966942,2.1170425662540923e-05,0.000523149359142035
Path,9878,81.63636363636364,100,0.8264462809917356,0.012301262629092898,0.013078733978550876
phase,332,2.743801652892562,41,0.33884297520661155,0.00041344595999785803,0.0053622809312058595
phaseMixin,20,0.1652892561983471,8,0.06611570247933884,2.4906383132401088e-05,0.00104629871828407
point,28003,231.4297520661157,100,0.8264462809917356,0.03487267234283138,0.013078733978550876
Point,36291,299.92561983471074,100,0.8264462809917356,0.04519387751289839,0.013078733978550876
project,63938,528.4132231404959,121,1.0,0.07962321623597303,0.01582526811404656
Project,121,1.0,121,1.0,0.0001506836179510266,0.01582526811404656
property,0,0.0,0,0.0,0.0,0.0
Property,19346,159.88429752066116,120,0.9917355371900827,0.024091944403971572,0.01569448077426105
PropertyStereotype,0,0.0,0,0.0,0.0,0.0
propertyType,18022,148.94214876033058,120,0.9917355371900827,0.02244314184060662,0.01569448077426105
quality,554,4.578512396694215,44,0.36363636363636365,0.0006899068127675101,0.005754642950562386
qualityNature,0,0.0,0,0.0,0.0,0.0
quantity,193,1.5950413223140496,23,0.19008264462809918,0.00024034659722767048,0.0030081088150667014
quantityNature,0,0.0,0,0.0,0.0,0.0
Rectangle,7732,63.900826446280995,100,0.8264462809917356,0.00962880771898626,0.013078733978550876
RectangularShape,0,0.0,0,0.0,0.0,0.0
redefinesProperty,2,0.01652892561983471,1,0.008264462809917356,2.4906383132401087e-06,0.00013078733978550875
Relation,8792,72.66115702479338,120,0.9917355371900827,0.010948846025003518,0.01569448077426105
relationEnd,17584,145.32231404958677,120,0.9917355371900827,0.021897692050007037,0.01569448077426105
RelationStereotype,0,0.0,0,0.0,0.0,0.0
RelationView,0,0.0,0,0.0,0.0,0.0
relator,2686,22.198347107438018,92,0.7603305785123967,0.003344927254681466,0.012032435260266806
relatorNature,0,0.0,0,0.0,0.0,0.0
restrictedTo,9464,78.21487603305785,119,0.9834710743801653,0.011785700498252194,0.015563693434475542
role,1859,15.363636363636363,84,0.6942148760330579,0.0023150483121566813,0.010986136541982735
roleMixin,577,4.768595041322314,54,0.4462809917355372,0.0007185491533697714,0.007062516348417473
shape,12237,101.13223140495867,100,0.8264462809917356,0.015238970519559605,0.013078733978550876
Shape,0,0.0,0,0.0,0.0,0.0
shared,349,2.884297520661157,68,0.5619834710743802,0.000434616385660399,0.008893539105414596
situation,169,1.396694214876033,22,0.18181818181818182,0.00021045893746878918,0.002877321475281193
situationNature,0,0.0,0,0.0,0.0,0.0
sourceEnd,8792,72.66115702479338,120,0.9917355371900827,0.010948846025003518,0.01569448077426105
sourceView,4505,37.231404958677686,96,0.7933884297520661,0.005610162800573345,0.012555584619408842
specific,8582,70.92561983471074,117,0.9669421487603306,0.010687329002113307,0.015302118754904526
stereotype,18362,151.7520661157025,121,1.0,0.02286655035385744,0.01582526811404656
Stereotype,0,0.0,0,0.0,0.0,0.0
subCollectionOf,28,0.23140495867768596,6,0.049586776859504134,3.486893638536152e-05,0.0007847240387130526
subkind,2032,16.793388429752067,88,0.7272727272727273,0.0025304885262519504,0.011509285901124771
subQuantityOf,14,0.11570247933884298,4,0.03305785123966942,1.743446819268076e-05,0.000523149359142035
subsetsProperty,6,0.049586776859504134,1,0.008264462809917356,7.471914939720327e-06,0.00013078733978550875
targetEnd,8792,72.66115702479338,120,0.9917355371900827,0.010948846025003518,0.01569448077426105
targetView,4505,37.231404958677686,96,0.7933884297520661,0.005610162800573345,0.012555584619408842
termination,5,0.04132231404958678,3,0.024793388429752067,6.226595783100272e-06,0.0003923620193565263
text,0,0.0,0,0.0,0.0,0.0
Text,556,4.595041322314049,62,0.512396694214876,0.0006923974510807502,0.008108815066701544
topLeftPosition,8288,68.49586776859505,100,0.8264462809917356,0.01032120517006701,0.013078733978550876
triggers,16,0.1322314049586777,10,0.08264462809917356,1.992510650592087e-05,0.0013078733978550876
type,428,3.5371900826446283,26,0.21487603305785125,0.0005329965990333832,0.0034004708344232276
typeNature,0,0.0,0,0.0,0.0,0.0
upperBound,12934,106.89256198347107,112,0.9256198347107438,0.016106957971723783,0.014648182055976981
width,8288,68.49586776859505,100,0.8264462809917356,0.01032120517006701,0.013078733978550876
xCoordinate,36291,299.92561983471074,100,0.8264462809917356,0.04519387751289839,0.013078733978550876
yCoordinate,36291,299.92561983471074,100,0.8264462809917356,0.04519387751289839,0.013078733978550876
