Stereotype,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers
mode,0.01855810084395127,0.7232075230096662,0.32418263831198996,0.2628381623381179,0.13863513236885674,0.613122175381966,0.043175264712021176,0.017900202472151558,0.8637948944655457,0.27176709475990973,1.8711204838244417,0.4469026278224175,0.10429481716596786,0.4553899250612867,0.19821517668853622,0.6967390315047151,0.7908697555905253,0.6094695604424757,0.14575433912617886,0.9718549229660742,0.501999191754892,0.12478849226139016,0.9401948726415499,0.1474804008574205,0.6338001040167572,0.2666042914671231,0.32063772374286287,0.3184674532917301,0.3148186280969539,0.1549115842785778,0.26127568183957467,0.20163931921393058,0.6069401486129711,0.8537159695688595,0.3645795637240826,0.3547982515501976,0.058970663561409356,0.1465846846781429,0.15466745485508626,0.06805700280166516,0.09490513637281953
phase,0.0034134755999422756,0.5404430623018118,0.31884555199458414,0.21679500316769515,0.13714343737517215,0.4955159995378664,0.0642853104247438,0.010346126262458392,0.746842621374308,0.2076329636821156,0.4469026278224175,1.4899025161656902,0.11792075516293116,0.34497472854178013,0.17074775162494926,0.6144274326487907,0.7431524022223627,0.4524610573096366,0.14476957619739467,0.8624712133498148,0.2476086696151077,0.09626294561559931,0.52298186345589,0.12039443746796302,0.4583655752110821,0.23126161364601583,0.33000557611737247,0.17616604649680168,0.23032559396767888,0.12446709455577168,0.1625561175906161,0.1004878153684919,0.5499613004314986,0.7475133141419243,0.28680840629568916,0.2964897972431601,0.05817460958077794,0.12441268224054368,0.10602354409208271,0.09753561213238157,0.05830422048219779
phaseMixin,0.04722039230365833,0.13272650563446142,0.03859651452862702,0.0858886306343575,0.051199537556788154,0.07949405062948045,0.0027929715386249693,0.06523138205337733,0.12516381107279034,0.017766365469212418,0.10429481716596786,0.11792075516293116,0.3195122694588136,0.08918019855105436,0.00691637716273949,0.08283473751387627,0.09630327662068484,0.14441301303667148,0.0374028177105557,0.13125634047712884,0.1241368873614026,0.034479199476357476,0.10735117483399678,0.0033662580542501985,0.10169730345336361,0.042994110034062394,0.027872337556496374,0.06108120949484171,0.014657161615792502,0.07434966102537668,0.13964243870732518,0.03501126765077213,0.10185069823030282,0.09569080951964778,0.01821548442023819,0.05343771713560119,0.019122145644040058,0.0033662580542501985,0.0022246960522810527,0.0303928315068034,0.005711334968122178
quality,0.021696092607826775,0.5516169187832489,0.14927302458906314,0.17688633522364602,0.09643552125381841,0.439181361500015,0.043364045656196476,0.017565207244663282,0.6930971870234401,0.16394459131653252,0.4553899250612867,0.34497472854178013,0.08918019855105436,1.450544483989353,0.09191417252761333,0.5062643988567431,0.5349902212898865,0.35635575557548915,0.21328380407724032,0.835988277050475,0.23490739268301147,0.1737630370005548,0.8079819270678453,0.10397319787208131,0.32585210437707285,0.17938323881422336,0.1531883105459123,0.18426710169302,0.14510999768056343,0.16325558638558108,0.20733564135161642,0.17394842704546348,0.4082178397020717,0.5756770864396381,0.18539047390622634,0.3734722680059759,0.08357677767211436,0.028560802178671532,0.040078639468419434,0.02842844396590754,0.13806164869084664
quantity,0.0008381800394043556,0.17528291412031688,0.1556375016224265,0.09986129787896691,0.11375390679589287,0.18172240926986752,0.0928399169421165,0.028428628264865294,0.24866634843013447,0.12120527087986384,0.19821517668853622,0.17074775162494926,0.00691637716273949,0.09191417252761333,0.4586301022426302,0.22009426439177965,0.3003998161516388,0.1490105834121797,0.11312279889155728,0.24643157309013597,0.1333219427022198,0.010567773843850076,0.22449041206335868,0.03562174361622202,0.18636728274746833,0.06937456057086289,0.15838683041531215,0.07199449105599043,0.1245452633463217,0.02870602063653664,0.049533317284620126,0.034292797487969935,0.17247875235342452,0.2919871282254361,0.10831621423014211,0.10662992839355537,0.0033968534332530914,0.08170419330357834,0.08451831290018665,0.0033968534332530914,0.008724976029358088
relator,0.011304279383537612,0.7257163045495166,0.4216165605710016,0.27739060361129103,0.17580265322423835,0.591195419008033,0.10263690578754384,0.05437479514345984,1.129942644488473,0.3064629363026156,0.6967390315047151,0.6144274326487907,0.08283473751387627,0.5062643988567431,0.22009426439177965,2.3405967265599865,0.9203671165372567,0.6786302128497287,0.19039225598737844,1.1376326606629397,0.42606670709645583,0.10909818357827097,0.8034312321320956,0.15056819145724723,0.7383947941220154,0.2616932530357246,0.6114512298547218,0.23048452454593382,0.4094109509117598,0.19460180408176203,0.24277260710799306,0.1480788665291871,0.8334824179205433,1.4551165602379434,0.4224390410279168,0.37706540854649073,0.06863188687282112,0.18249653571985852,0.13834413769522047,0.06863188687282114,0.10467086243577295
role,0.009624365460029892,0.7984148158036196,0.4312846559092642,0.302469672295114,0.19843126479283138,0.691841133354626,0.12588256551464594,0.04096410918042089,1.281208985787571,0.34388324899846306,0.7908697555905253,0.7431524022223627,0.09630327662068484,0.5349902212898865,0.3003998161516388,0.9203671165372567,2.487463448272925,0.6576189198535399,0.24462785638930207,1.2088631854099765,0.46669763640413414,0.11862317005863138,0.8789231729868842,0.12675026224407276,0.6765673638516563,0.27203804445935253,0.5189049904159765,0.32744352773789825,0.42295582997769404,0.16606182013072301,0.2206621512915535,0.1822379490245195,0.7468058372073472,1.0866797322472743,0.4586087524969482,0.40243691432508816,0.07764091969737608,0.19112471793247832,0.15686726464816675,0.08303902841701563,0.09617000559053127
roleMixin,0.04722039230365842,0.6509673425012211,0.24734599603848817,0.1992655494930327,0.13959907065311686,0.7111271626512947,0.11604855435336162,0.07229033543233251,0.707569560782804,0.22207006908027177,0.6094695604424757,0.4524610573096366,0.14441301303667148,0.35635575557548915,0.1490105834121797,0.6786302128497287,0.6576189198535399,1.7479988619220619,0.2837619483895374,0.7371324738012821,0.5340307775760889,0.19699215175693277,0.6663230311983491,0.06677623472283059,0.45838944080362676,0.28853358428575077,0.33376753263319137,0.3889685053719607,0.40437114618888154,0.28455143805504945,0.3769511452356057,0.26622724357048944,0.48500191681448257,0.7495003291486115,0.24236047811435696,0.4384875290081882,0.06271076657938744,0.16607079579209627,0.1348338798100393,0.06772124591332096,0.15948446887108542
situation,0.02687883037121165,0.30307081822125215,0.05763552256149004,0.10794643938441283,0.06373256996348516,0.4817847842784124,0.09859779050559034,0.01854594912166297,0.29683131287058384,0.05003323440432264,0.14575433912617886,0.14476957619739467,0.0374028177105557,0.21328380407724032,0.11312279889155728,0.19039225598737844,0.24462785638930207,0.2837619483895374,0.7580267589191902,0.30627165593362615,0.15990090028394938,0.3320355414249354,0.33718664547471555,0.08430912300319149,0.14183456843894549,0.09440468285172231,0.1464756009176259,0.10547949982596153,0.0764747623568782,0.12233336692555674,0.1097038651217179,0.11442226770475804,0.23774774663807205,0.24746876168524326,0.0705093233411529,0.28850290032210274,0.020035054959782313,0.009386380206393388,0.006199723457363818,0.05429407182453761,0.20406844361374862
subkind,0.011041973193482074,1.12049629864863,0.5687220471719522,0.43887057510785094,0.2221550029531705,0.8678909974817193,0.11174573303282799,0.05809548598467747,1.515995311698727,0.3453257054371969,0.9718549229660742,0.8624712133498148,0.13125634047712884,0.835988277050475,0.24643157309013597,1.1376326606629397,1.2088631854099765,0.7371324738012821,0.30627165593362615,2.8456315708686026,0.5333580048456698,0.263474897699144,1.1035082403390675,0.20607642593756428,0.9193669506720705,0.3302923186717721,0.5368271829691033,0.3913564757829748,0.4075285539858751,0.27439244684322883,0.33609782813771455,0.2276407483181873,0.9621465259542932,1.2830913028828959,0.5294298360401375,0.5348187371285611,0.10511429455031572,0.20806706147799908,0.17720882658061315,0.09707414663928252,0.1691940412070259
