Construct Pair,Dice Coefficient,Mutual Information
mode - roleMixin,0.5813953488372093,0.4850321693925741
mode - situation,0.2222222222222222,0.170729477431839
mode - subkind,0.6608695652173913,0.9630273216216606
mode - type,0.4242424242424242,0.3439597914553924
mode - none,0.3548387096774194,0.3546563330696098
mode - other,0.1034482758620689,0.1626627175545137
phase - phaseMixin,0.2439024390243902,0.1544077201347713
phase - quality,0.48,0.4541782611154598
phase - quantity,0.25,0.1346488450120036
phase - relator,0.5384615384615384,0.6923920544030439
phase - role,0.5894736842105263,0.8031360254977711
phase - roleMixin,0.3835616438356164,0.3986443675191825
phase - situation,0.2,0.1837588280094367
phase - subkind,0.6078431372549019,0.914129357800034
phase - type,0.2641509433962264,0.1969764444212712
phase - none,0.2040816326530612,0.1916014923820585
phase - other,0.2222222222222222,0.2137722852111336
phaseMixin - quality,0.2,0.1148753006378014
phaseMixin - quantity,0.0,0.0072130289861973
phaseMixin - relator,0.1518987341772152,0.1152378161023066
phaseMixin - role,0.1142857142857142,0.1305011876480947
phaseMixin - roleMixin,0.2916666666666667,0.1969584119987638
phaseMixin - situation,0.08,0.0545794664950106
phaseMixin - subkind,0.1558441558441558,0.1967407992395057
phaseMixin - type,0.3571428571428571,0.1549522183866447
phaseMixin - none,0.0833333333333333,0.0535218525678121
phaseMixin - other,0.1,0.0551201310269081
quality - quantity,0.1632653061224489,0.074978015246641
quality - relator,0.6371681415929203,0.6440793290400545
quality - role,0.6346153846153846,0.7358347156962155
quality - roleMixin,0.4878048780487805,0.4505246806372532
quality - situation,0.3728813559322034,0.2652948002765642
quality - subkind,0.6306306306306306,1.0862410455039002
quality - type,0.4516129032258064,0.2980903714605125
quality - none,0.4137931034482758,0.3150983217013198
quality - other,0.1111111111111111,0.1351496223736132
quantity - relator,0.1538461538461538,0.1725620433949033
quantity - role,0.2028985507246377,0.2335977001541352
quantity - roleMixin,0.1702127659574468,0.1174719486641189
quantity - situation,0.1666666666666666,0.0905066932116476
quantity - subkind,0.1578947368421052,0.17435516841632
quantity - type,0.1481481481481481,0.0720484757868915
quantity - none,0.1739130434782608,0.0445566486092636
quantity - other,0.2105263157894736,0.0567439822425289
relator - role,0.7518796992481203,0.9266662098785848
relator - roleMixin,0.5945945945945946,0.6451417975280243
relator - situation,0.25,0.2331480870605461
relator - subkind,0.8142857142857143,1.2804288184113737
relator - type,0.3076923076923077,0.3699205810387327
relator - none,0.2298850574712643,0.2705824587840236
relator - other,0.1927710843373494,0.2273009683909179
role - roleMixin,0.5490196078431373,0.6031067292297204
role - situation,0.2025316455696202,0.2628888290633958
role - subkind,0.7175572519083969,1.2545711827963288
role - type,0.2682926829268293,0.3141619683626756
role - none,0.3076923076923077,0.4490453637458175
role - other,0.2162162162162162,0.2652224000518374
roleMixin - situation,0.3508771929824561,0.3119939516988049
roleMixin - subkind,0.5321100917431193,0.742870482744565
roleMixin - type,0.4666666666666667,0.4574178850620274
roleMixin - none,0.3928571428571428,0.287758410382489
roleMixin - other,0.0769230769230769,0.1323860019930998
situation - subkind,0.2558139534883721,0.3921609791874351
situation - type,0.2702702702702703,0.2020720359704741
situation - none,0.2424242424242424,0.1420811534740197
situation - other,0.2758620689655172,0.1418335343252928
subkind - type,0.3146067415730337,0.4598091847883971
subkind - none,0.2352941176470588,0.4619855999829679
subkind - other,0.2469135802469135,0.3162729536810323
type - none,0.2222222222222222,0.1543344527080762
type - other,0.0,0.0345992552040349
none - other,0.1428571428571428,0.0546671674307536
