Stereotype,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none,other
mode,0.004876833167465858,0.22064321996517944,0.14436538118070355,0.0801200253222779,0.004876833167465858,0.0,0.0,0.0,0.5418135840002747,0.01505968295479912,0.7002886388200982,0.12873203765811653,0.0,0.00989394764001171,0.0,0.390102944294172,0.4297941817098413,0.07035433504445013,0.0,0.33850323083614525,0.004876833167465858,0.0,0.0
phase,0.06067333467565021,0.309247128178312,0.34164849064828917,0.41292080986182933,0.06067333467565021,0.0,0.0,0.0,0.8911323567085732,0.09882017215408247,0.12873203765811653,1.3876860499686,0.0,0.1422817288839916,0.0,0.6814576658145407,0.7444555953901427,0.22609306727159936,0.0,0.8264514396564331,0.11690684913753097,0.0,0.0
phaseMixin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quality,0.0012990665933722695,0.04481132155242323,0.04780717884329752,0.16385788431787499,0.0012990665933722695,0.0,0.0,0.0,0.08604821442211076,0.004003086981198764,0.00989394764001171,0.1422817288839916,0.0,0.19851524334587262,0.0,0.19851524334587245,0.07973142594171793,0.016573010186598555,0.0,0.12920052528987797,0.0012990665933722695,0.0,0.0
quantity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
relator,0.04932266780758529,0.5081367906496329,0.7347266864921381,0.49408563505779535,0.035636105789669026,0.0,0.0,0.0,1.4967409584747495,0.15436506097748715,0.390102944294172,0.6814576658145407,0.0,0.19851524334587245,0.0,2.3115276714671444,1.4688480145604732,0.5583514968992236,0.0,1.3489390188540726,0.0822494901095338,0.0,0.0
role,0.06067333467565009,0.6244649704093104,0.9210946852262383,0.5287429940857926,0.0691682865154199,0.0,0.0,0.0,1.706415649368782,0.21864590064580958,0.4297941817098413,0.7444555953901427,0.0,0.07973142594171793,0.0,1.4688480145604732,2.568940924983288,0.5021179824373426,0.0,1.4330654772302298,0.0691682865154199,0.0,0.0
roleMixin,0.00816052951997974,0.3108714584538385,0.20777150174739434,0.1750746044810353,0.00816052951997974,0.0,0.0,0.0,0.5498565450594536,0.06459661140081142,0.07035433504445013,0.22609306727159936,0.0,0.016573010186598555,0.0,0.5583514968992236,0.5021179824373426,0.9441686979615369,0.0,0.40837139391916943,0.04932266780758501,0.0,0.0
situation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subkind,0.11690684913753117,0.6587222520534896,0.7268370930761708,0.5760814793240856,0.11690684913753117,0.0,0.0,0.0,1.5518492946343843,0.20097844529735204,0.33850323083614525,0.8264514396564331,0.0,0.12920052528987797,0.0,1.3489390188540726,1.4330654772302298,0.40837139391916943,0.0,2.3450598521928954,0.06916828651542023,0.0,0.0
type,0.0006410959011923581,0.010941489966192736,0.025058089089542462,0.005658210373737982,0.0006410959011923581,0.0,0.0,0.0,0.060673334675650226,0.0019748245521221397,0.004876833167465858,0.11690684913753097,0.0,0.0012990665933722695,0.0,0.0822494901095338,0.0691682865154199,0.04932266780758501,0.0,0.06916828651542023,0.1169068491375311,0.0,0.0
none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
