Stereotype,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none_c,other_c,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none_r,other_r
mode,0.015182602323697295,0.5609275249625532,0.2220147547129446,0.19031287711922035,0.12363568064358917,0.5257972263177625,0.0764925415982984,0.035110793921258876,0.6655295521363995,0.19656895828817428,1.6739055073768405,0.3200657868090872,0.07662936763260869,0.3354428756360875,0.12724959282494788,0.49338629438064757,0.6105408164252853,0.44243059557294684,0.14851603004487585,0.7434713288860856,0.4062418492148539,0.2924670855542587,0.1624934638949402,0.10137808542179894,0.8271966809160696,0.10953422341072278,0.44476324403659123,0.22776971441167373,0.20130396826825023,0.3053395708123699,0.11222382632087222,0.23031389530199065,0.19481984055766433,0.4418814314260111,0.6401571601437691,0.26367069217672046,0.294074890639108,0.05405249116123746,0.11463457116040716,0.10503181485428194,0.089820820047867,0.08205006284912773,0.9177258410805117,0.30603710394819345
phase,0.013014070742663957,0.3896813587925785,0.2764027788681026,0.22419465653790183,0.12577036757291182,0.38132378412222206,0.07892003430221492,0.015857089799104353,0.6752257288878459,0.1241066488519172,0.3200657868090872,1.548702647378021,0.07823793656492749,0.2712929550141445,0.11749015925857424,0.49518196680997306,0.6582740689854435,0.32178088289678414,0.11009169651730522,0.719742394924683,0.22253307866903443,0.13688156753476877,0.15674121533098864,0.07463626048210481,0.4124530785618376,0.08615038258158278,0.4148595909248928,0.191078145255858,0.3081651373117183,0.147430370844797,0.09672391741108585,0.12499524077482525,0.10184180210212394,0.4570446071720509,0.6829883509369702,0.2581774890747331,0.2420527554525663,0.04378787749838957,0.10114841150879765,0.07318797592809327,0.10890120444357616,0.041034669342208466,0.7294041369578724,0.28436167951986874
phaseMixin,0.024550406491266035,0.0929161006947103,0.026077941880970994,0.06186560184826824,0.029407461967678537,0.05659353958762176,0.0024151510804120147,0.039191962885478604,0.0869893832667909,0.012020374022923459,0.07662936763260869,0.07823793656492749,0.23894998891507815,0.0647661240006606,0.0038148600821992992,0.05791669912360173,0.07134759199519294,0.09963052973461685,0.026402104645489977,0.0918748221937991,0.09063610673026823,0.02922373295643898,0.031149132757433546,0.025517322485480342,0.07576070295906734,0.002140337763092824,0.07264707139394151,0.03152644361675969,0.02006519336827242,0.04593875163072253,0.051209419770771786,0.10239925703884534,0.0253576858792725,0.0687214833622929,0.07022331133336086,0.01267346156827846,0.039804060286085324,0.012308982722544316,0.0029698429075873042,0.0010574982432102614,0.02333279811472817,0.003249763218400238,0.10429651715898677,0.01768241435512543
quality,0.014817197171902625,0.4328418984323514,0.14034317586984765,0.15252088988625406,0.0602499420665053,0.38231898701306205,0.050872727010616944,0.0341254671215492,0.5393554100056661,0.112596586876818,0.3354428756360875,0.2712929550141445,0.0647661240006606,1.2784381265803333,0.08754119477930646,0.3848964532985076,0.3989150000278264,0.2603164727944152,0.19253921375528027,0.625618387278081,0.21093371494026386,0.1857365777147955,0.06833809666699789,0.13872129865311195,0.7047005465584493,0.07985449626445415,0.2997360155275939,0.14123352963561683,0.11483557235114134,0.18014681695395954,0.15454806131494703,0.18308911325873103,0.17027389392154502,0.31406476712218945,0.4440234091521343,0.1470557994279312,0.3296331165475551,0.06541366598869681,0.028095601081382655,0.027618368244474428,0.03833007041039938,0.12075476691507957,0.6051904429045404,0.16081564696807263
quantity,0.0014090864867219027,0.13647092458356327,0.10420097669017228,0.06312875854153968,0.08445468121494282,0.1530908783709265,0.058760715237904215,0.021804518289116535,0.20514366055658986,0.08648235601334285,0.12724959282494788,0.11749015925857424,0.0038148600821992992,0.08754119477930646,0.3873163242185788,0.16001852134588876,0.21785646700778016,0.11035418205025177,0.08278641315851148,0.1990868598603377,0.09395635944589013,0.026788237422125917,0.05742715166039003,0.007310904765582701,0.1954268271089563,0.027188314904572724,0.16588457660782344,0.05463324660014444,0.10387525683337946,0.051645354891279055,0.02631260176600404,0.05123663918168421,0.0316259748343973,0.1239641755002964,0.20900169677949515,0.07442264229310451,0.09453779596112628,0.0023626279119333266,0.05481418628572858,0.05974200194103818,0.002843746959293743,0.005793627680922363,0.22729041601227165,0.1533895036962074
relator,0.012157623915699977,0.5578787569739743,0.42674414861123433,0.2513869948464398,0.1463741915023345,0.4686692967639995,0.09749322307960621,0.057816654342590826,0.9438612681701749,0.20880963075766093,0.49338629438064757,0.49518196680997306,0.05791669912360173,0.3848964532985076,0.16001852134588876,2.443121173482636,0.8771564054049451,0.5145629600184265,0.17920888363260346,1.0104796083074037,0.3548725719571213,0.2157542883539607,0.20683396379913266,0.08939917411803525,0.6140160295766072,0.1087136889545068,0.6373084388848602,0.2113224128943036,0.5798086479190464,0.19473726544118705,0.15425021245292564,0.20028131998496612,0.13455945928038446,0.8032463160166959,1.4715957535378557,0.37574166324269886,0.2859284714132657,0.0493838584251054,0.19167915168579414,0.0991821125032922,0.07855774061530818,0.08282642634474882,1.060160590358858,0.49198915494458595
role,0.02364515553941654,0.667618647129956,0.41124929962923673,0.3025765186180576,0.17311407125944456,0.5567277640477959,0.11940342371382391,0.0580326686824499,1.161225355911678,0.23568728000365474,0.6105408164252853,0.6582740689854435,0.07134759199519294,0.3989150000278264,0.21785646700778016,0.8771564054049451,2.63801373375595,0.5237908395803156,0.21605245303701576,1.0540861999894882,0.393134985964339,0.32725625309151923,0.2539671708490844,0.11581693460492481,0.6709720410511785,0.10328716208260091,0.603782875345089,0.21916540129824288,0.49119975345591754,0.2627822381006939,0.14591808350461477,0.18360000292289103,0.17625953779554554,0.7049844696630024,1.0922451900347587,0.4441239720024176,0.34893639908632074,0.06278057866094867,0.22288418269861532,0.11445537382079445,0.0904997473300983,0.09323554127502356,1.1762391950074613,0.5064695601862611
roleMixin,0.02246799649745081,0.512561848643158,0.2084880912530368,0.16271131441242884,0.10920084478197868,0.5583904191076324,0.11037374577520509,0.08348484926836147,0.5733150035163143,0.15390525969455932,0.44243059557294684,0.32178088289678414,0.09963052973461685,0.2603164727944152,0.11035418205025177,0.5145629600184265,0.5237908395803156,1.6403152457089236,0.24277883570141068,0.5855432464499052,0.45325123255846794,0.22512323328947875,0.15885903411146293,0.17301752444628937,0.5403607433175285,0.053558512711155096,0.3760173940954005,0.22403467951814998,0.2638135045990837,0.317139297514765,0.2389016015408486,0.3175173350854894,0.2530215168603544,0.39365063871187894,0.61729476795232,0.18181370355659174,0.38030294683034116,0.06875691773432482,0.12140850033509777,0.09973281187742179,0.07781347922981738,0.157821705220907,0.8539222280747769,0.41075964883452615
situation,0.011545646133758355,0.25928379069972984,0.05628273178651576,0.08073775498328768,0.04847807191469544,0.4447588866345238,0.07515321424968781,0.03259949288514368,0.24907193882600095,0.04095503076509302,0.14851603004487585,0.11009169651730522,0.026402104645489977,0.19253921375528027,0.08278641315851148,0.17920888363260346,0.21605245303701576,0.24277883570141068,0.6604744408507118,0.24542734519921902,0.15871882243820698,0.08512546112004812,0.14365088628421782,0.27620615221581846,0.29732217013289547,0.06084207204436852,0.10938963513719671,0.07709224651381162,0.09329191343092082,0.12725779939258258,0.12014867089698163,0.10981795716468737,0.12280548054245528,0.20619432384417632,0.21003256650252203,0.05390397322787335,0.257110228635525,0.0392649480867474,0.009372711891061657,0.003333640849055651,0.0429967868729543,0.21011167112010615,0.37379667828405877,0.15789683441125635
subkind,0.030551137590918112,0.9061228357735559,0.52585392506758,0.3890633782446272,0.18741950633358528,0.7122195731638268,0.13306739271386409,0.07690328842481518,1.3427258040400871,0.26253748224756035,0.7434713288860856,0.719742394924683,0.0918748221937991,0.625618387278081,0.1990868598603377,1.0104796083074037,1.0540861999894882,0.5855432464499052,0.24542734519921902,2.866127583276229,0.4677475183926718,0.33509065429602114,0.253228433802301,0.1857927908827547,0.8636272897310313,0.16997289190598663,0.8320569323421833,0.2918626998783872,0.42597024440791087,0.32429067879527423,0.22743600857505594,0.29271056779838706,0.2468384707358648,0.8055435868206804,1.2049768304382584,0.4756105186571841,0.4520267691760123,0.09059811422555847,0.19723343018337353,0.13148453365159382,0.10914692022439507,0.13145516396089807,1.407738782983873,0.5508498267073599
