Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,triggers
situation,0.22607766610417562,-0.29488391230979427,0.16151457061744967,0.512989176042577,-0.21253326275922887,-0.11356694765303622,-0.03108349360801046,-0.05682625430267495,0.17782168978975482,-0.10425720702853737,-0.17239053536624757,0.16151457061744964,1.0,-0.10425720702853737,0.04510934513861526,0.8325567157446434,0.15291057030852148,-0.011674565885690427,0.11940709007280509,0.11908057203404236,0.03127716210856121,-0.10151826501691746,0.18840579710144928,0.07460243139323812,0.16496718065249086,0.17338428937260214,-0.1449978641126336,-0.11468292773139112,0.46156633137705094,0.6424690697894109
subkind,0.1414213562373095,0.22980970388562794,0.12909944487358055,-0.05348281873006976,0.484977012550804,-0.06992102029497227,0.11180339887498948,0.3352108443359609,0.14124547458559192,0.146875,0.06404447607135402,-0.08068715304598785,-0.10425720702853737,1.0,-0.09862413826124557,-0.031563650136868515,-0.008333333333333333,0.17076721584153556,-0.09862413826124557,-0.06438763875992325,-0.146875,0.06846531968814576,-0.10425720702853737,-0.06625568373916034,-0.09128709291752768,0.01889822365046136,0.03419927840283847,0.3125,-0.1383496476323666,-0.07745966692414834
type,0.21596220991960682,0.09898267954648646,0.08214400968169071,0.30899514796156546,-0.32845835190708805,0.004683124192148524,0.2560996769510125,-0.02705135789519828,0.16821389541801857,-0.09862413826124557,-0.14596096877387207,0.2792896329177484,0.04510934513861526,-0.09862413826124557,1.0,0.12753003225202228,0.2842071941291808,0.2059131205555152,0.31983805668016196,-0.21303814202802437,0.5662934390484422,0.1858706760952861,0.41659806980956443,0.9316803527253109,0.6737812008454122,-0.16834512458535864,-0.05440119938123178,0.09862413826124557,0.34205854554885184,0.08871553045622595
bringsAbout,0.24550758155857372,-0.24550758155857372,0.10187124277134102,0.4270925836185587,-0.2931803146761409,-0.06853199720336836,0.10586770098608783,-0.0232254391010588,0.19515239177936866,-0.11441823174614837,-0.28760110792794463,0.16299398843414564,0.8325567157446434,-0.031563650136868515,0.12753003225202228,1.0,0.21568494260193488,0.08924486921682022,0.12753003225202228,0.015021413630553898,0.11441823174614837,-0.05762707725721305,0.279712730586145,0.15579970597357898,0.24491507834315546,0.17298410665832242,-0.1862058250809961,-0.05129093147241134,0.47411187208065214,0.6642005028691434
characterization,0.29855619650098675,0.19641855032959654,0.028688765527462346,0.22819335991496434,-0.04383972994809528,0.1128549801252184,0.5465943944999486,0.039970940788027855,0.5116817192534651,0.2833333333333333,0.058222250973958195,0.14344382763731173,0.15291057030852148,-0.008333333333333333,0.2842071941291808,0.21568494260193488,1.0,0.33220288983380686,0.10604746049596296,0.018663083698528475,0.3,0.020286020648339485,0.15291057030852148,0.25177159820880923,0.23328923745590407,0.2771739468734333,0.2849939866903206,0.18333333333333332,0.26352313834736496,0.25819888974716115
componentOf,0.34839533628455416,0.31672303298595833,0.10119453729458627,-0.005988925934355111,0.11229582939721525,0.035439473510032266,0.22535238862626047,0.23620471543610944,0.10981992566449524,0.17076721584153556,0.03455409442879007,0.0795099935886035,-0.011674565885690427,0.17076721584153556,0.2059131205555152,0.08924486921682022,0.33220288983380686,1.0,0.08621275981736103,-0.0006269592476489029,0.005598925109558543,0.06133315160574595,0.18445814099390875,0.2574466642686792,0.20444383868581983,0.3004996585402443,0.178075654677945,0.35833120701174676,0.07082142317965111,-0.08962944731806213
creation,0.026995276239950853,0.09898267954648646,0.01642880193633814,0.5948496901286524,-0.06485483381604924,-0.15266984866404187,0.14227759830611805,0.031213105263690324,-0.059688801599942075,0.03499566196366778,-0.021486640073311115,0.3367904396949319,0.11940709007280509,-0.09862413826124557,0.31983805668016196,0.12753003225202228,0.10604746049596296,0.08621275981736103,1.0,0.026362579448283952,0.2322439384861589,-0.05808458627977691,0.3423003248753746,0.3650837943258458,0.34850751767866145,0.004809860702438818,0.128386830539707,0.29905383859861556,0.704238182012342,-0.0032857603872676277
derivation,-0.0950169098957875,0.0950169098957875,-0.014456362470655182,0.09462502976281074,0.2669327092228887,-0.03379112590491449,0.07511746287542015,0.08239699375678236,-0.04058562470209607,0.3471333567926297,0.19884903397699946,0.02891272494131036,0.11908057203404236,-0.06438763875992325,-0.21303814202802437,0.015021413630553898,0.018663083698528475,-0.0006269592476489029,0.026362579448283952,1.0,-0.17076721584153556,0.06133315160574595,-0.14242970380542322,-0.17880301466499043,-0.2248882225544018,0.5036543572716771,0.4461465326877547,0.24075377971101736,-0.035410711589825554,0.15323744218894494
externalDependence,0.10606601717798213,0.017677669529663688,0.0,0.334267617062936,-0.31235807588017883,-0.0846412350939138,0.33541019662496846,-0.10628636527725589,0.08261527758779905,0.05,-0.00291111254869791,0.3630921887069453,0.03127716210856121,-0.146875,0.5662934390484422,0.11441823174614837,0.3,0.005598925109558543,0.2322439384861589,-0.17076721584153556,1.0,0.1711632992203644,0.3231973417884659,0.5532349592219887,0.41079191812887456,-0.24567690745599768,0.025649458802128853,0.146875,0.2569350598886808,0.16782927833565472
formal,-0.11834115780078218,0.19364916731037082,-0.07856742013183861,0.10741040294386972,0.04502251688907481,0.013437656161169416,0.0,0.019902714467551073,-0.11677484162422844,-0.01141088661469096,-0.03188964020716403,-0.009820927516479826,-0.10151826501691746,0.06846531968814576,0.1858706760952861,-0.05762707725721305,0.020286020648339485,0.06133315160574595,-0.05808458627977691,0.06133315160574595,0.1711632992203644,1.0,0.0761386987626881,0.21773839528119807,0.3194444444444444,0.13801311186847084,0.062439054105446264,0.25103950552320115,0.0,0.07856742013183862
