Stereotype,category,datatype,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type,characterization,componentOf,creation,derivation,externalDependence,instantiation,material,mediation,memberOf,participation
characterization,0.40372712763862995,0.006094334646684574,0.31542702543833595,0.06520117030283598,0.6074733873184136,0.11708171813050533,0.6115240244620304,0.2557678790160075,0.1409300631127778,0.19668318382941766,0.2515596922555301,0.2591461997118252,1.0,0.26771819776905575,0.1606364691954403,-0.0054240258278319305,0.29240858225351796,0.26386654944943333,0.25784429051115754,0.24859914778846143,0.1904576365804042,0.29321035296066755
componentOf,0.2683258585789778,0.14994887128434034,0.053570871729991136,0.4723886871657563,0.24738715131950476,0.21308210871890826,0.13868335596148731,0.4263074793186028,0.13363471613451444,0.05173882221277106,0.3535520816322547,0.15725591610554243,0.26771819776905575,1.0,0.08276893532108665,0.0730627142919735,-0.005765687148434141,0.19811293063036825,0.3908324255912198,0.3628839171528699,0.3852290235149377,0.06646950731215213
creation,0.0719353228014552,0.016867425124147246,0.636113790293856,-0.12007047935132516,0.19204970735867694,0.08459932759284569,-0.0072266304074331475,0.1662740341053189,0.05126664132511091,0.3810681343660163,-0.0019053566257049219,0.33432131544070276,0.1606364691954403,0.08276893532108665,1.0,0.03354741667680042,0.24139157475761824,0.3540275842769026,0.01354448660603189,0.23506162992339594,0.30527257846680705,0.7035332249102307
derivation,-0.12790113256245153,0.001730316726974259,0.04122925564982027,0.1526004007088888,0.028946202685917553,0.1245906292373891,-0.10969238803483466,0.2929502188452899,0.24976487302393563,0.04259074202426391,-0.07107321275228137,-0.23894130115813367,-0.0054240258278319305,0.0730627142919735,0.03354741667680042,1.0,-0.17287076960683723,-0.20768386444708486,0.44125015061137335,0.3888249430510611,0.21873069521918176,-0.05126760015611664
externalDependence,0.12174479103597266,-0.03164301386015223,0.3366344279004706,-0.3091142746705361,0.32922054283329394,-0.08287095912261822,-0.005899494702422136,0.018186002295393414,0.08932520725990423,0.42318202484608847,-0.06368493318463053,0.5471211079726067,0.29240858225351796,-0.005765687148434141,0.24139157475761824,-0.17287076960683723,1.0,0.525216941189855,-0.273142678160828,0.04130145433374489,0.15543704550125767,0.2634862684193084
instantiation,0.2818053736201459,0.06501371489681171,0.37050013785706126,-0.21476275598812675,0.21951436157092327,0.04057698982687031,0.13521779480567675,0.047806471952980815,-0.12324377564276992,0.4120923516033973,-0.02203135335601999,0.9516314367864459,0.26386654944943333,0.19811293063036825,0.3540275842769026,-0.20768386444708486,0.525216941189855,1.0,-0.11366048406369816,0.08183771443841835,0.1447881487813305,0.44419456013806563
material,0.081606499133175,0.06515484537068683,0.03662755242905264,0.29490516538971623,0.18043642888990585,0.19586299515991185,0.14614176599586198,0.35644108906128136,0.0815928488743041,-0.018124695561692702,0.18978071475486732,-0.15918098171579775,0.25784429051115754,0.3908324255912198,0.01354448660603189,0.44125015061137335,-0.273142678160828,-0.11366048406369816,1.0,0.4336543789841676,0.32164461472289313,0.019155428941472027
mediation,-0.08525156434947925,0.011408110169940228,0.1094380058891652,0.2725383937235426,0.17781104181568058,0.4254805920767234,0.148609097899799,0.8151416640197705,0.47052168826999674,0.15492528840844216,0.2507405897110706,0.05970330553518992,0.24859914778846143,0.3628839171528699,0.23506162992339594,0.3888249430510611,0.04130145433374489,0.08183771443841835,0.4336543789841676,1.0,0.46465189397038237,0.08527854707540863
memberOf,0.09280368536508851,0.1266911985871404,0.24264251217648514,0.2839349798785629,0.3106314465951879,0.33118560674759584,-0.019183291037133003,0.36854342385609734,0.348123735913978,0.12470930146188085,0.3015762695352358,0.1285651312076721,0.1904576365804042,0.3852290235149377,0.30527257846680705,0.21873069521918176,0.15543704550125767,0.1447881487813305,0.32164461472289313,0.46465189397038237,1.0,0.2661226035909027
participation,0.1793127575894875,0.1370722496139077,0.7934434883390632,-0.17101657248149651,0.12308015793053188,0.04057234841025281,0.17422533410274998,0.07068547540779936,-0.1411310172801108,0.2907508590713622,0.020850312027951644,0.41581045731340677,0.29321035296066755,0.06646950731215213,0.7035332249102307,-0.05126760015611664,0.2634862684193084,0.44419456013806563,0.019155428941472027,0.08527854707540863,0.2661226035909027,1.0
