Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,phaseMixin,quality,relator,role,roleMixin,situation,subkind,type,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,triggers
type,0.20951397064659888,0.0,0.09614414947874673,0.3286878675669583,-0.36493797212992807,0.05158752904604398,0.23049760605134334,-0.12364893354703727,0.3425303036646122,0.19422464901683897,-0.19642857142857142,-0.20698905038513105,0.29364006844420665,0.07503224734841289,-0.11602387022306429,1.0,0.17173551629643674,0.2760262237369417,0.22563042992710647,0.32826608214930636,-0.23622779563076704,0.5400617248673217,0.44391122998638766,0.9191450300180579,0.7015903950261981,-0.23461968601813254,-0.13533899448258568,-0.009379030918551612,0.37067856345167494,0.12992528759692185
bringsAbout,0.2663977138330655,-0.23186944788008415,0.15498167742706204,0.44901325506693723,-0.3032258064516129,-0.0589150827189456,0.10279233364889581,-0.05109651047030395,-0.01419904585617662,0.20654609733079113,-0.17173551629643674,-0.327787780834039,0.14934573132646875,0.8174367039575349,-0.019925419255468715,0.17173551629643674,1.0,0.22812937284069357,0.08234111154840207,0.10711239569098734,-0.028398091712353243,0.13912166872805048,0.3335295436878062,0.2085872968719227,0.27597065063085047,0.1614950714280729,-0.24165376543239367,-0.0958374066708834,0.5182646432752366,0.6247580176717713
characterization,0.2958295987813787,0.11594426549998908,-0.04222003309207491,0.17320508075688773,-0.06221710168382552,0.08970891825734569,0.5602962506968002,-0.07466013667894411,0.09128709291752768,0.5196152422706631,0.20701966780270625,-0.03845585014701182,0.13093073414159542,0.1630980846658687,0.03202563076101742,0.2760262237369417,0.22812937284069357,1.0,0.32696955654783966,0.018122009407318746,-0.06085806194501845,0.3147058634999704,0.13984532338254546,0.2355861222951437,0.249191439603738,0.22666415081076222,0.20766159079386382,0.09061004703659373,0.20240972548199596,0.27386127875258304
componentOf,0.37454545454545457,0.24370871833797697,0.128186179620115,-0.04719399037242694,0.09202830114233172,0.05354269524466559,0.2180950197925595,0.1918053639991929,0.24518082380895198,0.07416198487095663,0.13698990388431465,0.0017962703241769472,0.11212238211627763,-0.021161947784524245,0.20942812576189443,0.22563042992710647,0.08234111154840207,0.32696955654783966,1.0,0.05502106423976303,-0.1492405014489273,0.034815531191139566,0.15894937743488802,0.28357010031262486,0.30496056856744314,0.19296514486118194,0.13112773366491715,0.28357010031262486,0.01818181818181818,-0.1385804656311468
creation,-0.05502106423976303,0.04052204492365539,-0.025248690616772377,0.5492942180025514,-0.10711239569098734,-0.11108990047296713,0.09763167236550804,-0.1501820786164757,0.049629166698546515,-0.08631766282897237,-0.07503224734841289,-0.11498805089154705,0.2965909994776427,0.11330049261083744,-0.1654051028490452,0.32826608214930636,0.10711239569098734,0.018122009407318746,0.05502106423976303,1.0,0.024814583349273257,0.20261022461827694,0.31678478323850257,0.3793103448275862,0.3766218577010349,-0.045713722783439326,0.035541761184659994,0.2019704433497537,0.6644851604340613,-0.06203645837318314
derivation,-0.10660035817780522,0.0,-0.04624972900628803,0.07905694150420949,0.2839809171235324,-0.054595109043261404,0.039344473768231684,0.020446520502738267,-0.0625,-0.09882117688026185,0.30709613431999716,0.16850509274845385,0.05976143046671968,0.09925833339709303,-0.02192645048267573,-0.23622779563076704,-0.028398091712353243,-0.06085806194501845,-0.1492405014489273,0.024814583349273257,1.0,-0.13608276348795434,-0.17872502241585786,-0.19851666679418606,-0.21838043617304562,0.44052895230480027,0.42126273187113467,0.17370208344491278,-0.08528028654224418,0.125
externalDependence,0.1044465935734187,-0.037037037037037035,-0.018881372801234024,0.3227486121839514,-0.3246172270321178,-0.06686507980379898,0.3533709114117795,-0.16694514082354445,0.10206207261596575,0.12909944487358055,0.0,-0.017197979012252743,0.3578300267477955,0.04052204492365539,-0.14322297480788657,0.5400617248673217,0.13912166872805048,0.3147058634999704,0.034815531191139566,0.20261022461827694,-0.13608276348795434,1.0,0.3127036494188124,0.52678658400752,0.3789021188881942,-0.2779425689573285,-0.017197979012252743,0.12156613477096616,0.24370871833797697,0.2041241452319315
historicalDependence,0.15459459997091848,0.14592836972877912,0.24916037043748196,0.3794767549691675,-0.43793879214659764,0.1017569117701966,0.06228202875462501,-0.05220435478825991,0.17872502241585786,0.08881370860980517,-0.009650244130138862,-0.29793404230668047,0.18920385885303678,0.22555076566581383,-0.11196586725761193,0.44391122998638766,0.3335295436878062,0.13984532338254546,0.15894937743488802,0.31678478323850257,-0.17872502241585786,0.3127036494188124,1.0,0.4992528183838801,0.5032088376580955,-0.01738273112835931,0.011831315759471066,0.1343167480931251,0.47249335484069455,0.293619679683195
instantiation,0.1735279718330988,0.04052204492365539,0.057383387765391765,0.33742359105871017,-0.31006219805285806,0.08399480279663368,0.16792647646867384,-0.07712052685710914,0.38462604191373545,0.19617650642948264,-0.1594435256153774,-0.2655178629677541,0.2965909994776427,0.11330049261083744,-0.08705531728897115,0.9191450300180579,0.2085872968719227,0.2355861222951437,0.28357010031262486,0.3793103448275862,-0.19851666679418606,0.52678658400752,0.4992528183838801,1.0,0.7667912642402366,-0.1888175506272494,-0.11498805089154705,0.024630541871921183,0.4359361243611994,0.16129479177027617
manifestation,0.11406922030385278,0.02228835993459966,-0.14518801740337614,0.39708325546851303,-0.27597065063085047,0.2488822652757079,0.21694959939826103,-0.07813960114815931,-0.027297554521630702,0.16401264899786408,-0.14444508132892314,-0.12304403358566232,0.18923554514888702,0.1815371544314341,-0.08140123294226802,0.7015903950261981,0.27597065063085047,0.249191439603738,0.30496056856744314,0.3766218577010349,-0.21838043617304562,0.3789021188881942,0.5032088376580955,0.7667912642402366,1.0,-0.11260112715194592,-0.12304403358566232,0.08399480279663368,0.4725724841159615,0.21838043617304562
material,-0.008538280746069996,0.049048688639528555,0.010187172331760499,0.006332158475140234,0.24792905331915419,0.12353327541912515,0.1307806840065939,0.09007284255349908,0.07008415150303642,0.06332158475140234,0.30273507873307426,0.0160272280382215,-0.004786661882134581,0.16894201898227576,0.06673654142510117,-0.23461968601813254,0.1614950714280729,0.22666415081076222,0.19296514486118194,-0.045713722783439326,0.44052895230480027,-0.2779425689573285,-0.01738273112835931,-0.1888175506272494,-0.11260112715194592,1.0,0.38043578132831035,0.2404939329041808,-0.05293734062563398,0.07008415150303642
mediation,-0.13112773366491715,0.25796968518379115,-0.03994073873845154,-0.10657197808460729,0.327787780834039,0.20813990728041945,0.2303836110005609,0.14298172759842864,-0.04212627318711347,0.0732682349331675,0.7085394417029486,0.16947648624667258,0.1560866334454106,-0.19025295692965058,0.10714683859460199,-0.13533899448258568,-0.24165376543239367,0.20766159079386382,0.13112773366491715,0.035541761184659994,0.42126273187113467,-0.017197979012252743,0.011831315759471066,-0.11498805089154705,-0.12304403358566232,0.38043578132831035,1.0,0.33660138533707407,-0.06286946134619316,-0.13691038785811876
memberOf,-0.05502106423976303,0.6888747637021416,0.057383387765391765,0.12555296411486888,0.19731230785181877,-0.013547548838166723,0.16792647646867384,0.21512568018035708,-0.06203645837318314,-0.15694120514358612,0.2626128657194451,0.11080666722276353,0.08304547985373997,-0.15270935960591134,0.30469361051139904,-0.009379030918551612,-0.0958374066708834,0.09061004703659373,0.28357010031262486,0.2019704433497537,0.17370208344491278,0.12156613477096616,0.1343167480931251,0.024630541871921183,0.08399480279663368,0.2404939329041808,0.33660138533707407,1.0,0.1312040762640503,-0.17370208344491278
participation,0.04727272727272727,0.034815531191139566,0.128186179620115,0.6809418610878745,-0.3438952305845028,-0.030263262529593594,0.036908387964894686,-0.12205795890857729,-0.04264014327112208,0.13483997249264842,-0.08058229640253803,-0.32153238802767353,0.1732800450887927,0.5121191363854867,-0.1944689739217591,0.37067856345167494,0.5182646432752366,0.20240972548199596,0.01818181818181818,0.6644851604340613,-0.08528028654224418,0.24370871833797697,0.47249335484069455,0.4359361243611994,0.4725724841159615,-0.05293734062563398,-0.06286946134619316,0.1312040762640503,1.0,0.34112114616897665
triggers,0.04264014327112208,-0.2041241452319315,0.11562432251572007,0.3952847075210474,-0.24138377955500254,-0.027297554521630702,0.019672236884115842,-0.2658047665355975,-0.125,0.1284675299443404,-0.0236227795630767,-0.23169450252912407,0.14940357616679922,0.6079572920571947,-0.07674257668936506,0.12992528759692185,0.6247580176717713,0.27386127875258304,-0.1385804656311468,-0.06203645837318314,0.125,0.2041241452319315,0.293619679683195,0.16129479177027617,0.21838043617304562,0.07008415150303642,-0.13691038785811876,-0.17370208344491278,0.34112114616897665,1.0
