Stereotype Pair,Jaccard Similarity,Dice Coefficient
"('mixin', 'mode')",0.16981132075471697,0.2903225806451613
"('mixin', 'phase')",0.225,0.3673469387755102
"('mixin', 'phaseMixin')",0.043478260869565216,0.08333333333333333
"('mixin', 'quality')",0.20454545454545456,0.33962264150943394
"('mixin', 'quantity')",0.09090909090909091,0.16666666666666666
"('mixin', 'relator')",0.14457831325301204,0.25263157894736843
"('mixin', 'role')",0.20833333333333334,0.3448275862068966
"('mixin', 'roleMixin')",0.17647058823529413,0.3
"('mixin', 'situation')",0.06060606060606061,0.11428571428571428
"('mixin', 'subkind')",0.12345679012345678,0.21978021978021978
"('mixin', 'type')",0.125,0.2222222222222222
"('mode', 'phase')",0.27419354838709675,0.43037974683544306
"('mode', 'phaseMixin')",0.125,0.2222222222222222
"('mode', 'quality')",0.3387096774193548,0.5060240963855421
"('mode', 'quantity')",0.058823529411764705,0.1111111111111111
"('mode', 'relator')",0.4367816091954023,0.608
"('mode', 'role')",0.39285714285714285,0.5641025641025641
"('mode', 'roleMixin')",0.40625,0.5777777777777777
"('mode', 'situation')",0.1206896551724138,0.2153846153846154
"('mode', 'subkind')",0.44047619047619047,0.6115702479338843
"('mode', 'type')",0.24528301886792453,0.3939393939393939
"('phase', 'phaseMixin')",0.1388888888888889,0.24390243902439024
"('phase', 'quality')",0.25,0.4
"('phase', 'quantity')",0.1388888888888889,0.24390243902439024
"('phase', 'relator')",0.3023255813953488,0.4642857142857143
"('phase', 'role')",0.35064935064935066,0.5192307692307693
"('phase', 'roleMixin')",0.2222222222222222,0.36363636363636365
"('phase', 'situation')",0.10638297872340426,0.19230769230769232
"('phase', 'subkind')",0.4025974025974026,0.5740740740740741
"('phase', 'type')",0.10416666666666667,0.18867924528301888
"('phaseMixin', 'quality')",0.125,0.2222222222222222
"('phaseMixin', 'quantity')",0.0,0.0
"('phaseMixin', 'relator')",0.07407407407407407,0.13793103448275862
"('phaseMixin', 'role')",0.05333333333333334,0.10126582278481013
"('phaseMixin', 'roleMixin')",0.15555555555555556,0.2692307692307692
"('phaseMixin', 'situation')",0.038461538461538464,0.07407407407407407
"('phaseMixin', 'subkind')",0.07792207792207792,0.14457831325301204
"('phaseMixin', 'type')",0.21739130434782608,0.35714285714285715
"('quality', 'quantity')",0.0975609756097561,0.17777777777777778
"('quality', 'relator')",0.38095238095238093,0.5517241379310345
"('quality', 'role')",0.35,0.5185185185185185
"('quality', 'roleMixin')",0.265625,0.41975308641975306
"('quality', 'situation')",0.24444444444444444,0.39285714285714285
"('quality', 'subkind')",0.3493975903614458,0.5178571428571429
"('quality', 'type')",0.26666666666666666,0.42105263157894735
"('quantity', 'relator')",0.07407407407407407,0.13793103448275862
"('quantity', 'role')",0.11267605633802817,0.20253164556962025
"('quantity', 'roleMixin')",0.08333333333333333,0.15384615384615385
"('quantity', 'situation')",0.17391304347826086,0.2962962962962963
"('quantity', 'subkind')",0.07792207792207792,0.14457831325301204
"('quantity', 'type')",0.07692307692307693,0.14285714285714285
"('relator', 'role')",0.5957446808510638,0.7466666666666667
"('relator', 'roleMixin')",0.41379310344827586,0.5853658536585366
"('relator', 'situation')",0.13953488372093023,0.24489795918367346
"('relator', 'subkind')",0.6210526315789474,0.7662337662337663
"('relator', 'type')",0.1511627906976744,0.26262626262626265
"('role', 'roleMixin')",0.35294117647058826,0.5217391304347826
"('role', 'situation')",0.1111111111111111,0.2
"('role', 'subkind')",0.5368421052631579,0.6986301369863014
"('role', 'type')",0.1375,0.24175824175824176
"('roleMixin', 'situation')",0.18867924528301888,0.31746031746031744
"('roleMixin', 'subkind')",0.3522727272727273,0.5210084033613446
"('roleMixin', 'type')",0.28,0.4375
"('situation', 'subkind')",0.13253012048192772,0.23404255319148937
"('situation', 'type')",0.14705882352941177,0.2564102564102564
"('subkind', 'type')",0.1728395061728395,0.29473684210526313
