model,Total classes,Total stereotyped classes,Total non-stereotyped classes,Total ontouml classes,Total non-ontouml classes,Total relations,Total stereotyped relations,Total non-stereotyped relations,Total ontouml relations,Total non-ontouml relations,Number of different class stereotypes,Number of different ontouml class stereotypes,Number of different relation stereotypes,Number of different ontouml relation stereotypes
grueau2013towards,13,6,7,0,13,3,0,3,0,3,1,0,0,0
guarino2016value,18,18,0,18,0,37,25,12,16,21,6,6,3,2
guarino2018rea,11,11,0,11,0,12,4,8,4,8,6,6,2,2
guizzardi2005ontological,43,43,0,43,0,25,21,4,16,9,11,11,7,6
guizzardi2020decision-making,54,30,24,30,24,61,28,33,27,34,9,9,8,7
guizzardi2022ufo,62,62,0,62,0,40,37,3,32,8,12,12,10,9
haridy2021egyptian-e-government,32,32,0,32,0,16,16,0,16,0,5,5,2,2
heirbrant2023boekbazaar,42,42,0,42,0,59,19,40,6,53,5,5,5,4
jacobs2022sdpontology,34,34,0,34,0,22,0,22,0,22,8,8,0,0
junior2018o4c,11,11,0,11,0,5,5,0,5,0,4,4,3,3
khantong2020ontology,30,30,0,30,0,22,0,22,0,22,4,4,0,0
kostov2017towards,58,52,6,42,16,35,3,32,2,33,7,6,2,1
kritz2020ontobg,179,179,0,179,0,70,69,1,32,38,3,3,2,1
laurier2018rea,23,23,0,23,0,18,1,17,0,18,4,4,1,0
lindeberg2022full-ontorights,185,181,4,181,4,114,110,4,110,4,11,11,12,12
lindeberg2022simple-ontorights,61,61,0,61,0,68,61,7,61,7,11,11,10,10
machacova2023gym,41,41,0,41,0,21,21,0,21,0,11,11,4,4
maddalena2021ontocovid,74,74,0,68,6,72,14,58,14,58,10,9,2,2
martinez2013human-genome,10,10,0,10,0,15,15,0,12,3,4,4,6,5
mgic-antt2011,3760,3760,0,3760,0,1782,1778,4,1670,112,13,13,9,8
moreira2018saref4health,19,18,1,16,3,10,8,2,3,7,10,9,3,2
nardi2015ufo-s,27,27,0,27,0,48,48,0,23,25,6,6,6,5
nascimento2023spacecon,18,16,2,9,9,15,0,15,0,15,4,3,0,0
neves2020nwpontology,35,35,0,33,2,22,0,22,0,22,8,7,0,0
neves2021grain-production,18,18,0,18,0,16,0,16,0,16,4,4,0,0
niederkofler2019dssapple,68,68,0,68,0,43,39,4,31,12,13,13,9,8
o3ontology2015,303,236,67,233,70,220,145,75,70,150,12,11,9,8
oliveira2007collaboration,20,20,0,16,4,20,0,20,0,20,8,7,0,0
oliveira2022rose,63,63,0,63,0,86,45,41,45,41,8,8,8,8
pereira2015doacao-orgaos,25,25,0,25,0,9,6,3,6,3,7,7,1,1
pereira2020ontotrans,35,35,0,35,0,67,0,67,0,67,1,1,0,0
piest2024dsr-kb,84,84,0,84,0,66,66,0,66,0,9,9,7,7
pinheiro2024api,28,28,0,28,0,34,30,4,30,4,8,8,8,8
plato-ontology2019,73,73,0,73,0,70,44,26,44,26,9,9,6,6
porello2020coex,17,17,0,17,0,37,26,11,26,11,6,6,9,9
ppo-o2021,59,59,0,55,4,42,13,29,13,29,8,7,6,6
public-expense-ontology2020,42,42,0,42,0,26,6,20,6,20,5,5,1,1
quality-assurance-process-ontology2017,37,16,21,16,21,28,1,27,1,27,3,3,1,1
ramirez2015userfeedback,50,50,0,50,0,36,28,8,28,8,8,8,3,3
ramos2021bias,49,49,0,49,0,30,24,6,23,7,9,9,7,6
repa2021public-administration,25,25,0,24,1,9,2,7,2,7,6,5,1,1
rocha2023ciencia-aberta,24,24,0,24,0,22,6,16,6,16,8,8,1,1
rodrigues2017urinary-profiles,63,63,0,48,15,62,41,21,22,40,12,11,5,4
rodrigues2019ontocrime,106,46,60,46,60,57,17,40,17,40,6,6,2,2
rodrigues2019turbidite,69,69,0,58,11,99,57,42,17,82,12,11,3,2
romanenko2023what,55,55,0,55,0,31,26,5,26,5,10,10,6,6
sales2018competition,27,27,0,27,0,31,0,31,0,31,11,11,0,0
sales2018cover,63,63,0,63,0,58,45,13,45,13,8,8,9,9
santos2020valuenetworks,15,15,0,15,0,6,0,6,0,6,3,3,0,0
sariev2024maritime,83,83,0,83,0,62,30,32,30,32,9,9,3,3
schoonderbeek2024eamon,47,47,0,47,0,128,126,2,126,2,5,5,5,5
services2015,124,33,91,33,91,91,59,32,38,53,6,6,8,7
sikora2021online-education,65,64,1,64,1,58,45,13,45,13,6,6,3,3
silva2012itarchitecture,84,84,0,84,0,33,6,27,6,27,5,5,2,2
silva2021sebim,42,42,0,42,0,22,3,19,3,19,7,7,2,2
silva2023onto4caal,193,192,1,192,1,86,20,66,20,66,9,9,1,1
silva2023onto4elev,197,193,4,193,4,77,0,77,0,77,7,7,0,0
silveira2021oap,32,32,0,32,0,25,19,6,18,7,7,7,7,6
spmo2017,34,17,17,17,17,27,2,25,2,25,5,5,1,1
spo2017,109,75,34,75,34,89,2,87,2,87,9,9,1,1
tesolin2023hint,38,20,18,20,18,53,14,39,14,39,4,4,4,4
valaski2020medical-appointment,7,7,0,7,0,7,7,0,6,1,3,3,4,3
van-ee2021modular,100,95,5,95,5,66,63,3,63,3,10,10,7,7
van-wingerde2020smart-contracts,39,39,0,34,5,42,0,42,0,42,12,11,0,0
vieira2020weathering,39,37,2,37,2,60,16,44,16,44,10,10,6,6
weigand2021artifact,52,48,4,48,4,46,44,2,44,2,10,10,9,9
xhani2023xmlpo,119,119,0,119,0,92,83,9,83,9,8,8,5,5
zanetti2019orm-o,34,34,0,34,0,22,18,4,18,4,5,5,2,2
zhou2017hazard-ontology-robotic-strolling,13,13,0,13,0,14,0,14,0,14,3,3,0,0
zhou2017hazard-ontology-train-control,25,25,0,25,0,30,0,30,0,30,3,3,0,0
