Element Pair,Jaccard Similarity
"('abstractNature', 'owner')",0.0
"('abstractNature', 'Package')",0.0
"('abstractNature', 'PackageView')",0.0
"('abstractNature', 'participation')",0.0
"('abstractNature', 'participational')",0.0
"('abstractNature', 'Path')",0.0
"('abstractNature', 'phase')",0.0
"('abstractNature', 'phaseMixin')",0.0
"('abstractNature', 'point')",0.0
"('abstractNature', 'Point')",0.0
"('abstractNature', 'project')",0.0
"('abstractNature', 'Project')",0.0
"('abstractNature', 'property')",0.0
"('abstractNature', 'Property')",0.0
"('abstractNature', 'PropertyStereotype')",0.0
"('abstractNature', 'propertyType')",0.0
"('abstractNature', 'quality')",0.0
"('abstractNature', 'qualityNature')",0.0
"('abstractNature', 'quantity')",0.0
"('abstractNature', 'quantityNature')",0.0
"('abstractNature', 'Rectangle')",0.0
"('abstractNature', 'RectangularShape')",0.0
"('abstractNature', 'redefinesProperty')",0.0
"('abstractNature', 'Relation')",0.0
"('abstractNature', 'relationEnd')",0.0
"('abstractNature', 'RelationStereotype')",0.0
"('abstractNature', 'RelationView')",0.0
"('abstractNature', 'relator')",0.0
"('abstractNature', 'relatorNature')",0.0
"('abstractNature', 'restrictedTo')",0.0
"('abstractNature', 'role')",0.0
"('abstractNature', 'roleMixin')",0.0
"('abstractNature', 'shape')",0.0
"('abstractNature', 'Shape')",0.0
"('abstractNature', 'shared')",0.0
"('abstractNature', 'situation')",0.0
"('abstractNature', 'situationNature')",0.0
"('abstractNature', 'sourceEnd')",0.0
"('abstractNature', 'sourceView')",0.0
"('abstractNature', 'specific')",0.0
"('abstractNature', 'stereotype')",0.0
"('abstractNature', 'Stereotype')",0.0
"('abstractNature', 'subCollectionOf')",0.0
"('abstractNature', 'subkind')",0.0
"('abstractNature', 'subQuantityOf')",0.0
"('abstractNature', 'subsetsProperty')",0.0
"('abstractNature', 'targetEnd')",0.0
"('abstractNature', 'targetView')",0.0
"('abstractNature', 'termination')",0.0
"('abstractNature', 'text')",0.0
"('abstractNature', 'Text')",0.0
"('abstractNature', 'topLeftPosition')",0.0
"('abstractNature', 'triggers')",0.0
"('abstractNature', 'type')",0.0
"('abstractNature', 'typeNature')",0.0
"('abstractNature', 'upperBound')",0.0
"('abstractNature', 'width')",0.0
"('abstractNature', 'xCoordinate')",0.0
"('abstractNature', 'yCoordinate')",0.0
"('aggregationKind', 'AggregationKind')",0.0
"('aggregationKind', 'attribute')",0.35833333333333334
"('aggregationKind', 'begin')",0.0
"('aggregationKind', 'bringsAbout')",0.1
"('aggregationKind', 'cardinality')",1.0
"('aggregationKind', 'Cardinality')",1.0
"('aggregationKind', 'cardinalityValue')",1.0
"('aggregationKind', 'categorizer')",0.016666666666666666
"('aggregationKind', 'category')",0.7166666666666667
"('aggregationKind', 'characterization')",0.5666666666666667
"('aggregationKind', 'Class')",0.9917355371900827
"('aggregationKind', 'Classifier')",0.0
"('aggregationKind', 'ClassStereotype')",0.0
"('aggregationKind', 'ClassView')",0.8181818181818182
"('aggregationKind', 'collective')",0.36666666666666664
