model,total_classes,stereotyped_classes,non_stereotyped_classes,ontouml_classes,non_ontouml_classes,total_relations,stereotyped_relations,non_stereotyped_relations,ontouml_relations,non_ontouml_relations,ratio_classes_relations,ratio_stereotyped_classes_relations,ratio_stereotyped_classes_total,ratio_non_stereotyped_classes_total,ratio_stereotyped_relations_total,ratio_non_stereotyped_relations_total,ratio_ontouml_classes_total,ratio_non_ontouml_classes_total,ratio_ontouml_relations_total,ratio_non_ontouml_relations_total,unique_class_stereotypes,unique_relation_stereotypes
niederkofler2019dssapple,68,68,0,68,0,43,39,4,31,12,1.5813953488372092,1.7435897435897436,1.0,0.0,0.9069767441860463,0.0930232558139534,1.0,0.0,0.7209302325581395,0.2790697674418604,13,8
oliveira2007collaboration,20,20,0,16,4,20,0,20,0,20,1.0,,1.0,0.0,0.0,1.0,0.8,0.2,0.0,1.0,7,0
oliveira2022rose,63,63,0,63,0,86,45,41,45,41,0.7325581395348837,1.4,1.0,0.0,0.5232558139534884,0.4767441860465116,1.0,0.0,0.5232558139534884,0.4767441860465116,8,8
pereira2015doacao-orgaos,25,25,0,25,0,9,6,3,6,3,2.7777777777777777,4.166666666666667,1.0,0.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.6666666666666666,0.3333333333333333,7,1
pereira2020ontotrans,35,35,0,35,0,67,0,67,0,67,0.5223880597014925,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,0
piest2024dsr-kb,84,84,0,84,0,66,66,0,66,0,1.2727272727272727,1.2727272727272727,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,9,7
pinheiro2024api,28,28,0,28,0,34,30,4,30,4,0.8235294117647058,0.9333333333333332,1.0,0.0,0.8823529411764706,0.1176470588235294,1.0,0.0,0.8823529411764706,0.1176470588235294,8,8
plato-ontology2019,73,73,0,73,0,70,44,26,44,26,1.042857142857143,1.6590909090909092,1.0,0.0,0.6285714285714286,0.3714285714285714,1.0,0.0,0.6285714285714286,0.3714285714285714,9,6
porello2020coex,17,17,0,17,0,37,26,11,26,11,0.4594594594594595,0.6538461538461539,1.0,0.0,0.7027027027027027,0.2972972972972973,1.0,0.0,0.7027027027027027,0.2972972972972973,6,9
ppo-o2021,59,59,0,55,4,42,13,29,13,29,1.4047619047619049,4.538461538461538,1.0,0.0,0.3095238095238095,0.6904761904761905,0.9322033898305084,0.0677966101694915,0.3095238095238095,0.6904761904761905,7,6
public-expense-ontology2020,42,42,0,42,0,26,6,20,6,20,1.6153846153846154,7.0,1.0,0.0,0.2307692307692307,0.7692307692307693,1.0,0.0,0.2307692307692307,0.7692307692307693,5,1
quality-assurance-process-ontology2017,37,16,21,16,21,28,1,27,1,27,1.3214285714285714,16.0,0.4324324324324324,0.5675675675675675,0.0357142857142857,0.9642857142857144,0.4324324324324324,0.5675675675675675,0.0357142857142857,0.9642857142857144,3,1
ramirez2015userfeedback,50,50,0,50,0,36,28,8,28,8,1.3888888888888888,1.7857142857142858,1.0,0.0,0.7777777777777778,0.2222222222222222,1.0,0.0,0.7777777777777778,0.2222222222222222,8,3
ramos2021bias,49,49,0,49,0,30,24,6,23,7,1.6333333333333333,2.0416666666666665,1.0,0.0,0.8,0.2,1.0,0.0,0.7666666666666667,0.2333333333333333,9,6
repa2021public-administration,25,25,0,24,1,9,2,7,2,7,2.7777777777777777,12.5,1.0,0.0,0.2222222222222222,0.7777777777777778,0.96,0.04,0.2222222222222222,0.7777777777777778,5,1
rocha2023ciencia-aberta,24,24,0,24,0,22,6,16,6,16,1.0909090909090908,4.0,1.0,0.0,0.2727272727272727,0.7272727272727273,1.0,0.0,0.2727272727272727,0.7272727272727273,8,1
rodrigues2017urinary-profiles,63,63,0,48,15,62,41,21,22,40,1.0161290322580645,1.5365853658536586,1.0,0.0,0.6612903225806451,0.3387096774193548,0.7619047619047619,0.238095238095238,0.3548387096774194,0.6451612903225806,11,4
romanenko2023what,55,55,0,55,0,31,26,5,26,5,1.7741935483870968,2.1153846153846154,1.0,0.0,0.8387096774193549,0.1612903225806451,1.0,0.0,0.8387096774193549,0.1612903225806451,10,6
sales2018competition,27,27,0,27,0,31,0,31,0,31,0.8709677419354839,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,11,0
sales2018cover,63,63,0,63,0,58,45,13,45,13,1.0862068965517242,1.4,1.0,0.0,0.7758620689655172,0.2241379310344827,1.0,0.0,0.7758620689655172,0.2241379310344827,8,9
santos2020valuenetworks,15,15,0,15,0,6,0,6,0,6,2.5,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3,0
sariev2024maritime,83,83,0,83,0,62,30,32,30,32,1.3387096774193548,2.7666666666666666,1.0,0.0,0.4838709677419355,0.5161290322580645,1.0,0.0,0.4838709677419355,0.5161290322580645,9,3
sikora2021online-education,65,64,1,64,1,58,45,13,45,13,1.1206896551724137,1.4222222222222225,0.9846153846153848,0.0153846153846153,0.7758620689655172,0.2241379310344827,0.9846153846153848,0.0153846153846153,0.7758620689655172,0.2241379310344827,6,3
silva2012itarchitecture,84,84,0,84,0,33,6,27,6,27,2.5454545454545454,14.0,1.0,0.0,0.1818181818181818,0.8181818181818182,1.0,0.0,0.1818181818181818,0.8181818181818182,5,2
silva2021sebim,42,42,0,42,0,22,3,19,3,19,1.9090909090909087,14.0,1.0,0.0,0.1363636363636363,0.8636363636363636,1.0,0.0,0.1363636363636363,0.8636363636363636,7,2
silveira2021oap,32,32,0,32,0,25,19,6,18,7,1.28,1.6842105263157894,1.0,0.0,0.76,0.24,1.0,0.0,0.72,0.28,7,6
spmo2017,34,17,17,17,17,27,2,25,2,25,1.2592592592592593,8.5,0.5,0.5,0.074074074074074,0.925925925925926,0.5,0.5,0.074074074074074,0.925925925925926,5,1
tesolin2023hint,38,20,18,20,18,53,14,39,14,39,0.7169811320754716,1.4285714285714286,0.5263157894736842,0.4736842105263157,0.2641509433962264,0.7358490566037735,0.5263157894736842,0.4736842105263157,0.2641509433962264,0.7358490566037735,4,4
valaski2020medical-appointment,7,7,0,7,0,7,7,0,6,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8571428571428571,0.1428571428571428,3,3
van-wingerde2020smart-contracts,39,39,0,34,5,42,0,42,0,42,0.9285714285714286,,1.0,0.0,0.0,1.0,0.8717948717948718,0.1282051282051282,0.0,1.0,11,0
vieira2020weathering,39,37,2,37,2,60,16,44,16,44,0.65,2.3125,0.9487179487179488,0.0512820512820512,0.2666666666666666,0.7333333333333333,0.9487179487179488,0.0512820512820512,0.2666666666666666,0.7333333333333333,10,6
weigand2021artifact,52,48,4,48,4,46,44,2,44,2,1.1304347826086956,1.0909090909090908,0.9230769230769232,0.0769230769230769,0.9565217391304348,0.0434782608695652,0.9230769230769232,0.0769230769230769,0.9565217391304348,0.0434782608695652,10,9
zanetti2019orm-o,34,34,0,34,0,22,18,4,18,4,1.5454545454545454,1.8888888888888888,1.0,0.0,0.8181818181818182,0.1818181818181818,1.0,0.0,0.8181818181818182,0.1818181818181818,5,2
zhou2017hazard-ontology-robotic-strolling,13,13,0,13,0,14,0,14,0,14,0.9285714285714286,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3,0
zhou2017hazard-ontology-train-control,25,25,0,25,0,30,0,30,0,30,0.8333333333333334,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3,0
