Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,characterization,componentOf,derivation,material,mediation,memberOf
role,0.06666666666666667,0.09759000729485331,-0.09759000729485333,-0.2792896329177484,0.4526019054848144,0.3333333333333333,0.01698823971458752,0.20672455764868078,0.09759000729485333,0.11891767800211263,1.0,-0.01642880193633814,-0.2,-0.01698823971458752,-0.034815531191139566,-0.034815531191139566,0.20672455764868078,0.3333333333333333,-0.048507125007266595,-0.12403473458920847
roleMixin,0.3778624445357772,-0.1298662389658481,-0.12024651756097046,0.3522267206477733,-0.2659695218051501,0.16976428667549412,0.47306844125299624,0.25471776097404686,0.264542338634135,0.19676297999018427,-0.01642880193633814,1.0,-0.005476267312112713,0.19676297999018427,0.2659695218051501,-0.28312884579257913,-0.23434034009612312,-0.2464320290450721,0.24305875451990117,-0.23434034009612312
situation,-0.022222222222222223,-0.2277100170213244,0.09759000729485331,0.5202453946507077,-0.26691907246540336,0.05185185185185185,-0.13024317114517098,0.013781637176578718,0.3578300267477955,-0.050964719143762556,-0.2,-0.005476267312112713,1.0,-0.2321726094326961,0.26691907246540336,-0.29012942659282975,0.013781637176578718,-0.15555555555555556,-0.0592864861199925,0.013781637176578718
subkind,0.5266354311522131,0.06465741506925919,0.07460470969529907,0.06279669574154817,0.22179547112466663,-0.050964719143762556,0.3852813852813853,0.3476767476825577,-0.12434118282549846,-0.10822510822510822,-0.01698823971458752,0.19676297999018427,-0.2321726094326961,1.0,0.06210273191490665,0.3460009349544799,0.010535659020683567,0.28880007514798783,0.2842974802836732,-0.1580348853102535
characterization,0.38297084310253526,0.13250826977378266,0.15289415743128767,0.1286949299057178,-0.12727272727272726,0.26691907246540336,0.36374457264445326,0.021591675854376522,0.3567530340063379,0.3460009349544799,-0.034815531191139566,0.2659695218051501,0.26691907246540336,0.06210273191490665,1.0,0.12727272727272726,0.19432508268938872,-0.1044465935734187,0.5826364566706337,0.19432508268938872
componentOf,-0.034815531191139566,0.13250826977378266,0.15289415743128767,-0.28312884579257913,0.3090909090909091,-0.1044465935734187,-0.06210273191490665,0.021591675854376522,-0.2548235957188128,-0.07984636960487998,-0.034815531191139566,-0.28312884579257913,-0.29012942659282975,0.3460009349544799,0.12727272727272726,1.0,0.19432508268938872,0.17407765595569785,0.04222003309207491,0.19432508268938872
derivation,0.041344911529736156,0.13315005718713654,0.060522753266880246,-0.23434034009612312,0.32387513781564786,0.013781637176578718,-0.010535659020683567,0.1794871794871795,-0.18156825980064073,0.3476767476825577,0.20672455764868078,-0.23434034009612312,0.013781637176578718,0.010535659020683567,0.19432508268938872,0.19432508268938872,1.0,0.6201736729460423,0.3509664885977756,0.1794871794871795
material,0.2,0.05855400437691199,-0.09759000729485333,-0.11500161355436699,0.5222329678670935,0.022222222222222223,-0.01698823971458752,0.12403473458920847,-0.29277002188455997,0.01698823971458752,0.3333333333333333,-0.2464320290450721,-0.15555555555555556,0.28880007514798783,-0.1044465935734187,0.17407765595569785,0.6201736729460423,1.0,0.17785945835997752,-0.041344911529736156
mediation,0.33954987505086615,0.1088776457161647,-0.1656833739159028,-0.13945994111797608,-0.04222003309207491,-0.0592864861199925,0.24309494690922778,0.03008284187980934,0.023669053416557544,0.6798418006783489,-0.048507125007266595,0.24305875451990117,-0.0592864861199925,0.2842974802836732,0.5826364566706337,0.04222003309207491,0.3509664885977756,0.17785945835997752,1.0,0.1905246652387925
memberOf,0.041344911529736156,0.7141684885491869,0.30261376633440124,-0.07132097307273312,-0.021591675854376522,0.013781637176578718,0.1580348853102535,-0.02564102564102564,-0.18156825980064073,0.010535659020683567,-0.12403473458920847,-0.23434034009612312,0.013781637176578718,-0.1580348853102535,0.19432508268938872,0.19432508268938872,0.1794871794871795,-0.041344911529736156,0.1905246652387925,1.0
