Stereotype,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none_c,other_c,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none_r,other_r
mode,0.0187288019323655,0.739922490256488,0.32198083036463887,0.25935820489224237,0.13493331208758885,0.6114378207161207,0.022095265071398307,0.018049025384287855,0.8646488872516142,0.27497330214047405,1.8746307293532598,0.44718910893440106,0.10516212792744214,0.46545494847675895,0.20045781169742155,0.6977989142873567,0.7986288115285027,0.6047902705607714,0.14899264863414996,0.9788163859626776,0.5029986440126797,0.40250889102679716,0.2290318629594608,0.12803791459022706,0.947017633805214,0.14934899698804646,0.6394238437521067,0.24859641925159937,0.325929852370645,0.30070358969388805,0.1571494483721876,0.2545711808218171,0.18259579781778607,0.6146317067374607,0.843531812036313,0.3758262393889966,0.3425717239916102,0.05965884832657094,0.14843847558266504,0.15667291373974057,0.0471850737276265,0.09795845353104457,1.179119667736227,0.41179648469076807
phase,0.003437160779705274,0.5465341724761519,0.317658715782708,0.21407553656662856,0.13537746661636071,0.4825673511747678,0.03316554598875953,0.010419479661821128,0.7507719757004592,0.2246556265281377,0.44718910893440106,1.4789072979687587,0.12338704411558127,0.35083096697689986,0.17227978572350539,0.6254713195935206,0.7402167975286789,0.4480758772191924,0.1457442715611057,0.8591670759523233,0.23523367388339622,0.21677554484729222,0.21449361867205738,0.09700766875776912,0.5273878542316548,0.12175876542125598,0.46558489248189355,0.20275373257112222,0.33591597811105545,0.14716794337255149,0.1252969246753809,0.14444905388593818,0.07004964157959503,0.5577331141473049,0.7375716866230315,0.28692059152679644,0.2847901571611835,0.05879307012577817,0.12584342746280486,0.10722497139387697,0.06682490431760782,0.05883414917246723,0.8664033322313126,0.3281936993308636
phaseMixin,0.04786485027570503,0.1337992706340202,0.03952566785100694,0.08663165320045632,0.05145085094294026,0.08031334771890122,0.0023008371433912295,0.06604368149767134,0.12611157285645364,0.01813852148070315,0.10516212792744214,0.12338704411558127,0.32367240245546886,0.09018150308236214,0.007157731741337076,0.08400285406487643,0.09770626091927764,0.14580229821915813,0.038087228507966184,0.1326284251389872,0.12965582435549317,0.04419580314995042,0.04612079246815688,0.03501487368805729,0.10907175027277899,0.003482008498854827,0.10291409245518732,0.043077246413468794,0.028452291572474434,0.061395856102123766,0.07525619854955765,0.15252722626121779,0.03501487368805729,0.10341525597910114,0.09672826478372265,0.018813181576761595,0.05375417926405364,0.019327995280532258,0.003482008498854827,0.0023008371433912295,0.030277343660798664,0.005909635906567859,0.1547177051678363,0.02351449179089024
quality,0.021918661328702287,0.5573678637491433,0.15268875905423923,0.1830163401309384,0.09422672885934735,0.4422482847638231,0.04045259902287536,0.017873373049914966,0.7018249840605968,0.16588036330499678,0.46545494847675895,0.35083096697689986,0.09018150308236214,1.4671265677623957,0.0932762474913015,0.5133850885553238,0.5474884155963771,0.36038366073619776,0.2157133589650128,0.8414755570394079,0.25029401836188114,0.2610467333861517,0.10142019404607164,0.17557200774931847,0.8225228172665601,0.10550648885732695,0.3313157428027923,0.17848703151222006,0.15605598383102867,0.1831258814835131,0.1651845883402398,0.21784732262056836,0.17272432294268208,0.4151476102927967,0.5921110889129257,0.186004663428529,0.3908854378710105,0.08462047529865319,0.02929438940617462,0.04061943937685238,0.025229970439270798,0.13957834844385478,0.7871728651381543,0.2067673688342217
quantity,0.0008669442132167512,0.17817513885950592,0.15884579591909603,0.10394101647017098,0.11460545761674765,0.1835118965811804,0.09332158640513447,0.028790283776972445,0.2552492836618624,0.12269676363709252,0.20045781169742155,0.17227978572350539,0.007157731741337076,0.0932762474913015,0.4644993063217714,0.2229407362251679,0.29979296558241114,0.15261966183935105,0.11464517077743942,0.2491169833771114,0.1345371964395979,0.0431865783705281,0.08105807423934183,0.01094035211636829,0.2275567760134795,0.036145893374161166,0.18861807900085803,0.06956162804699409,0.16010978648943336,0.07234839587519712,0.02910696145034706,0.04947189753938253,0.03393962990756636,0.17462031872750716,0.29548196199304694,0.11044499164745947,0.10742853518512882,0.0035142417308388907,0.08283335829843541,0.08566758189417861,0.0026239268029734017,0.00903098902383722,0.3004815820651736,0.2407736293068975
relator,0.011630615728126417,0.7433666068400571,0.42407206015847176,0.2765862692811921,0.1670138852407054,0.599636994897469,0.09041057847816114,0.055422583970362656,1.1507564090455502,0.3104566794369707,0.6977989142873567,0.6254713195935206,0.08400285406487643,0.5133850885553238,0.2229407362251679,2.3542147481358007,0.9514620366668549,0.6795236833268189,0.1945493312080655,1.1651507662555693,0.4354093500180387,0.3061224053219922,0.29513407464360986,0.1114808744272964,0.8069450636636489,0.15222333442316938,0.7466358904213954,0.2522094182680955,0.6213747692555625,0.22015910511264258,0.19708565203317688,0.2448304221647954,0.13718283819234967,0.8446264655942002,1.4574962796183852,0.4265666981354069,0.38498987599209156,0.06985024114959189,0.1849549530448153,0.14007978968466955,0.05618906492543118,0.10752539387806229,1.3421566537169822,0.5335777983055477
role,0.009870792561519355,0.803169066762041,0.4309431816964986,0.31791440555831174,0.19240053184046935,0.6867980907906862,0.09441462577285416,0.04271841673139622,1.3115152872162636,0.35010809007100496,0.7986288115285027,0.7402167975286789,0.09770626091927764,0.5474884155963771,0.29979296558241114,0.9514620366668549,2.4919116941778126,0.6550190977653021,0.24705992917989023,1.2023675203914683,0.4597678087601217,0.4767584351238431,0.37665838466185775,0.12189140413510563,0.8737891166723002,0.13045556301571468,0.6932541584896861,0.24456313098678373,0.524338896177672,0.3022893904804063,0.17235547793235645,0.20678990238622955,0.15721652046356988,0.7607521764819689,1.0828212189735642,0.46486950865010773,0.39577558646986843,0.07882620171558716,0.19367360776865233,0.158909084025268,0.05324455529574464,0.09778700755432895,1.4432464949002455,0.5450509851070782
roleMixin,0.04786485027570414,0.6505629650811684,0.2510737663261113,0.20142824717906985,0.13641805001644863,0.7055386686818239,0.09049029630160052,0.07319703255208498,0.7328801693926102,0.2257246384641799,0.6047902705607714,0.4480758772191924,0.14580229821915813,0.36038366073619776,0.15261966183935105,0.6795236833268189,0.6550190977653021,1.7447105032502772,0.2865124974258959,0.7338326409858698,0.5303685633023599,0.34013391917379177,0.23452818294258454,0.19904162839356734,0.6772282503468521,0.0675512534487468,0.46407840677427614,0.26529052543137627,0.3380857570047301,0.3670597899440902,0.2896552876874289,0.36670597907384767,0.24295002758575845,0.4931110426150137,0.7445625742997761,0.24713246440405767,0.4221004906611582,0.0634448588995904,0.17031895338726033,0.13663486577931933,0.04143422803372977,0.16108268091694578,1.1012159297382287,0.5192478416762577
situation,0.02718706417908559,0.3056875892337752,0.05763887815987339,0.11308600792707542,0.06317767935454954,0.4866257613952863,0.09856280956012498,0.01877155506077189,0.30720830497737794,0.051018137300077274,0.14899264863414996,0.1457442715611057,0.038087228507966184,0.2157133589650128,0.11464517077743942,0.1945493312080655,0.24705992917989023,0.2865124974258959,0.7674337190879772,0.3095682822527239,0.16515800384776141,0.11951826443112967,0.19800749619186622,0.3358122734244455,0.3439846080575526,0.08536748886814063,0.1446381252273355,0.09423057045672387,0.14859006570165315,0.10554942083423327,0.12375506245061589,0.1097681826141744,0.11449662805232827,0.24118444539847853,0.261997392917939,0.07102427462324346,0.2908967229595544,0.020313599033688755,0.009720266033084263,0.0064191192394322805,0.05351335582513892,0.2061923252748654,0.4444781677286207,0.2030804543658284
subkind,0.010830134252542256,1.137034918980489,0.5701587151339884,0.4316258624558326,0.211125256022477,0.8562113375964105,0.07825699909701711,0.05811925437837224,1.538508329061116,0.34780289835037176,0.9788163859626776,0.8591670759523233,0.1326284251389872,0.8414755570394079,0.2491169833771114,1.1651507662555693,1.2023675203914683,0.7338326409858698,0.3095682822527239,2.8371932878808543,0.5214265698978824,0.4924535442244915,0.35722138160431466,0.2670610287633279,1.1122293950899174,0.21039217470334987,0.9337247236004746,0.2998879264261098,0.5430481533266782,0.35779897278154743,0.2769665031885006,0.3147883650287698,0.19376311313904607,0.9764505144045827,1.2878097896540228,0.5336932312166112,0.5212951630020553,0.1057757445900335,0.2104142924752488,0.17958687012188723,0.0625183997380442,0.17062509953903288,1.7749829158732406,0.5876696259483665
